"Table 1.5. Investment in Fixed Assets and Consumer Durable Goods"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Fixed assets and consumer durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---",7.8,7.9,10.2,13.2,17.9,18.6,20.9,17.8,19.3,24.6,24.0,27.2,27.8,27.2,27.3,28.0,22.7,16.9,10.7,9.7,12.2,14.6,19.1,21.6,19.1,21.8,24.7,35.4,46.6,55.7,56.1,48.2,47.4,63.5,76.1,78.4,93.0,102.5,107.9,118.2,117.8,131.8,138.7,145.2,140.8,159.0,161.3,164.3,179.4,192.0,208.7,229.8,250.3,258.5,285.5,306.7,309.6,339.9,384.8,436.0,456.0,477.9,548.3,640.9,751.3,848.0,876.7,969.7,977.4,1076.8,1257.2,1375.9,1464.5,1526.9,1610.0,1691.7,1726.7,1675.0,1754.4,1886.2,2038.3,2176.6,2349.1,2503.5,2729.6,2976.6,3222.6,3248.9,3253.4,3404.7,3691.4,4020.2,4241.1,4320.6,4152.5,3651.6,3724.1,3933.6,4227.5,4412.9,4699.0,4885.1,5003.5,5271.6,5602.5
"2","  Fixed assets","---","---","---","---","---","---","---","---","---","---","---","---","---",5.7,5.8,7.4,9.9,13.6,12.8,13.9,11.7,13.6,17.3,16.7,19.2,19.4,18.9,18.8,18.7,15.4,11.3,7.0,6.2,8.0,9.4,12.7,14.5,13.3,15.0,16.9,25.7,39.4,48.6,48.8,39.7,31.6,43.1,53.2,53.3,62.3,72.5,78.5,85.1,85.2,93.0,100.7,105.7,104.1,117.2,118.8,123.1,133.2,141.8,153.5,168.0,183.4,189.7,206.1,222.9,226.0,244.7,277.8,315.0,335.1,346.1,393.0,463.8,553.1,637.1,666.3,742.9,744.7,805.8,940.4,1021.3,1067.8,1111.5,1168.1,1231.7,1261.7,1228.6,1278.0,1369.9,1477.8,1590.5,1726.9,1845.1,2008.0,2182.1,2353.0,2362.2,2328.8,2449.5,2679.5,2966.6,3158.7,3207.4,3116.1,2694.9,2745.4,2912.4,3149.6,3298.7,3538.5,3671.6,3745.5,3958.1,4226.5
"3","    Private",2.9,3.4,3.6,3.5,4.1,4.7,5.0,4.2,4.9,5.2,5.0,5.7,5.9,5.0,5.0,6.6,7.7,8.7,10.6,12.4,10.1,11.8,15.5,14.6,16.9,17.0,16.2,16.0,15.8,12.2,8.2,4.8,4.2,5.3,6.6,8.5,10.6,9.0,10.4,12.4,15.0,10.4,8.7,10.6,14.3,26.9,37.4,44.7,42.0,50.9,53.1,54.0,58.6,59.8,68.4,73.4,75.5,71.5,81.3,82.8,83.3,90.7,97.3,107.1,120.1,129.8,132.0,146.9,163.5,166.4,186.6,217.3,249.5,259.2,262.2,304.1,371.5,448.8,518.4,531.9,596.1,588.0,635.4,747.9,802.4,830.6,857.9,910.6,961.8,972.0,934.9,983.2,1079.3,1184.2,1281.3,1399.7,1518.4,1664.0,1813.8,1964.2,1950.5,1885.5,1986.2,2193.8,2454.4,2608.9,2614.3,2488.4,2054.3,2103.8,2279.8,2533.2,2701.4,2937.1,3051.7,3109.8,3298.5,3537.9
"4","      Nonresidential",2.1,2.5,2.8,2.5,2.6,3.2,3.6,2.8,3.3,3.8,3.6,4.3,4.5,3.6,3.5,4.9,6.5,7.9,8.7,10.7,7.8,8.2,10.8,9.2,11.0,11.1,10.7,10.9,11.8,9.7,6.3,3.9,3.5,4.3,5.2,6.7,8.4,6.8,7.2,8.7,10.7,8.0,7.1,9.1,12.5,18.8,25.0,28.7,26.9,30.0,34.2,35.0,38.8,38.3,42.9,49.4,52.8,48.7,52.7,55.9,56.3,61.1,64.5,72.0,85.0,96.4,98.4,106.7,119.1,123.0,128.5,144.9,171.2,189.7,195.5,217.3,256.3,310.8,370.5,402.3,467.6,477.2,474.3,557.5,602.4,595.8,608.1,654.4,705.8,732.3,713.7,728.5,792.5,860.4,957.2,1041.6,1142.8,1245.2,1352.0,1478.8,1437.4,1327.9,1349.1,1444.0,1598.2,1770.8,1923.8,1972.4,1664.3,1727.2,1900.9,2101.2,2191.4,2376.9,2417.9,2411.3,2542.7,2751.2
"5","        Equipment",0.7,0.8,0.9,0.8,0.9,1.2,1.5,0.9,1.1,1.3,1.2,1.7,2.0,1.6,1.7,2.7,3.9,5.3,5.6,6.2,4.5,4.6,6.3,4.5,6.1,5.4,5.0,5.2,5.7,4.6,3.1,2.0,1.9,2.5,3.1,4.1,5.0,3.8,4.2,5.3,6.4,4.6,4.2,5.5,7.8,10.3,15.5,17.3,15.8,17.8,19.9,19.7,21.6,20.6,23.6,26.0,28.3,25.3,28.0,29.3,28.6,31.9,34.2,38.7,45.9,53.3,53.7,58.6,65.2,66.1,68.5,78.4,95.2,105.5,107.9,122.1,149.2,181.1,210.1,217.6,242.6,234.7,245.4,289.6,302.5,307.5,311.8,340.6,365.1,363.8,355.0,376.0,422.3,474.4,526.2,563.2,605.7,653.9,705.4,752.8,696.2,643.4,652.4,707.6,781.6,851.4,885.3,846.7,663.2,783.2,887.2,984.1,1022.0,1085.5,1101.7,1072.4,1122.7,1208.8
"6","        Structures",1.3,1.6,1.8,1.6,1.6,1.8,2.0,1.8,2.0,2.3,2.2,2.4,2.3,1.8,1.5,2.1,2.3,2.3,2.8,4.2,2.9,3.3,4.1,4.3,4.5,5.3,5.3,5.2,5.5,4.5,2.7,1.4,1.1,1.3,1.5,1.9,2.7,2.2,2.3,2.6,3.1,2.2,1.7,2.3,3.3,6.6,7.5,9.3,9.1,9.9,11.9,12.2,13.6,13.8,15.0,18.2,18.9,17.4,18.1,19.5,19.7,20.8,21.0,23.6,27.9,30.4,30.7,32.6,36.8,39.0,41.3,46.0,53.5,58.8,59.8,63.1,71.4,89.5,112.5,130.6,160.5,170.1,147.8,173.2,194.8,175.2,176.1,181.2,190.6,204.1,179.6,164.8,173.3,180.2,204.1,225.1,249.1,273.2,281.5,314.7,326.2,278.3,278.0,298.6,343.4,413.0,493.7,551.4,436.7,365.8,391.5,461.4,476.7,561.0,552.9,525.1,565.8,611.2
"7","        Intellectual property products",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.4,1.8,2.0,2.1,2.0,2.3,2.4,3.0,3.7,3.9,4.3,5.2,5.6,6.0,6.6,7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.5,17.1,17.9,18.6,20.5,22.6,25.4,27.7,32.1,35.7,40.2,47.9,54.1,64.5,72.4,81.0,94.7,105.0,113.1,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.3,564.4,578.2,622.3,655.7,692.7,730.5,763.3,813.8,854.2,931.1
"8","      Residential",0.9,0.8,0.9,1.0,1.5,1.5,1.4,1.4,1.6,1.4,1.3,1.5,1.5,1.4,1.5,1.7,1.2,0.8,1.9,1.7,2.3,3.6,4.7,5.4,5.9,5.9,5.5,5.1,4.1,2.5,1.9,0.9,0.7,1.0,1.4,1.8,2.2,2.3,3.2,3.7,4.3,2.4,1.6,1.5,1.9,8.1,12.4,16.0,15.1,20.9,18.9,19.0,19.8,21.5,25.4,24.0,22.6,22.8,28.6,26.9,27.0,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138.0,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256.0,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513.0,557.6,637.1,749.8,856.2,838.2,690.5,516.0,390.0,376.6,378.8,432.0,510.0,560.2,633.8,698.5,755.7,786.6
"9","    Government","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,0.8,0.8,2.2,5.0,2.2,1.5,1.6,1.8,1.8,2.1,2.4,2.4,2.7,2.8,2.9,3.3,3.1,2.3,2.0,2.7,2.8,4.2,3.9,4.3,4.6,4.4,10.7,28.9,39.9,38.2,25.4,4.7,5.7,8.5,11.3,11.4,19.5,24.6,26.5,25.4,24.6,27.2,30.2,32.6,35.9,36.0,39.8,42.5,44.4,46.4,47.9,53.6,57.7,59.1,59.4,59.6,58.1,60.5,65.5,75.9,83.9,88.9,92.3,104.2,118.7,134.4,146.9,156.7,170.4,192.5,218.8,237.2,253.7,257.5,269.9,289.7,293.7,294.8,290.5,293.6,309.2,327.2,326.7,344.0,368.3,388.8,411.7,443.4,463.4,485.7,512.2,549.7,593.1,627.8,640.6,641.6,632.6,616.4,597.3,601.4,619.9,635.7,659.7,688.7
