"Table 2.2. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed assets",11.539,12.004,12.420,12.806,13.155,13.332,13.329,13.184,13.010,12.896,12.850,12.905,13.027,13.064,13.162,13.332,13.560,13.543,13.442,13.412,13.494,13.899,14.486,15.135,15.655,16.353,16.964,17.540,18.174,18.797,19.553,20.298,20.993,21.550,22.267,22.979,23.669,24.468,25.357,26.374,27.538,28.745,29.839,31.017,32.258,33.352,34.546,35.950,37.510,38.777,39.674,40.760,42.160,43.823,45.558,46.927,48.283,49.279,50.439,52.086,53.807,55.455,57.018,58.583,60.109,61.493,62.514,63.577,64.948,66.481,68.200,70.198,72.395,74.882,77.559,80.353,82.652,84.548,86.563,88.769,91.034,93.527,95.686,97.193,97.562,98.058,98.858,100.000,101.420,103.083,104.757,106.377,107.882,109.668
"2","Equipment",4.749,4.933,5.031,5.142,5.311,5.329,5.160,4.861,4.598,4.446,4.406,4.514,4.705,4.686,4.727,4.908,5.169,5.100,4.991,5.029,5.333,5.796,6.578,7.308,7.748,8.262,8.750,9.152,9.615,9.927,10.398,10.874,11.347,11.505,11.782,12.124,12.391,12.816,13.323,14.016,15.019,16.286,17.342,18.451,19.671,20.663,21.541,22.687,24.343,25.872,26.737,27.702,29.099,30.953,32.964,34.402,35.781,36.487,37.229,38.719,40.154,41.333,42.266,43.401,44.604,45.482,45.962,46.627,47.958,49.850,52.191,54.815,57.815,61.376,65.424,69.709,72.524,74.330,76.267,78.803,82.009,86.034,89.929,92.533,91.849,93.327,96.146,100.000,104.003,108.543,112.859,116.318,120.079,124.670
"3","  Nonresidential equipment",4.830,5.015,5.113,5.225,5.395,5.413,5.239,4.935,4.666,4.509,4.466,4.573,4.765,4.744,4.783,4.965,5.226,5.156,5.050,5.096,5.412,5.877,6.661,7.393,7.832,8.344,8.833,9.236,9.700,10.011,10.483,10.958,11.432,11.584,11.855,12.196,12.461,12.887,13.393,14.089,15.097,16.375,17.439,18.550,19.771,20.758,21.626,22.759,24.405,25.927,26.786,27.745,29.139,30.993,33.002,34.436,35.814,36.515,37.246,38.729,40.152,41.313,42.225,43.342,44.534,45.403,45.878,46.537,47.871,49.772,52.127,54.771,57.798,61.385,65.454,69.759,72.580,74.378,76.306,78.827,82.023,86.049,89.954,92.562,91.862,93.332,96.146,100.000,103.996,108.526,112.822,116.248,119.974,124.543
"4","      Information processing equipment",0.097,0.106,0.110,0.117,0.125,0.126,0.121,0.111,0.103,0.099,0.100,0.105,0.117,0.120,0.126,0.137,0.149,0.148,0.146,0.158,0.183,0.215,0.258,0.296,0.319,0.346,0.377,0.416,0.460,0.486,0.523,0.571,0.629,0.662,0.702,0.765,0.832,0.908,0.997,1.102,1.232,1.416,1.584,1.746,1.956,2.179,2.392,2.636,2.940,3.280,3.532,3.842,4.289,4.926,5.679,6.501,7.377,8.161,9.045,10.233,11.369,12.421,13.313,14.222,15.206,16.020,16.728,17.719,18.956,20.436,22.414,24.874,27.823,31.421,35.676,40.787,44.503,47.101,50.364,54.250,58.548,64.131,70.687,76.868,80.994,87.190,93.237,100.000,107.218,114.322,121.907,129.740,139.272,150.139
"5","        Computers and peripheral equipment",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.003,0.005,0.007,0.009,0.012,0.016,0.021,0.026,0.031,0.039,0.052,0.082,0.129,0.200,0.301,0.400,0.549,0.807,1.093,1.360,1.653,1.913,2.220,2.396,2.555,2.948,3.536,4.290,5.733,7.956,11.303,16.038,22.487,29.122,33.460,36.825,40.531,44.950,49.931,57.981,66.635,74.352,79.846,88.151,93.500,100.000,104.791,107.154,108.930,109.923,113.481,119.788
"6","        Communication equipment",0.179,0.194,0.201,0.214,0.231,0.240,0.239,0.225,0.211,0.204,0.204,0.210,0.233,0.238,0.250,0.281,0.312,0.317,0.317,0.357,0.402,0.429,0.479,0.522,0.550,0.585,0.627,0.696,0.779,0.833,0.896,0.987,1.094,1.158,1.250,1.394,1.578,1.790,1.955,2.112,2.310,2.547,2.770,2.991,3.274,3.586,3.844,4.042,4.340,4.622,4.827,5.071,5.544,6.146,6.903,7.746,8.558,9.288,9.929,10.696,11.502,12.322,13.044,13.924,14.700,15.474,16.073,16.759,17.530,18.698,20.216,22.053,24.253,26.922,30.423,35.461,39.293,41.356,44.156,47.634,51.288,56.304,62.710,69.166,74.152,82.190,90.784,100.000,110.732,123.045,137.925,154.805,174.158,194.561
"7","        Medical equipment and instruments",0.048,0.057,0.059,0.065,0.073,0.078,0.078,0.075,0.072,0.070,0.070,0.073,0.084,0.086,0.093,0.095,0.095,0.089,0.092,0.094,0.122,0.208,0.326,0.422,0.488,0.556,0.632,0.699,0.735,0.775,0.842,0.915,0.970,0.992,1.033,1.108,1.195,1.287,1.424,1.590,1.762,1.961,2.280,2.554,2.923,3.328,3.808,4.308,4.908,5.581,6.168,6.820,7.432,8.154,8.766,9.256,9.875,10.877,11.904,12.981,13.964,14.864,15.837,16.889,17.950,19.221,20.548,22.054,23.752,25.005,26.107,27.462,29.270,31.707,34.240,37.102,40.216,44.016,48.401,53.318,59.421,65.750,73.189,79.754,84.363,89.354,94.424,100.000,106.678,112.339,118.062,123.773,131.243,139.757
"8","        Nonmedical instruments",0.506,0.598,0.626,0.680,0.773,0.835,0.848,0.814,0.793,0.773,0.792,0.818,0.923,0.964,1.032,1.059,1.058,0.994,1.022,1.057,1.375,1.941,2.701,3.398,3.925,4.522,5.151,5.798,6.378,6.510,6.988,7.506,7.986,8.181,8.339,8.483,8.559,8.526,8.555,8.642,8.894,9.227,9.628,9.949,10.311,10.758,11.030,11.721,12.572,13.945,14.872,15.877,18.496,21.255,23.770,26.140,28.447,30.598,32.331,35.127,37.820,40.178,42.157,43.895,47.138,50.494,53.476,56.400,58.910,61.537,64.718,67.862,69.517,71.156,72.558,74.466,76.582,78.539,79.499,81.178,83.006,85.358,88.959,92.041,92.053,93.677,96.004,100.000,103.848,108.938,113.303,117.103,120.979,126.277
"9","        Photocopy and related equipment",0.195,0.214,0.231,0.246,0.279,0.301,0.308,0.295,0.270,0.256,0.248,0.271,0.309,0.312,0.334,0.335,0.336,0.300,0.309,0.324,0.450,0.634,0.877,1.089,1.250,1.406,1.565,1.744,2.009,2.261,2.492,2.722,2.937,2.993,3.227,3.565,3.862,4.334,5.413,7.284,9.343,11.955,13.352,14.850,16.630,18.824,21.565,25.303,30.035,35.123,40.241,45.194,48.869,53.838,58.002,61.762,66.210,69.995,72.593,78.271,81.931,84.924,87.431,90.765,94.535,96.781,99.208,101.467,107.204,113.670,116.704,119.929,122.779,128.330,129.302,129.034,120.395,110.596,104.375,99.109,94.002,88.477,89.912,92.874,91.734,93.130,97.240,100.000,101.092,101.563,102.028,105.013,108.229,111.370
