"Table 2.7. Investment in Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 8, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,        Private fixed assets,2.9,3.4,3.6,3.5,4.1,4.7,5,4.2,4.9,5.2,5,5.7,5.9,5,5,6.6,7.7,8.7,10.6,12.4,10.1,11.8,15.5,14.6,16.9,17,16.2,16,15.8,12.2,8.2,4.8,4.2,5.3,6.6,8.5,10.6,9,10.4,12.4,15,10.4,8.7,10.6,14.3,26.9,37.4,44.7,42,50.9,53.1,54,58.6,59.8,68.4,73.4,75.5,71.5,81.3,82.8,83.3,90.7,97.3,107.1,120.1,129.8,132,146.9,163.5,166.4,186.6,217.3,249.5,259.2,262.2,304.1,371.5,448.8,518.4,531.9,596.1,588,635.4,747.9,802.4,830.6,857.9,910.6,961.8,972,934.9,983.2,1079.3,1184.2,1281.3,1399.7,1518.4,1664,1813.8,1964.2,1950.5,1885.5,1986.2,2193.8,2454.4,2608.9,2614.3,2488.4,2054.3,2103.8,2279.8,2533.2,2701.4,2937.1,3051.7,3109.8,3298.5,3537.9
2,Equipment,0.7,0.8,0.9,0.8,0.9,1.2,1.5,0.9,1.1,1.3,1.2,1.8,2,1.6,1.8,2.7,3.9,5.3,5.7,6.3,4.6,4.6,6.4,4.6,6.2,5.5,5.1,5.3,5.8,4.7,3.2,2,1.9,2.5,3.2,4.1,5.1,3.9,4.3,5.4,6.5,4.7,4.3,5.5,7.8,10.5,15.8,17.6,16.1,18.2,20.3,20.1,21.9,21,24,26.5,28.8,25.8,28.6,29.8,29.1,32.4,34.8,39.3,46.6,54,54.4,59.5,66.2,67.2,69.8,80,96.9,107.3,109.9,124.2,151.6,183.8,213.3,220.9,246.2,238.3,249.6,294.3,307.6,313,317.6,346.6,371.3,369.8,360.8,382,428.4,480.7,532.6,569.6,612,660.6,712.6,760.5,704.1,651.4,660.7,716.6,791.2,861.5,895.2,856.3,672,792.4,896.9,994.6,1033,1096.8,1113.5,1084.6,1135.2,1221.7
3,  Nonresidential equipment,0.7,0.8,0.9,0.8,0.9,1.2,1.5,0.9,1.1,1.3,1.2,1.7,2,1.6,1.7,2.7,3.9,5.3,5.6,6.2,4.5,4.6,6.3,4.5,6.1,5.4,5,5.2,5.7,4.6,3.1,2,1.9,2.5,3.1,4.1,5,3.8,4.2,5.3,6.4,4.6,4.2,5.5,7.8,10.3,15.5,17.3,15.8,17.8,19.9,19.7,21.6,20.6,23.6,26,28.3,25.3,28,29.3,28.6,31.9,34.2,38.7,45.9,53.3,53.7,58.6,65.2,66.1,68.5,78.4,95.2,105.5,107.9,122.1,149.2,181.1,210.1,217.6,242.6,234.7,245.4,289.6,302.5,307.5,311.8,340.6,365.1,363.8,355,376,422.3,474.4,526.2,563.2,605.7,653.9,705.4,752.8,696.2,643.4,652.4,707.6,781.6,851.4,885.3,846.7,663.2,783.2,887.2,984.1,1022,1085.5,1101.7,1072.4,1122.7,1208.8
4,      Information processing equipment,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.3,0.2,0.1,0.1,0.2,0.2,0.3,0.4,0.3,0.4,0.4,0.5,0.3,0.3,0.5,0.7,1.1,1.7,1.8,1.6,1.8,2.1,2.4,2.7,2.4,2.8,3.4,4,3.6,4,4.7,5.1,5.5,6.1,6.8,7.8,9.7,10.1,10.6,12.8,14.3,14.9,16.7,19.9,23.1,23.8,27.5,33.7,42.3,50.3,58.9,69.6,74.2,83.7,101.2,106.6,111.1,112.2,120.8,130.7,129.6,129.2,141.6,152.8,166.4,187.7,203.9,222.5,239.4,258.6,292.3,264.1,234.5,240.4,253.4,264.4,285.6,307.9,303,272.2,303.4,309.1,326.3,338.9,341.2,349.1,350.7,375.6,402.7
5,        Computers and peripheral equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.7,0.9,1.2,1.7,1.9,1.9,2.4,2.7,2.8,3.5,3.5,3.9,3.6,4.4,5.7,7.6,10.2,12.5,17.1,18.9,23.9,31.6,33.7,33.4,35.8,38,43.1,38.6,37.7,43.6,47.5,51.9,65.5,72.1,81,87.1,96.1,101.7,85.7,77.5,77.6,81.7,81.6,89.7,92.4,90.6,85.5,95.6,91.4,98.7,99.4,97.3,97,95,102.7,113.1
6,        Communication equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.1,0.1,0,0,0.1,0.1,0.1,0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.3,0.3,0.4,0.7,0.7,0.6,0.7,0.9,1.1,1.2,1,1.2,1.4,1.7,1.5,1.8,2.3,2.7,3,2.9,3,3.5,4,4.2,4.6,5.7,6.5,6.6,6.6,8.1,9,9.3,10.6,13.7,16.8,20.3,24.2,27.2,28.9,29.5,34,37,39.1,39.2,43.7,43.6,45.2,43.7,46.2,48.7,56.8,63.5,70.8,80,87.1,98.7,123.3,109.1,83.7,82.2,84.9,86.5,96,106.2,100.1,85.8,99.9,103.6,104.8,111,113,117.3,118.6,128.1,132.5
7,        Medical equipment and instruments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.5,0.6,0.8,0.8,1.1,1.2,1.5,1.6,2,2.4,2.8,3.3,3.6,4.4,4.8,5.2,6.3,8.3,9.1,10.1,10.4,11.1,12.4,13.5,14.5,16.4,17.8,19.9,22.1,21.4,21.8,23.8,26.4,30.3,32.2,35.2,38.5,43.8,48.5,52.6,61.2,64,72.3,73.2,68.3,71.8,74.7,79.2,84.3,82.9,86.5,87.8,93.1,100.6
8,        Nonmedical instruments,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.3,1.7,1.8,2.1,3.5,4.1,4.4,4.9,5.6,6.1,6.3,7.8,8.3,8.6,8.9,9.2,11.7,12.9,13.4,14.3,14.5,15.4,17,17.9,16.6,17,17.1,18.4,19.3,19.7,18.8,20.6,21.7,22.9,26,26.6,22.3,25.2,27.4,31.6,32.6,36.3,36.5,36.9,38.7,43.2
9,        Photocopy and related equipment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.9,1.1,1.4,1.2,1.3,1.5,1.7,2,2.5,3,3.5,4,4.4,4.3,5.2,5.5,6.4,7.2,7.4,7.3,9.1,8.8,9.3,9.7,10.7,11.7,11.4,12,12.6,14.5,15.3,14.2,13.6,12.6,12.7,10.7,9.8,6.7,4.6,5.2,5.2,4.9,4.2,6.5,7.4,6.1,7.1,8.2,8,7.6,7.4,7.4,8.3,8.5,8.8
