"Table 4.2. Chain-Type Quantity Indexes for Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private nonresidential fixed assets",10.561,10.910,11.209,11.510,11.876,12.091,12.043,11.811,11.564,11.407,11.339,11.411,11.576,11.575,11.616,11.766,12.004,11.941,11.796,11.776,11.974,12.445,13.022,13.605,14.026,14.517,15.022,15.492,16.044,16.523,17.111,17.773,18.416,18.835,19.332,19.906,20.453,21.107,21.807,22.668,23.820,25.164,26.365,27.588,28.898,30.042,31.072,32.250,33.720,35.063,35.968,36.947,38.169,39.757,41.578,43.203,44.944,46.320,47.504,49.296,51.218,52.791,54.209,55.693,57.247,58.733,59.800,60.798,62.097,63.573,65.415,67.569,70.057,72.872,75.922,79.215,81.657,83.192,84.668,86.271,88.085,90.377,92.930,95.168,95.792,96.685,98.101,100.000,102.037,104.461,106.669,108.624,110.632,113.101
"2","          Equipment",4.830,5.015,5.113,5.225,5.395,5.413,5.239,4.935,4.666,4.509,4.466,4.573,4.765,4.744,4.783,4.965,5.226,5.156,5.050,5.096,5.412,5.877,6.661,7.393,7.832,8.344,8.833,9.236,9.700,10.011,10.483,10.958,11.432,11.584,11.855,12.196,12.461,12.887,13.393,14.089,15.097,16.375,17.439,18.550,19.771,20.758,21.626,22.759,24.405,25.927,26.786,27.745,29.139,30.993,33.002,34.436,35.814,36.515,37.246,38.729,40.152,41.313,42.225,43.342,44.534,45.403,45.878,46.537,47.871,49.772,52.127,54.771,57.798,61.385,65.454,69.759,72.580,74.378,76.306,78.827,82.023,86.049,89.954,92.562,91.862,93.332,96.146,100.000,103.996,108.526,112.822,116.248,119.974,124.543
"3","          Structures",19.781,20.392,20.991,21.567,22.212,22.691,22.793,22.629,22.375,22.167,22.006,21.968,22.053,22.015,22.003,22.056,22.182,22.045,21.788,21.639,21.647,22.121,22.508,22.996,23.443,23.958,24.552,25.122,25.778,26.451,27.185,28.062,28.906,29.618,30.357,31.194,32.036,32.942,33.830,34.883,36.211,37.623,38.953,40.275,41.699,43.080,44.387,45.727,47.206,48.558,49.615,50.652,51.756,53.195,54.942,56.847,59.001,61.004,62.508,64.493,66.796,68.578,70.306,71.946,73.543,75.279,76.460,77.310,78.236,79.073,80.233,81.622,83.209,84.944,86.628,88.595,90.334,91.337,92.180,92.914,93.595,94.690,96.258,97.990,98.817,99.041,99.363,100.000,100.764,101.940,102.920,103.678,104.488,105.564
"4","          Intellectual property products",0.701,0.737,0.783,0.844,0.931,1.009,1.066,1.106,1.153,1.226,1.316,1.425,1.537,1.658,1.769,1.879,2.075,2.223,2.291,2.352,2.456,2.637,2.792,2.910,3.000,3.117,3.205,3.402,3.690,3.962,4.251,4.629,4.968,5.285,5.634,5.980,6.388,6.775,7.219,7.635,8.162,8.808,9.461,10.132,10.777,11.255,11.616,12.048,12.498,12.909,13.240,13.792,14.426,15.146,16.101,17.025,18.175,19.352,20.640,22.306,24.073,25.839,27.465,29.161,31.198,33.327,35.463,37.562,39.496,41.294,43.312,45.945,49.261,52.958,57.312,61.935,65.523,68.130,70.691,73.323,76.489,79.992,83.948,87.737,90.466,93.128,96.499,100.000,103.834,107.802,111.639,116.480,120.927,126.184
"","By selected industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","  Farms",42.743,43.236,43.807,44.226,44.693,44.556,43.239,41.291,39.457,38.264,38.144,38.686,39.664,39.848,39.975,40.320,41.578,41.307,40.573,40.999,41.556,43.463,46.864,50.634,54.029,57.047,59.252,60.781,62.018,62.630,63.393,63.301,63.095,63.273,64.283,64.814,65.311,66.364,68.258,70.072,72.470,75.108,77.662,79.191,80.699,82.453,83.843,85.289,88.936,92.485,96.341,99.750,103.223,106.923,110.919,111.660,111.656,109.065,106.265,104.067,100.761,97.276,94.093,92.256,90.987,90.079,88.485,86.134,85.179,85.091,85.327,85.756,86.964,87.796,87.057,86.944,87.118,87.855,88.699,89.918,90.871,91.116,91.486,92.681,93.548,94.399,96.229,100.000,104.381,110.048,111.081,110.238,110.491,111.632
"6","    Equipment",18.151,19.173,20.078,20.857,21.772,22.142,21.069,19.379,17.781,16.855,17.161,18.284,19.915,20.497,20.889,21.656,23.596,23.523,22.562,23.545,24.882,26.105,30.686,36.273,41.043,45.346,48.380,49.962,51.405,51.777,52.742,52.042,51.602,51.942,52.563,52.005,51.683,51.964,53.484,55.121,58.069,61.666,64.857,66.543,68.242,70.320,72.166,74.849,80.796,85.273,89.527,92.872,96.284,99.807,103.910,103.172,101.954,97.067,92.146,88.536,83.697,78.790,74.156,71.906,70.943,70.410,68.570,65.764,64.881,65.409,66.608,67.958,71.150,73.648,73.038,73.036,73.465,74.998,76.930,79.724,81.971,83.037,84.302,86.563,88.044,89.742,92.995,100.000,108.369,118.841,120.670,118.637,119.347,122.174
"7","    Structures",69.200,68.855,68.826,68.633,68.333,67.426,66.177,64.734,63.413,62.203,61.399,60.795,60.368,59.812,59.400,58.789,58.379,57.872,57.568,57.259,56.868,59.392,61.652,63.619,65.441,66.974,68.245,69.668,70.637,71.479,72.000,72.530,72.570,72.567,73.961,75.723,77.151,79.044,81.256,83.165,84.793,86.196,87.894,89.173,90.407,91.748,92.629,92.853,94.287,96.875,100.226,103.590,107.014,110.773,114.530,116.771,118.048,118.064,117.716,117.140,115.587,113.722,112.167,110.805,109.233,107.929,106.629,104.824,103.778,102.999,102.174,101.598,100.675,99.808,98.996,98.806,98.770,98.798,98.682,98.539,98.434,98.043,97.733,98.102,98.460,98.567,99.123,100.000,100.923,102.573,102.961,103.057,102.962,102.853
"8","    Intellectual property products",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.275,2.308,3.431,3.825,2.502,1.652,1.097,0.731,0.488,0.327,12.441,37.291,71.427,112.808,182.337,253.570,293.415,323.516,340.181,388.268,373.577,298.253,245.243,193.299,157.808,123.922,105.654,93.285,81.317,74.749,75.702,79.137,78.505,84.499,100.000,109.383,123.622,110.973,101.524,106.640,116.699
