Table 4.4. Current-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 8, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,        Private nonresidential fixed assets,6.4,6.9,7.1,7.3,7.5,7.3,6.8,6.1,5.7,5.8,5.8,6,6.6,6.8,6.8,7.1,7.9,9,9.1,9.4,9.7,11.1,13.8,16.4,17.9,19.3,22.1,23.5,25,26.3,27.8,31.1,34.2,36.6,38,38.9,40.1,41.7,43.6,46.1,49.6,54.2,59.4,65.4,72.4,79.9,87.3,94.7,105.2,122.8,144.5,158.7,177.5,200.8,230.9,266.7,307.2,341.2,356.7,376.4,403.7,430.6,456,489.8,523.8,556.9,585.9,603.1,629.5,664.5,713.4,753.5,803,855.7,920.7,1002.3,1063.2,1098.2,1125.1,1177.8,1264.3,1359.8,1447.2,1532.6,1547.4,1558.6,1624.4,1706.7,1778.8,1873.6,1952.9,2000.6,2087.5,2198.9
2,          Equipment,3.8,4.2,4.4,4.5,4.6,4.5,4.2,3.7,3.4,3.4,3.4,3.4,3.8,4,3.9,4.1,4.6,5.3,5.1,5.3,5.4,6.3,7.8,9.6,11,12.1,13.9,14.8,15.7,16.6,17.4,19.4,21.3,23,23.8,23.9,24.4,25.1,26.2,27.6,29.7,32.6,35.9,39.4,43.4,47.6,51.7,55.8,61.4,71.6,86,95.5,107.5,122.3,140.7,163.8,185.9,203.9,213.1,222.7,237.1,253.1,268.5,285.4,302.8,318.3,329.5,337.2,347.7,366.5,392.8,413.8,435,455.4,482.5,516.8,538,546.6,550.8,569.2,599.7,632.5,669.9,699.3,702.7,701.7,728.1,761.6,795,829,860.1,882.1,908.8,949.7
3,          Structures,2.3,2.4,2.4,2.5,2.6,2.5,2.3,2,2,2,2.1,2.1,2.4,2.4,2.3,2.4,2.6,2.9,3.1,3.1,3.2,3.7,4.5,5.2,5.2,5.4,6.2,6.5,6.9,7,7.4,8.3,9,9.1,9.4,9.7,9.9,10.2,10.5,11,11.7,12.6,13.4,14.6,16,17.6,19.4,21.4,24.6,29.2,33.8,36.3,40.5,45.9,53,60,71.8,81.2,81.2,84,88.7,92,93.3,100,105.9,111.6,115.9,116.5,120.9,126.3,133.4,138.8,147.4,157.7,164.3,173.8,188.4,200.9,210.7,229.1,262.7,299.4,321.9,346.4,342.5,340.4,354.1,374.1,383.9,411.2,425,423.9,437.2,455
4,          Intellectual property products,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.8,0.9,1,1.1,1.2,1.4,1.6,1.7,1.8,2,2.1,2.4,2.7,3,3.4,3.9,4.4,4.8,5.3,5.8,6.3,6.8,7.5,8.2,9.1,10.1,11.5,13,14.7,16.1,17.4,19.2,22,24.7,26.9,29.4,32.7,37.2,43,49.5,56.1,62.4,69.8,77.8,85.6,94.1,104.4,115.1,127,140.5,149.4,160.9,171.6,187.2,200.9,220.6,242.6,274,311.7,336.8,350.7,363.6,379.5,401.9,427.9,455.5,486.9,502.1,516.4,542.2,571,599.9,633.3,667.9,694.6,741.5,794.2
,By selected industry group:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,  Farms,0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.9,0.9,1,1.2,1.5,1.8,2,2.3,2.5,2.6,2.7,2.7,2.8,2.9,3.1,3.1,3.1,3.1,3.2,3.3,3.4,3.6,3.9,4.2,4.5,4.8,5.1,5.4,5.8,6.4,7.5,8.9,10,11.2,12.5,14.3,16.4,18,19.1,18.9,18.6,18.2,17.9,17.4,17.3,17.6,17.9,18.3,18.2,18.3,18.8,19.6,20.3,21.1,22,22.6,22.8,23.1,23.6,24.3,25.7,27.5,28.9,30.1,31.7,32.6,33.1,34.7,37.1,40.3,44.4,47.2,47.8,48.4,50.1
6,    Equipment,0.4,0.5,0.5,0.5,0.6,0.6,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.6,0.7,0.7,0.8,0.9,1.2,1.5,1.7,1.9,2.1,2.2,2.2,2.3,2.3,2.4,2.6,2.7,2.6,2.6,2.6,2.7,2.8,3,3.2,3.5,3.8,4,4.2,4.5,4.8,5.3,6.2,7.5,8.5,9.5,10.6,12.1,13.9,15.3,16.2,15.9,15.5,15,14.6,14.1,13.9,14.1,14.4,14.7,14.7,14.6,14.9,15.6,16.2,16.9,17.8,18.2,18.3,18.5,18.8,19.4,20.5,21.9,22.9,23.8,25.3,26.5,27.2,28.7,30.9,33.8,37.5,39.9,40.2,40.5,41.8
7,    Structures,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.9,1,1.1,1.2,1.4,1.5,1.7,1.9,2.2,2.5,2.7,2.9,3,3.1,3.2,3.2,3.3,3.4,3.5,3.5,3.5,3.5,3.6,3.7,3.8,3.9,4,4.1,4.2,4.4,4.6,4.6,4.8,5.1,5.5,5.9,6.2,6.3,6.1,5.9,6,6.1,6.5,6.9,7.2,7.5,7.9,8.3
8,    Intellectual property products,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0
