"Table 6.4. Current-Cost Depreciation of Private Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed assets",8.0,8.5,8.8,9.1,9.4,9.2,8.5,7.5,7.0,7.3,7.3,7.5,8.4,8.6,8.6,9.0,9.9,11.2,11.5,12.0,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33.0,35.0,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335.0,381.9,420.4,438.8,463.5,496.4,531.6,566.0,607.9,649.6,688.4,721.5,742.9,778.2,822.5,880.7,929.1,987.8,1052.2,1132.2,1231.5,1311.7,1361.8,1411.9,1497.1,1622.6,1751.8,1852.5,1931.8,1928.7,1933.8,1997.3,2082.4,2176.6,2298.5,2393.7,2463.2,2578.2,2725.8
"","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2","  Corporate",4.7,4.9,5.0,5.1,5.2,5.1,4.8,4.2,4.0,4.1,4.2,4.3,4.8,4.8,4.8,5.1,5.6,6.4,6.6,6.8,7.0,8.0,9.8,11.5,12.4,13.3,15.2,16.1,17.3,18.4,19.6,22.1,24.6,26.4,27.7,28.5,29.6,30.9,32.5,34.5,37.2,40.9,45.2,50.1,55.8,61.9,67.7,73.6,82.1,96.2,113.8,125.3,140.8,159.7,183.8,212.7,245.5,273.2,286.6,304.0,327.7,350.7,372.0,399.9,427.1,454.7,479.6,494.3,517.2,547.6,590.4,626.3,670.1,715.0,769.6,838.6,888.6,914.6,932.5,973.0,1042.0,1119.3,1188.9,1256.6,1263.8,1271.2,1324.6,1392.5,1450.2,1527.5,1592.6,1630.6,1704.0,1796.3
"3","    Financial",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.5,1.7,1.9,2.3,2.6,2.9,3.3,3.8,4.7,5.9,6.8,8.0,9.2,11.0,13.3,15.9,18.7,21.3,24.3,27.9,32.0,36.6,41.7,47.0,52.1,56.1,58.1,61.3,65.2,69.6,72.2,75.4,80.9,90.6,101.2,107.1,111.7,116.4,123.3,131.0,137.7,144.9,151.6,153.1,151.4,155.3,161.9,170.5,178.3,186.8,197.3,208.4,221.1
"4","    Nonfinancial",4.5,4.7,4.8,4.9,5.0,4.9,4.6,4.1,3.9,4.0,4.0,4.1,4.6,4.6,4.6,4.9,5.4,6.1,6.3,6.5,6.7,7.8,9.5,11.1,12.0,12.9,14.7,15.6,16.7,17.7,18.9,21.4,23.8,25.5,26.7,27.6,28.6,29.8,31.4,33.3,35.9,39.4,43.5,48.1,53.5,59.3,64.8,70.3,78.3,91.5,107.9,118.5,132.8,150.5,172.8,199.3,229.6,254.5,265.3,279.7,299.8,318.7,335.4,358.2,380.2,402.6,423.6,436.3,455.8,482.3,520.8,554.2,594.6,634.1,679.1,737.4,781.5,802.9,816.1,849.7,911.0,981.5,1044.0,1105.0,1110.7,1119.8,1169.3,1230.6,1279.7,1349.2,1405.9,1433.3,1495.6,1575.2
"5","  Noncorporate",3.3,3.6,3.8,4.0,4.2,4.1,3.8,3.2,3.0,3.2,3.1,3.3,3.6,3.8,3.8,3.9,4.4,4.8,5.0,5.3,5.5,6.2,7.9,9.3,10.2,11.0,12.6,13.4,14.0,14.6,15.4,16.7,17.7,18.5,19.2,19.7,20.2,20.9,21.7,22.8,24.4,26.3,28.2,30.5,33.7,36.4,39.9,43.9,49.3,56.9,65.0,71.2,80.3,92.4,106.9,122.3,136.4,147.2,152.2,159.6,168.7,180.8,194.0,208.1,222.5,233.7,241.8,248.5,261.0,274.9,290.3,302.8,317.7,337.2,362.6,392.9,423.1,447.2,479.4,524.1,580.6,632.5,663.6,675.2,664.9,662.6,672.7,689.9,726.4,771.0,801.1,832.6,874.2,929.5
"6","    Sole proprietorships",1.3,1.5,1.6,1.6,1.7,1.7,1.6,1.4,1.2,1.3,1.2,1.2,1.4,1.4,1.4,1.4,1.6,1.8,1.8,1.9,1.9,2.2,2.7,3.3,3.7,4.1,4.7,4.9,5.1,5.2,5.4,5.8,6.1,6.5,6.6,6.6,6.6,6.7,6.8,7.1,7.5,8.0,8.5,9.1,10.0,10.8,11.9,13.0,14.5,16.8,19.4,21.0,23.3,26.2,30.1,34.4,38.7,42.2,43.1,44.3,46.1,48.3,50.5,53.1,55.7,57.3,58.3,58.6,60.0,62.1,65.1,67.4,70.1,73.3,76.7,80.2,82.9,84.4,86.4,90.3,96.6,102.6,106.0,107.7,105.3,102.8,102.2,103.2,105.6,110.0,113.6,115.8,119.3,125.0
"7","    Partnerships",0.5,0.6,0.6,0.7,0.7,0.7,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.9,1.0,1.3,1.5,1.7,1.8,2.1,2.2,2.3,2.4,2.5,2.7,2.9,3.1,3.1,3.2,3.2,3.3,3.4,3.5,3.8,4.0,4.3,4.7,5.1,5.5,5.9,6.3,6.8,7.7,8.8,9.4,10.2,11.4,13.1,15.1,17.6,19.9,20.5,21.4,22.9,24.5,26.1,28.6,31.3,33.4,34.8,35.3,36.3,37.8,39.9,41.5,43.7,46.7,51.3,57.6,63.5,68.5,73.1,79.2,87.9,97.6,107.1,115.9,118.7,120.0,124.7,130.3,136.4,144.5,150.9,155.1,161.9,170.6
"8","    Nonprofit institutions",0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.7,0.7,0.8,0.9,1.0,1.0,1.1,1.1,1.3,1.4,1.5,1.5,1.6,1.7,1.9,2.0,2.2,2.4,2.6,2.9,3.2,3.5,3.9,4.4,4.9,5.6,6.6,7.7,8.5,9.3,10.5,12.0,13.6,15.3,16.6,17.6,18.8,19.9,21.2,22.8,24.6,26.8,29.0,31.1,33.0,34.9,36.5,38.2,39.4,41.2,44.2,48.1,52.6,56.7,60.6,65.0,70.3,76.5,82.7,89.0,96.0,101.5,105.8,112.8,120.8,128.2,135.3,141.8,147.4,153.2,161.9
