"Table 7.1. Current-Cost Net Stock of Government Fixed Assets"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Government fixed assets 1",38.3,38.9,40.3,40.7,42.7,42.3,40.0,34.7,39.8,47.4,47.7,54.7,58.1,60.7,62.6,66.1,82.7,122.5,161.6,184.0,201.9,205.7,217.6,217.9,204.0,216.3,243.5,261.1,268.1,284.8,308.4,343.1,360.6,381.1,393.1,409.6,432.6,462.4,488.8,515.7,551.5,597.8,648.8,706.6,781.1,869.8,941.9,1027.9,1163.7,1419.4,1490.9,1578.5,1679.7,1848.2,2096.2,2394.5,2630.1,2787.0,2869.3,3027.5,3140.0,3317.6,3499.0,3692.1,3890.7,4082.8,4214.1,4390.6,4579.6,4824.5,5048.5,5233.7,5466.3,5697.1,6015.7,6341.0,6604.0,6898.7,7197.7,7976.3,8712.8,9609.2,10354.9,11038.0,11090.2,11517.2,12132.5,12522.8,12943.2,13238.9,13432.9,13821.1,14363.0,15057.7
"2","          Equipment",2.6,2.6,2.6,2.5,2.5,2.4,2.4,2.3,2.3,2.5,2.6,2.7,3.0,3.1,3.3,3.7,7.1,21.0,46.5,67.4,78.5,70.7,60.0,50.2,42.4,38.4,42.4,49.0,56.1,62.8,68.3,72.4,74.7,76.2,80.5,83.5,87.5,94.6,96.7,98.9,100.6,104.3,110.2,114.1,117.7,123.2,123.3,127.7,135.9,149.1,165.0,180.7,198.3,222.5,236.7,260.3,286.7,315.1,345.2,404.3,400.2,413.1,431.0,466.3,498.4,534.7,559.1,585.5,608.9,634.4,641.7,633.9,629.5,639.3,660.8,655.2,650.9,666.8,685.7,711.2,735.3,768.0,803.6,855.2,885.7,923.4,954.8,969.0,979.9,992.4,993.4,1005.6,1022.6,1059.6
"3","          Structures",35.6,36.2,37.7,38.0,40.0,39.7,37.4,32.1,37.1,44.5,44.7,51.4,54.6,57.0,58.7,61.8,74.7,100.2,112.8,113.1,119.1,130.0,152.0,161.6,154.8,170.1,192.3,202.5,201.4,210.4,226.8,254.8,267.0,282.8,287.7,298.0,313.5,332.5,351.5,370.6,398.7,434.3,472.1,517.5,578.5,651.9,715.9,789.3,904.0,1131.4,1176.2,1237.0,1307.4,1435.2,1646.2,1893.3,2073.3,2178.1,2206.9,2282.2,2375.0,2518.9,2651.7,2777.4,2918.3,3049.8,3137.3,3271.1,3424.3,3625.3,3827.6,4013.3,4238.4,4445.2,4720.8,5029.5,5284.6,5542.8,5785.8,6502.6,7174.1,8001.8,8661.2,9255.0,9248.2,9581.6,10137.5,10489.6,10863.2,11131.2,11319.9,11668.2,12152.2,12778.5
"4","            Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.3,0.4,0.6,1.1,1.9,3.0,3.3,3.6,4.3,5.6,5.0,5.1,6.3,7.7,7.2,7.6,10.3,7.3,8.6,9.0,9.8,10.7,11.3,12.1,12.9,13.2,14.0,14.7,15.7,16.5,18.5,20.6,21.9,24.6,27.5,31.1,34.7,38.0,42.5,48.9,56.5,67.3,73.7,80.8,85.7,96.0,99.5,100.4,103.9,113.4,128.6,137.4,141.9,142.8,151.1,161.8,172.6,178.8,186.6,195.1,205.0,217.8,229.6,244.2,257.6,275.7,303.0,332.0,347.0,344.8,335.9,329.8,332.5,337.0,347.6,371.1,384.0,391.9,413.9,426.5,443.5
"5","            Industrial 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.4,2.4,7.6,10.1,11.4,13.7,13.5,12.5,13.2,12.6,12.7,14.7,16.1,17.2,18.0,19.0,20.6,22.0,22.3,20.4,19.7,20.0,19.6,19.8,19.6,20.7,21.2,22.8,22.9,24.5,25.8,28.0,27.9,30.5,36.3,34.9,34.9,35.7,37.4,41.1,45.9,49.4,50.5,49.9,50.1,50.8,52.2,53.8,54.7,56.1,57.6,57.4,57.4,57.3,58.2,59.2,60.1,61.3,62.0,62.9,63.9,64.2,64.8,65.3,69.9,74.1,78.7,80.7,80.4,75.2,73.9,74.5,75.1,77.1,77.6,77.2,78.5,79.5,80.9
"6","            Office",0.6,0.6,0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.8,0.8,0.9,1.2,1.3,1.4,1.5,1.6,1.7,1.8,1.8,1.9,1.9,2.4,2.6,2.6,3.0,3.5,3.6,3.8,4.1,4.6,5.1,5.6,6.0,6.6,6.9,7.4,8.4,9.5,10.3,11.8,13.4,14.9,17.3,20.1,22.4,25.9,29.1,33.3,40.2,44.3,49.4,56.1,64.7,74.9,86.4,95.6,102.6,108.4,115.4,122.0,131.3,140.7,149.3,159.0,168.3,174.6,184.3,197.0,212.3,224.8,240.3,262.4,285.6,310.4,332.3,352.4,377.6,403.7,458.0,520.1,577.8,615.7,669.2,656.5,671.1,710.2,729.4,760.6,788.5,812.4,835.8,869.2,925.1
"7","            Commercial",0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,0.6,0.7,1.0,1.1,1.3,1.3,1.4,1.5,1.5,1.6,1.6,1.7,1.9,2.1,2.0,1.9,2.0,2.3,2.2,2.1,2.2,2.3,2.3,2.5,2.6,2.8,2.7,2.7,3.0,3.3,3.1,3.5,3.9,4.1,4.5,5.0,5.4,5.9,6.3,7.0,8.1,8.4,9.0,9.8,11.2,12.0,13.7,14.9,15.6,16.3,17.0,18.0,19.7,21.5,22.3,23.1,24.0,24.4,25.1,26.2,27.0,27.5,28.6,29.8,31.6,34.6,35.7,36.7,37.8,39.4,42.8,46.3,49.6,51.5,52.6,49.5,49.9,51.0,52.8,55.9,58.3,60.2,63.5,66.5,70.2
"8","            Health care",0.9,1.0,1.0,1.1,1.2,1.2,1.1,1.0,1.0,1.2,1.2,1.3,1.5,1.7,1.7,1.8,2.0,2.1,2.2,2.3,2.5,2.9,4.1,4.5,4.8,5.8,6.8,7.2,7.5,7.4,8.2,9.0,9.3,9.5,10.0,10.3,10.7,11.1,11.4,12.1,12.7,13.6,14.4,16.0,18.0,20.1,22.8,25.4,28.3,34.0,36.2,39.4,43.8,49.4,56.7,64.3,70.5,75.0,78.3,82.5,85.9,90.5,95.1,99.7,104.4,108.5,110.5,115.0,121.4,128.7,133.7,139.3,146.4,153.7,161.5,169.2,176.5,182.6,190.4,207.3,227.5,244.8,254.4,258.3,245.0,246.7,254.7,263.2,278.3,286.5,290.6,294.7,306.9,324.3
"9","            Educational",5.8,6.1,6.3,6.5,6.7,6.4,5.8,4.8,4.7,5.5,5.5,6.0,7.1,7.5,7.7,8.1,9.0,9.4,10.0,10.2,10.7,12.6,17.4,18.5,18.0,20.5,23.7,24.9,25.9,27.3,31.2,35.5,37.9,40.5,43.8,46.0,48.7,51.4,54.2,58.7,63.4,70.6,77.2,87.7,99.3,111.3,124.0,136.5,153.0,180.9,191.4,205.4,225.6,250.7,283.9,317.2,342.4,359.1,370.4,386.9,400.6,419.8,438.4,458.9,481.9,501.6,513.9,537.2,567.0,603.4,633.4,668.6,716.1,770.9,828.4,890.4,961.1,1028.5,1089.2,1218.6,1343.3,1527.2,1645.5,1866.8,1893.2,1954.8,2080.9,2134.7,2234.4,2302.2,2375.3,2417.3,2542.6,2715.3
