"Table 7.3. Current-Cost Depreciation of Government Fixed Assets"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Government fixed assets 1",0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.6,2.1,3.7,6.5,9.3,10.6,11.4,11.4,10.5,9.7,9.1,10.1,11.1,12.3,13.0,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.9,25.1,26.4,28.1,30.2,32.7,35.4,38.6,41.3,43.5,46.7,53.7,59.7,63.8,68.7,75.0,83.1,93.4,105.3,116.6,124.4,135.2,143.9,153.6,164.1,176.5,188.7,200.2,211.0,217.4,225.1,233.1,241.6,246.2,251.3,257.6,266.8,279.5,288.2,296.2,307.2,324.5,348.3,372.2,399.5,427.0,442.8,457.2,477.1,493.6,504.6,516.5,522.7,528.3,543.2,565.7
"2","          Equipment",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,1.8,4.2,6.8,7.9,8.3,7.7,6.4,5.5,4.8,4.9,5.6,6.4,7.1,7.5,8.0,8.4,8.4,8.8,9.2,9.5,10.1,10.7,10.9,11.1,11.5,12.1,12.9,13.4,13.9,14.1,14.2,14.3,15.8,17.5,19.4,21.3,23.7,25.9,28.3,31.5,35.5,38.7,43.9,46.4,49.3,52.3,56.0,60.6,64.9,69.3,71.9,74.6,78.0,79.5,80.0,79.3,80.2,81.6,84.3,85.5,86.6,88.7,92.2,95.9,99.9,105.0,112.0,118.4,123.2,128.0,131.0,131.5,131.6,131.2,131.1,132.3,135.9
"3","          Structures",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.0,1.1,1.3,1.7,2.0,2.0,2.0,2.3,2.7,3.0,3.0,3.0,3.6,3.8,4.0,3.9,4.1,4.6,5.0,5.2,5.4,5.5,5.7,6.1,6.4,6.8,7.2,7.8,8.4,9.2,10.2,11.5,12.8,13.9,15.6,19.0,21.4,22.1,23.4,25.2,28.3,32.4,36.6,39.6,40.2,41.2,42.7,44.9,47.6,49.9,52.2,54.9,56.9,58.5,61.2,64.2,68.2,71.6,75.5,79.2,83.7,89.2,94.3,98.9,103.5,111.7,125.0,138.0,152.5,164.5,169.9,172.8,181.3,190.1,196.2,202.6,206.7,210.7,218.5,229.8
"4","            Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1.0,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.9,2.0,2.0,2.1,2.2,2.4,2.5,2.6,2.7,2.8,3.0,3.2,3.4,3.5,3.8,4.1,4.5,4.8,4.9,4.8,4.7,4.7,4.8,4.8,5.1,5.4,5.5,5.7,6.0,6.2
"5","            Industrial 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.3,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.1,1.1,1.3,1.4,1.5,1.4,1.4,1.5,1.5,1.5,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.9,1.9,2.0,2.1,2.2,2.3,2.3,2.2,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3
"6","            Office",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.9,1.1,1.2,1.4,1.6,1.8,1.8,2.0,2.1,2.3,2.5,2.6,2.8,3.0,3.1,3.2,3.5,3.7,4.0,4.2,4.6,5.0,5.4,5.9,6.2,6.6,7.1,7.8,8.8,9.9,10.4,11.5,12.1,12.0,12.5,13.1,13.5,14.1,14.6,15.0,15.5,16.3
"7","            Commercial",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.5,0.9,0.9,0.8,0.9,0.9,0.9,1.0,1.0,1.1,1.1,1.2
"8","            Health care",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.6,1.7,1.8,1.9,2.0,2.0,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.9,3.0,3.2,3.3,3.4,3.6,4.0,4.3,4.6,4.7,4.6,4.5,4.6,4.7,4.9,5.2,5.3,5.4,5.5,5.8
"9","            Educational",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.0,1.1,1.2,1.3,1.5,1.7,1.9,2.2,2.4,2.7,3.0,3.4,3.6,3.9,4.4,4.9,5.5,6.0,6.5,6.7,7.0,7.2,7.5,7.9,8.2,8.6,9.0,9.3,9.6,10.1,10.7,11.4,11.9,12.7,13.6,14.6,15.8,17.0,18.2,19.3,21.1,23.5,25.9,29.4,31.6,34.7,35.3,37.0,38.8,39.9,41.7,43.0,43.9,45.5,48.1
"10","            Public safety",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.6,1.7,1.9,2.0,2.1,2.3,2.4,2.6,2.8,3.0,3.1,3.2,3.4,3.7,4.1,4.3,4.4,4.2,4.1,4.1,4.2,4.4,4.7,4.8,5.0,5.3,5.5
"11","            Amusement and recreation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.8,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.3,1.3,1.4,1.5,1.6,1.7,1.8,1.9,2.1,2.2,2.4,2.5,2.7,2.9,3.3,3.6,3.8,4.0,3.9,3.8,3.9,4.1,4.3,4.6,4.8,5.0,5.3,5.6
