"Table 1.1.9. Implicit Price Deflators for Gross Domestic Product"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",9.424,9.079,8.146,7.193,6.993,7.376,7.528,7.620,7.947,7.720,7.644,7.736,8.258,8.915,9.323,9.544,9.791,11.054,12.267,12.956,12.935,13.095,14.024,14.266,14.439,14.573,14.819,15.324,15.832,16.192,16.414,16.638,16.815,17.020,17.215,17.477,17.798,18.296,18.827,19.628,20.591,21.677,22.776,23.761,25.063,27.318,29.849,31.491,33.448,35.801,38.771,42.273,46.273,49.132,51.056,52.898,54.571,55.670,57.046,59.059,61.374,63.671,65.825,67.325,68.920,70.392,71.868,73.183,74.445,75.283,76.370,78.078,79.790,81.052,82.557,84.780,87.421,90.066,92.486,94.285,95.004,96.111,98.118,100.000,101.755,103.638,104.717,105.801,107.794,110.420
"2","Personal consumption expenditures",9.314,8.920,7.965,7.024,6.774,7.081,7.256,7.323,7.590,7.417,7.345,7.407,7.868,8.847,9.661,10.216,10.625,11.364,12.517,13.225,13.122,13.278,14.182,14.473,14.663,14.787,14.845,15.140,15.600,15.969,16.207,16.473,16.644,16.839,17.040,17.287,17.536,17.979,18.431,19.152,20.015,20.951,21.841,22.586,23.802,26.280,28.470,30.032,31.986,34.211,37.251,41.262,44.958,47.456,49.474,51.343,53.134,54.290,55.964,58.151,60.690,63.355,65.473,67.218,68.892,70.330,71.811,73.346,74.623,75.216,76.338,78.235,79.738,80.789,82.358,84.411,86.812,89.174,91.438,94.180,94.094,95.705,98.131,100.000,101.346,102.830,103.045,104.091,105.929,108.143
"3","    Goods",14.884,14.092,12.149,10.467,10.380,11.404,11.710,11.756,12.179,11.685,11.508,11.611,12.565,14.643,16.327,17.414,18.210,19.598,21.957,23.252,22.709,22.780,24.619,24.856,24.742,24.648,24.503,24.919,25.699,26.284,26.418,26.625,26.725,26.863,27.086,27.381,27.669,28.278,28.777,29.780,30.934,32.114,33.079,33.926,35.949,40.436,43.703,45.413,47.837,50.773,55.574,61.797,66.389,68.198,69.429,70.742,71.877,71.541,73.842,75.788,78.704,81.927,83.930,84.943,85.681,86.552,87.361,88.321,88.219,86.893,87.349,89.082,89.015,88.166,88.054,89.292,91.084,92.306,93.331,96.122,93.812,95.183,98.773,100.000,99.407,98.920,95.885,94.318,94.586,95.232
"4","        Durable goods",32.067,30.190,26.956,23.751,23.174,24.566,24.427,24.567,25.579,25.560,25.251,25.506,27.393,32.068,34.979,39.322,41.593,43.310,47.107,49.516,49.855,50.109,53.467,53.800,53.377,52.208,52.006,53.259,55.219,56.222,57.115,56.899,57.043,57.288,57.507,57.767,57.293,57.168,58.086,59.948,61.638,62.967,65.141,65.859,66.834,71.222,77.596,81.840,85.505,90.291,96.275,104.630,111.627,115.981,118.332,120.082,121.352,122.687,126.217,128.299,130.637,131.935,133.868,134.793,136.120,138.784,139.797,138.386,135.364,131.538,127.994,125.717,123.254,120.143,115.752,113.488,112.309,110.388,108.038,106.012,104.020,102.107,101.280,100.000,97.968,95.429,93.359,91.136,89.040,87.533
"5","        Nondurable goods",10.057,9.535,8.152,6.989,6.953,7.691,7.948,7.976,8.253,7.847,7.723,7.790,8.447,9.833,11.003,11.644,12.155,13.169,14.869,15.780,15.266,15.304,16.615,16.794,16.735,16.775,16.666,16.905,17.400,17.824,17.850,18.063,18.139,18.238,18.419,18.665,19.002,19.610,19.968,20.688,21.583,22.553,23.190,23.933,25.863,29.775,32.076,33.120,35.018,37.256,41.271,46.335,49.913,51.046,51.922,53.001,53.993,53.304,55.117,56.869,59.690,63.112,64.955,65.898,66.434,66.788,67.486,69.014,69.735,69.223,70.943,73.990,74.776,74.781,76.327,78.970,81.998,84.553,87.041,91.904,89.467,92.182,97.652,100.000,100.082,100.599,97.076,95.858,97.427,99.299
"6","    Services",6.789,6.594,6.130,5.538,5.190,5.124,5.236,5.321,5.519,5.524,5.509,5.553,5.749,6.155,6.539,6.840,7.063,7.491,8.037,8.462,8.605,8.825,9.260,9.598,9.968,10.218,10.391,10.638,10.949,11.220,11.521,11.826,12.037,12.265,12.461,12.689,12.926,13.298,13.739,14.338,15.078,15.913,16.781,17.491,18.336,19.890,21.595,23.093,24.841,26.750,28.994,32.009,35.288,38.058,40.396,42.498,44.577,46.408,47.796,50.082,52.443,54.846,56.992,59.018,61.059,62.719,64.471,66.240,68.107,69.549,70.970,72.938,75.171,77.123,79.506,81.965,84.673,87.616,90.516,93.235,94.231,95.957,97.814,100.000,102.316,104.804,106.704,109.120,111.793,114.851
"7","Gross private domestic investment",14.263,13.939,12.287,9.251,8.560,9.768,9.632,9.706,10.882,9.690,9.920,10.380,11.267,12.286,12.399,12.879,13.518,15.037,17.510,18.838,18.918,19.635,21.746,21.610,21.583,21.594,22.277,23.529,24.072,24.067,24.378,24.518,24.470,24.496,24.430,24.588,24.968,25.481,26.132,27.116,28.409,29.636,31.097,32.396,34.165,37.630,42.079,44.397,47.675,51.542,56.175,61.354,67.148,70.688,70.939,71.689,72.571,74.159,75.764,77.652,79.630,81.228,82.684,82.672,83.641,84.908,86.263,86.227,86.239,85.706,85.826,86.862,87.367,87.927,88.503,91.157,94.913,98.130,99.585,100.597,99.366,97.699,98.748,100.000,100.876,102.872,103.826,103.745,105.370,107.968
"8","    Fixed investment",10.410,9.985,9.240,8.169,7.984,8.367,8.413,8.511,9.221,9.336,9.294,9.524,10.217,11.217,11.800,12.287,12.675,13.917,16.280,17.642,17.980,18.380,19.944,20.420,20.599,20.754,21.106,22.315,23.078,23.173,23.408,23.554,23.501,23.527,23.470,23.633,24.019,24.523,25.185,26.196,27.498,28.699,30.134,31.420,33.169,36.449,40.874,43.232,46.550,50.444,54.977,60.105,65.624,69.311,69.575,70.253,71.277,73.021,74.506,76.586,78.561,80.278,81.683,81.728,82.711,83.983,85.378,85.450,85.599,85.133,85.277,86.486,87.241,87.500,88.265,90.843,94.597,97.958,99.456,100.296,99.076,97.568,98.641,100.000,101.091,103.172,104.187,104.234,106.057,108.507
"9","        Nonresidential",13.453,12.826,11.946,10.817,10.552,10.895,11.015,11.028,11.905,11.983,11.877,12.141,12.929,14.308,14.937,15.390,15.788,17.371,20.106,21.785,22.271,22.733,24.857,25.400,25.645,25.884,26.267,28.224,29.603,29.813,30.223,30.404,30.280,30.308,30.315,30.513,30.853,31.327,32.093,33.237,34.638,36.296,37.997,39.297,40.882,44.857,50.766,53.562,57.111,60.930,65.830,71.641,78.453,82.911,82.774,83.036,83.893,85.365,86.339,88.514,90.572,92.516,94.267,93.960,94.161,94.904,95.849,95.267,94.735,93.248,92.314,92.718,92.346,91.863,91.156,92.055,94.443,96.745,98.310,99.832,99.184,97.416,98.559,100.000,100.251,101.469,102.042,101.146,102.116,103.515
