"Table 1.14. Gross Value Added of Domestic Corporate Business in Current Dollars and Gross Value Added of Nonfinancial Domestic Corporate Business in Current and Chained Dollars"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross value added of corporate business1",54.8,48.2,37.8,27.9,26.9,33.5,37.1,42.7,48.3,43.0,47.3,54.1,70.0,87.5,103.5,107.3,100.8,105.8,127.5,146.1,143.0,162.1,185.8,195.0,209.2,206.9,233.1,250.1,261.7,256.8,287.4,299.9,308.7,336.0,357.4,386.0,423.8,465.1,491.2,542.1,590.7,612.1,660.9,732.9,820.2,889.6,965.5,1087.3,1232.5,1406.9,1564.3,1702.2,1934.8,2018.4,2172.4,2434.6,2601.3,2706.6,2894.9,3142.4,3320.0,3467.1,3554.4,3741.9,3918.3,4209.4,4473.4,4769.1,5141.8,5473.4,5802.2,6214.6,6202.0,6293.6,6515.5,6948.3,7473.4,8008.7,8180.7,8094.3,7803.9,8232.1,8627.5,9182.7,9478.1,10056.4,10495.4,10662.4,11030.5,11576.3
"2","Consumption of fixed capital",5.2,5.1,4.8,4.2,4.0,4.1,4.2,4.2,4.7,4.8,4.8,5.0,5.6,6.4,6.6,6.7,7.0,8.0,9.8,11.5,12.4,13.3,15.1,16.1,17.3,18.3,19.6,22.1,24.6,26.4,27.6,28.5,29.5,30.8,32.4,34.4,37.1,40.9,45.1,50.0,55.7,61.8,67.6,73.4,82.0,96.0,113.5,125.0,140.5,159.3,183.4,212.1,244.9,272.5,285.9,303.2,326.9,349.9,371.3,399.9,427.1,454.7,479.6,494.3,517.2,547.6,590.4,626.3,670.1,715.0,769.6,838.6,888.6,914.6,932.5,973.0,1042.0,1119.3,1188.9,1256.6,1263.8,1271.2,1324.6,1392.5,1450.2,1527.5,1592.6,1630.6,1704.0,1796.3
"3","Net value added",49.6,43.1,33.1,23.6,22.9,29.4,33.0,38.5,43.6,38.2,42.5,49.1,64.4,81.1,96.9,100.5,93.9,97.8,117.7,134.6,130.6,148.8,170.7,178.9,191.9,188.5,213.5,228.0,237.1,230.4,259.8,271.4,279.2,305.1,324.9,351.6,386.6,424.2,446.1,492.1,534.9,550.3,593.3,659.5,738.2,793.5,852.0,962.3,1092.1,1247.6,1380.9,1490.1,1689.9,1745.9,1886.5,2131.5,2274.4,2356.7,2523.6,2742.5,2892.8,3012.5,3074.8,3247.6,3401.2,3661.8,3882.9,4142.8,4471.8,4758.4,5032.5,5376.0,5313.4,5379.0,5583.0,5975.3,6431.4,6889.5,6991.8,6837.7,6540.1,6960.9,7302.9,7790.3,8027.9,8528.9,8902.8,9031.9,9326.5,9780.0
"4","    Compensation of employees",34.2,30.8,25.4,19.0,18.0,21.0,23.1,26.3,30.5,27.3,29.8,32.9,41.6,52.8,64.1,67.1,64.1,69.9,82.1,91.1,88.8,98.7,114.6,123.0,134.0,132.2,144.6,158.2,166.5,164.0,180.3,190.7,195.6,211.0,222.7,239.2,259.9,288.5,308.4,340.2,377.5,398.0,421.7,468.2,526.1,577.3,607.8,682.8,771.7,884.7,1004.4,1102.0,1220.6,1275.1,1353.0,1501.1,1615.9,1723.4,1847.6,2002.3,2119.3,2234.9,2277.8,2420.5,2515.7,2649.0,2787.9,2953.7,3176.6,3447.5,3684.3,4008.9,4013.8,3972.7,4040.9,4240.2,4443.0,4681.2,4894.2,4940.3,4607.5,4700.8,4928.0,5182.7,5352.4,5645.2,5941.8,6095.5,6412.9,6750.3
"5","        Wages and salaries",33.8,30.4,25.0,18.7,17.7,20.7,22.7,25.6,29.3,25.8,28.3,31.2,39.6,50.5,61.3,63.9,60.9,66.5,78.0,86.9,84.4,93.0,107.5,115.5,125.8,123.6,134.8,147.0,154.0,151.4,165.6,174.5,178.7,191.8,201.9,216.8,235.2,259.2,277.1,305.4,338.0,356.0,376.2,414.8,464.6,508.9,528.4,591.2,662.7,756.2,855.6,935.6,1033.4,1073.1,1132.6,1256.8,1351.4,1432.3,1536.6,1666.1,1756.5,1849.3,1875.3,1977.8,2049.1,2160.3,2296.1,2448.2,2650.8,2883.2,3092.4,3363.8,3352.3,3295.4,3335.7,3502.1,3663.8,3883.9,4069.6,4106.4,3813.9,3896.8,4095.9,4323.3,4460.3,4720.4,4978.1,5119.1,5381.3,5665.3
"6","        Supplements to wages and salaries",0.4,0.4,0.4,0.3,0.3,0.3,0.4,0.6,1.3,1.4,1.5,1.6,2.0,2.3,2.8,3.2,3.2,3.4,4.1,4.2,4.4,5.7,7.0,7.5,8.2,8.6,9.8,11.2,12.5,12.6,14.6,16.2,16.9,19.2,20.8,22.4,24.7,29.3,31.4,34.8,39.4,42.0,45.5,53.4,61.5,68.4,79.4,91.6,109.0,128.5,148.8,166.4,187.1,202.0,220.3,244.3,264.5,291.1,311.1,336.3,362.8,385.7,402.5,442.7,466.7,488.7,491.8,505.5,525.7,564.3,591.9,645.1,661.5,677.3,705.2,738.1,779.2,797.3,824.6,834.0,793.5,804.0,832.1,859.4,892.2,924.8,963.7,976.3,1031.6,1084.9
"7","    Taxes on production and imports less subsidies",3.0,3.0,2.8,2.9,3.5,4.1,4.2,4.4,4.6,4.6,4.8,5.1,6.1,6.4,6.8,7.5,8.3,9.8,11.5,12.7,13.4,14.8,15.9,17.3,18.5,17.9,19.8,21.5,22.8,23.1,25.6,27.8,28.9,31.2,33.2,35.6,37.8,38.9,41.4,47.8,52.9,57.0,62.8,67.3,74.1,78.6,84.5,91.4,100.0,108.7,115.0,128.6,154.4,161.3,177.4,195.6,209.0,219.6,233.4,252.0,267.5,284.5,307.9,325.9,343.8,376.1,384.8,398.4,416.9,430.8,454.0,479.8,469.4,497.5,524.3,569.4,616.3,654.5,676.3,685.0,655.5,684.9,718.7,743.2,793.1,828.3,850.6,869.4,897.0,953.6
"8","    Net operating surplus",12.3,9.3,4.9,1.7,1.4,4.3,5.8,7.8,8.4,6.3,7.9,11.1,16.7,21.8,26.0,25.9,21.5,18.2,24.0,30.7,28.4,35.4,40.2,38.6,39.4,38.4,49.0,48.3,47.8,43.3,54.0,52.9,54.7,62.9,69.1,76.8,89.0,96.8,96.3,104.1,104.6,95.3,108.8,124.0,138.0,137.6,159.7,188.1,220.3,254.2,261.5,259.6,314.9,309.4,356.1,434.8,449.5,413.7,442.6,488.2,506.0,493.1,489.1,501.2,541.7,636.7,710.3,790.7,878.3,880.2,894.2,887.3,830.2,908.7,1017.8,1165.8,1372.2,1553.7,1421.2,1212.4,1277.2,1575.2,1656.2,1864.4,1882.4,2055.3,2110.3,2067.0,2016.6,2076.1
"9","        Net interest and miscellaneous payments",1.4,1.5,1.5,1.4,1.2,1.4,1.5,1.4,1.3,1.3,1.3,1.1,1.0,1.0,0.9,0.7,0.6,0.1,0.3,0.0,0.0,-0.1,-0.2,-0.2,0.0,0.2,0.1,0.0,0.2,0.6,-0.2,-0.2,0.4,0.8,0.4,0.8,1.2,2.3,4.0,4.3,8.5,12.5,12.6,12.4,14.7,23.1,27.2,22.7,27.7,30.6,36.3,59.4,82.8,95.5,91.9,106.6,102.2,99.5,99.7,104.4,125.2,117.4,79.3,63.2,62.3,57.7,60.2,59.4,81.7,121.6,127.2,174.0,155.4,92.3,70.0,16.9,50.3,98.9,156.5,220.8,141.4,132.0,151.0,210.2,202.4,245.1,326.8,324.4,352.8,381.3
