"Table 1.3.5. Gross Value Added by Sector"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",104.6,92.2,77.4,59.5,57.2,66.8,74.2,84.8,93.0,87.4,93.4,102.9,129.3,166.0,203.1,224.4,228.0,227.5,249.6,274.5,272.5,299.8,346.9,367.3,389.2,390.5,425.5,449.4,474.0,481.2,521.7,542.4,562.2,603.9,637.5,684.5,742.3,813.4,860.0,940.7,1017.6,1073.3,1164.9,1279.1,1425.4,1545.2,1684.9,1873.4,2081.8,2351.6,2627.3,2857.3,3207.0,3343.8,3634.0,4037.6,4339.0,4579.6,4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6,9062.8,9630.7,10252.3,10581.8,10936.4,11458.2,12213.7,13036.6,13814.6,14451.9,14712.8,14448.9,14992.1,15542.6,16197.0,16784.9,17527.3,18224.8,18715.0,19519.4,20580.2
"2","Business1",90.0,77.9,63.9,47.5,45.6,54.3,61.2,70.0,78.1,71.5,77.4,86.2,109.2,136.4,159.0,170.0,168.3,179.5,205.6,229.5,224.8,249.4,285.7,298.5,315.9,313.7,343.4,361.1,379.0,379.2,413.6,426.2,438.5,471.3,496.0,533.2,580.1,635.0,665.2,726.3,782.7,815.9,882.5,972.5,1094.0,1182.8,1284.8,1443.3,1616.2,1838.2,2062.8,2225.8,2502.0,2568.6,2801.9,3136.7,3369.6,3539.3,3735.2,4019.3,4326.7,4542.0,4645.0,4920.2,5177.4,5523.7,5795.1,6159.5,6578.8,6959.2,7400.1,7876.1,8062.0,8264.4,8642.4,9240.6,9898.0,10509.1,10994.6,11054.9,10669.9,11140.5,11612.9,12189.5,12670.5,13280.5,13826.3,14180.6,14830.7,15680.8
"3","    Nonfarm2",81.1,70.9,58.2,43.5,41.5,50.1,54.7,64.2,70.4,65.6,71.7,80.3,100.9,124.0,144.4,155.4,153.2,161.7,186.5,207.4,207.2,230.7,264.0,277.7,297.2,295.5,326.2,344.0,362.1,360.1,396.3,408.0,420.1,452.9,477.5,515.8,560.2,614.1,645.1,705.8,759.9,792.3,857.2,942.9,1047.2,1138.5,1239.2,1400.2,1572.7,1787.5,2002.7,2174.4,2437.0,2508.2,2757.0,3072.6,3305.9,3479.4,3673.2,3957.9,4252.8,4464.2,4574.7,4840.4,5106.2,5440.1,5726.7,6066.9,6490.6,6880.2,7329.2,7800.1,7983.9,8190.4,8551.3,9121.2,9793.5,10412.8,10878.9,10935.4,10566.8,11022.8,11460.7,12040.5,12485.9,13112.4,13680.3,14051.6,14691.2,15551.2
"4","    Farm",8.9,7.0,5.7,3.9,4.1,4.2,6.4,5.9,7.7,6.0,5.7,5.9,8.3,12.4,14.6,14.6,15.1,17.8,19.1,22.1,17.6,18.7,21.7,20.8,18.7,18.2,17.3,17.1,16.9,19.1,17.3,18.2,18.3,18.4,18.5,17.3,19.9,20.8,20.1,20.5,22.8,23.7,25.4,29.7,46.8,44.2,45.6,43.0,43.5,50.7,60.1,51.4,65.0,60.4,44.9,64.2,63.7,59.9,62.0,61.4,73.9,77.8,70.4,79.9,71.3,83.6,68.4,92.6,88.1,79.0,70.9,76.0,78.1,74.0,91.1,119.4,104.5,96.3,115.7,119.5,103.1,117.6,152.2,148.9,184.6,168.1,146.0,129.0,139.4,129.6
"5","Households and institutions",9.1,8.6,7.7,6.6,5.9,5.8,5.9,6.1,6.6,6.7,6.8,7.1,7.5,8.5,9.3,10.3,11.2,11.9,13.3,14.8,16.1,17.9,20.1,22.4,24.8,27.0,29.7,32.2,34.9,37.9,41.1,45.0,47.8,51.5,54.9,58.4,62.6,67.6,72.9,79.0,87.0,94.6,104.5,114.0,124.6,137.2,151.6,164.9,179.9,202.1,226.3,258.2,291.6,323.8,352.5,383.8,411.8,447.0,489.5,539.8,586.0,636.3,677.3,720.3,772.8,824.7,877.8,923.2,975.9,1040.6,1112.4,1191.9,1267.2,1343.6,1411.0,1494.5,1583.3,1673.6,1730.3,1836.8,1895.5,1905.5,1956.8,2018.4,2075.0,2158.8,2256.2,2349.0,2445.7,2569.9
"6","    Households",7.5,7.0,6.2,5.2,4.6,4.5,4.5,4.7,5.1,5.1,5.2,5.4,5.8,6.5,7.1,7.9,8.6,8.9,9.7,10.7,11.6,13.0,14.7,16.5,18.4,20.1,22.2,24.0,25.9,28.0,30.3,32.8,34.8,37.3,39.4,41.5,44.1,46.8,49.8,52.9,57.1,61.2,67.2,72.7,78.5,85.5,93.7,101.7,110.7,124.8,139.5,158.8,179.2,198.2,213.6,230.9,248.2,268.4,289.8,316.4,341.4,367.6,386.6,407.1,437.6,472.7,506.9,534.6,565.7,601.6,645.2,693.5,744.7,780.7,816.6,868.4,933.4,991.2,1016.9,1075.2,1097.0,1091.0,1108.0,1128.0,1157.0,1203.3,1250.9,1301.8,1363.0,1437.4
"7","    Nonprofit institutions serving households3",1.6,1.6,1.5,1.4,1.3,1.3,1.4,1.4,1.5,1.6,1.6,1.7,1.8,2.0,2.2,2.4,2.5,3.0,3.6,4.1,4.5,4.9,5.4,5.9,6.4,6.9,7.5,8.2,9.0,9.9,10.8,12.2,13.0,14.2,15.4,16.8,18.5,20.8,23.1,26.1,30.0,33.4,37.4,41.4,46.1,51.7,58.0,63.2,69.2,77.3,86.9,99.3,112.4,125.6,138.9,152.8,163.6,178.6,199.7,223.4,244.6,268.8,290.7,313.2,335.1,352.0,370.9,388.7,410.2,439.0,467.3,498.5,522.6,562.9,594.4,626.1,649.8,682.4,713.4,761.6,798.5,814.5,848.8,890.3,918.0,955.4,1005.4,1047.2,1082.7,1132.5
"8","General government4",5.5,5.7,5.8,5.4,5.7,6.7,7.2,8.7,8.4,9.2,9.2,9.6,12.5,21.1,34.8,44.2,48.5,36.2,30.7,30.2,31.5,32.5,41.1,46.5,48.5,49.9,52.4,56.0,60.1,64.1,66.9,71.1,75.9,81.1,86.6,92.9,99.5,110.9,121.8,135.4,147.9,162.8,177.8,192.6,206.8,225.3,248.4,265.3,285.7,311.3,338.2,373.4,413.5,451.4,479.7,517.1,557.5,593.3,630.4,677.4,728.8,784.9,835.8,879.8,908.3,938.8,966.9,990.3,1022.9,1063.0,1118.1,1184.3,1252.6,1328.4,1404.8,1478.7,1555.4,1631.9,1726.9,1821.2,1883.5,1946.1,1972.9,1989.1,2039.3,2088.0,2142.2,2185.4,2243.1,2329.5
"9","    Federal",1.3,1.3,1.3,1.3,1.5,2.1,2.3,4.1,3.6,4.1,4.1,4.4,7.0,15.3,28.7,37.9,41.8,28.4,21.5,19.6,19.9,20.2,27.5,31.6,32.4,32.5,33.6,35.1,36.9,38.7,39.9,41.7,43.6,46.5,49.0,52.0,54.6,60.6,66.1,72.1,76.9,82.5,87.5,92.4,96.4,102.5,110.5,117.3,125.2,135.8,145.4,159.8,178.3,195.7,207.1,225.3,240.0,250.6,261.0,278.5,292.8,306.7,323.5,329.6,331.5,332.6,333.0,331.8,333.5,336.8,345.0,360.3,370.3,397.8,434.7,459.4,488.4,509.9,535.7,569.1,603.0,640.0,659.8,663.7,658.4,666.8,674.8,686.3,701.7,729.0
