"Table 1.7.6. Relation of Real Gross Domestic Product, Real Gross National Product, and Real Net National Product, Chained Dollars"
"[Billions of chained (2012) dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Gross domestic product (GDP)",1109.4,1015.1,950.0,827.5,817.3,905.6,986.2,1113.3,1170.3,1131.6,1222.4,1330.2,1565.8,1861.5,2178.4,2351.6,2328.6,2058.4,2034.8,2118.5,2106.6,2289.5,2473.8,2574.9,2695.6,2680.0,2871.2,2932.4,2994.1,2972.0,3178.2,3260.0,3343.5,3548.4,3702.9,3916.3,4170.8,4445.9,4567.8,4792.3,4942.1,4951.3,5114.3,5383.3,5687.2,5656.5,5644.8,5949.0,6224.1,6568.6,6776.6,6759.2,6930.7,6805.8,7117.7,7632.8,7951.1,8226.4,8511.0,8866.5,9192.1,9365.5,9355.4,9684.9,9951.5,10352.4,10630.3,11031.4,11521.9,12038.3,12610.5,13131.0,13262.1,13493.1,13879.1,14406.4,14912.5,15338.3,15626.0,15604.7,15208.8,15598.8,15840.7,16197.0,16495.4,16912.0,17403.8,17688.9,18108.1,18638.2
"2","Plus: Income receipts from the rest of the world",15.8,14.9,12.1,9.4,8.0,7.3,8.5,9.3,11.4,10.3,11.1,9.7,11.1,10.2,10.0,10.7,10.1,11.6,15.1,18.0,17.4,19.2,23.1,23.7,23.2,24.5,27.4,29.8,31.3,27.8,29.8,33.5,36.0,39.3,42.6,46.4,49.2,48.7,50.8,56.4,62.7,64.8,67.0,74.4,101.0,118.3,101.7,110.4,118.9,137.1,186.6,198.7,210.1,217.1,210.7,243.4,217.9,209.7,224.3,266.8,299.0,303.8,261.2,229.7,229.0,265.3,322.9,339.9,379.9,385.8,424.0,491.4,410.7,393.3,433.0,531.6,650.8,793.8,940.9,896.3,685.4,746.2,803.7,799.7,811.1,825.4,810.4,826.6,903.6,1023.9
"3","Less: Income payments to the rest of the world",5.1,4.7,3.9,2.9,2.6,2.7,3.0,4.9,5.1,3.8,4.3,4.4,4.0,3.6,4.3,4.8,5.3,4.1,4.3,4.7,5.3,5.8,6.4,6.5,6.9,6.9,7.6,7.9,8.1,8.3,9.8,11.3,11.4,11.5,12.7,14.1,15.4,17.1,18.2,21.2,28.2,30.6,29.0,33.4,44.7,53.5,51.8,51.0,52.1,70.4,95.6,108.0,129.5,132.9,129.0,164.8,162.8,171.9,188.2,222.4,253.0,245.2,211.2,181.5,181.5,229.8,281.6,295.6,346.3,360.9,388.1,443.4,346.8,334.9,359.6,436.1,557.7,733.1,817.7,729.0,535.1,541.1,562.7,567.4,584.2,591.0,589.8,613.5,666.8,762.5
"4","Equals: Gross national product",1120.1,1025.1,958.4,834.3,823.2,911.0,992.5,1118.9,1177.6,1139.0,1230.2,1337.1,1574.7,1870.9,2187.8,2361.6,2337.6,2069.0,2048.3,2134.3,2121.2,2305.7,2493.1,2594.9,2715.1,2700.5,2894.0,2957.1,3020.1,2994.7,3201.7,3285.5,3371.4,3579.4,3736.1,3951.9,4208.1,4481.6,4604.6,4831.8,4980.7,4989.5,5156.4,5428.4,5746.4,5723.1,5697.7,6011.2,6293.5,6637.8,6868.1,6849.8,7011.2,6889.4,7199.4,7711.1,8007.5,8266.4,8549.1,8912.3,9239.2,9425.1,9406.7,9734.7,10000.8,10389.7,10672.8,11076.9,11556.7,12064.6,12647.6,13180.0,13327.5,13553.2,13954.0,14503.0,15006.0,15398.6,15748.3,15771.6,15359.4,15803.9,16081.7,16429.3,16722.3,17146.5,17624.7,17902.2,18344.6,18897.8
"5","Less: Consumption of fixed capital",106.8,109.3,109.4,107.0,104.5,102.7,103.2,105.0,108.3,110.2,111.7,114.5,121.4,135.6,157.7,183.2,199.5,202.0,199.0,198.6,200.3,203.9,211.4,222.4,235.7,248.0,259.4,271.1,283.2,296.7,306.5,316.3,328.7,343.0,359.3,376.5,397.0,420.9,445.8,470.1,494.5,515.8,533.6,553.5,581.3,606.0,625.0,643.8,668.5,698.4,732.8,765.2,794.4,825.0,852.6,888.9,937.6,984.6,1031.7,1075.6,1119.8,1161.8,1195.8,1226.6,1263.2,1305.9,1357.7,1416.1,1487.5,1573.7,1672.3,1775.4,1862.8,1928.8,1990.2,2061.7,2144.2,2233.5,2321.5,2395.2,2436.5,2464.3,2511.4,2576.0,2649.7,2724.3,2798.5,2870.9,2943.5,3026.1
"6","    Private",99.2,101.2,100.6,97.6,94.6,92.4,92.3,93.3,95.9,97.0,97.6,99.6,103.0,104.0,101.5,100.2,101.0,106.2,115.2,124.4,131.9,139.0,146.0,151.6,158.6,165.8,173.6,182.0,190.2,199.5,204.8,209.4,216.4,224.5,234.5,245.9,260.7,278.4,295.7,312.8,331.4,348.5,364.2,382.8,408.3,430.6,447.1,462.8,484.0,509.7,539.2,566.0,589.2,613.3,633.5,660.1,696.7,730.3,763.9,795.6,828.9,860.6,886.1,910.5,942.0,981.0,1029.1,1083.2,1149.3,1228.9,1319.1,1413.5,1492.9,1550.1,1601.7,1661.9,1732.1,1808.1,1882.1,1941.6,1969.6,1986.4,2024.5,2082.4,2151.5,2223.2,2295.0,2364.3,2432.6,2509.2
"7","    Government",11.1,11.7,12.4,13.1,13.6,14.0,14.6,15.4,16.2,17.1,18.0,19.0,22.9,37.3,65.0,96.6,115.6,111.9,96.3,83.7,75.8,70.8,70.9,77.3,84.7,90.7,94.5,98.0,102.2,106.9,112.2,118.3,124.7,132.0,139.1,145.7,151.5,158.0,166.2,173.9,179.7,183.7,185.1,185.4,186.5,188.2,190.5,193.1,196.2,199.6,203.7,208.8,214.6,221.0,229.0,239.1,251.7,265.9,280.2,293.3,304.6,315.2,324.0,330.4,334.9,337.6,339.8,342.6,346.2,351.1,357.7,364.8,371.7,379.9,389.4,400.5,412.4,425.3,439.1,453.3,466.7,477.9,487.0,493.6,498.2,501.1,503.4,506.5,510.8,516.9
"8","        General government",9.2,9.7,10.3,10.8,11.2,11.6,12.1,12.8,13.5,14.2,15.0,15.8,19.5,33.5,60.5,91.3,109.9,106.2,90.9,78.5,70.6,65.5,65.4,71.4,78.5,84.1,87.7,90.9,94.8,99.0,104.0,109.6,115.5,122.2,128.8,134.8,140.1,146.0,153.5,160.6,165.7,169.0,169.9,169.5,169.9,170.9,172.4,174.4,176.9,179.7,183.1,187.3,192.2,197.8,204.8,213.9,225.4,238.4,251.6,263.5,273.7,283.1,290.7,295.9,299.1,300.7,302.0,303.9,306.5,310.2,315.3,320.9,326.5,333.4,341.1,350.4,360.9,372.5,385.1,398.0,409.8,419.4,427.3,433.0,436.6,438.5,439.8,441.8,445.0,449.9
"9","        Government enterprises",2.3,2.5,2.7,2.9,3.0,3.0,3.1,3.2,3.4,3.6,3.8,4.0,4.1,4.2,4.2,4.2,4.2,4.2,4.3,4.4,4.6,4.8,5.1,5.4,5.6,5.9,6.1,6.4,6.7,7.1,7.4,7.9,8.4,8.9,9.4,9.9,10.4,11.0,11.6,12.3,13.0,13.6,14.3,15.0,15.8,16.6,17.4,18.1,18.7,19.3,20.1,20.9,21.8,22.7,23.6,24.6,25.7,26.8,27.8,28.9,30.0,31.2,32.4,33.7,35.1,36.2,37.2,38.3,39.3,40.5,42.2,43.8,45.1,46.5,48.3,50.1,51.6,52.8,53.9,55.3,57.0,58.4,59.6,60.7,61.6,62.6,63.6,64.7,65.8,66.9
