"Table 1.9.5. Net Value Added by Sector"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Net domestic product",94.1,81.9,67.9,51.2,49.1,58.4,65.8,76.0,83.2,77.3,83.3,92.3,117.2,151.0,185.1,203.1,204.9,201.8,220.5,243.1,240.2,266.4,309.2,326.7,345.7,344.6,376.6,395.2,415.1,418.8,456.2,474.5,491.6,529.8,559.4,602.1,654.3,718.1,756.4,827.3,892.7,936.5,1015.9,1118.1,1246.7,1338.3,1446.4,1613.2,1792.0,2024.4,2253.5,2428.9,2719.8,2806.8,3071.4,3439.2,3698.8,3894.3,4124.8,4451.9,4803.3,5074.6,5225.7,5560.1,5855.1,6231.6,6517.4,6897.8,7338.2,7753.1,8231.7,8741.1,8982.3,9278.4,9739.2,10391.9,11065.6,11690.5,12199.1,12354.0,12077.5,12601.1,13068.1,13621.0,14103.6,14712.2,15308.3,15723.5,16398.0,17288.8
"2","Business1",81.8,69.8,56.4,40.8,39.3,47.9,54.7,63.4,70.7,64.0,69.8,78.3,100.5,126.4,148.9,159.5,157.5,167.2,190.4,211.6,205.4,228.5,261.9,273.3,289.2,285.6,313.7,328.1,342.9,340.7,373.6,385.1,396.1,427.1,449.8,484.4,527.7,577.7,602.5,657.3,706.3,731.7,790.3,872.2,982.3,1052.4,1131.8,1275.6,1428.7,1626.1,1818.9,1944.3,2178.6,2210.3,2427.7,2742.0,2946.6,3087.5,3256.3,3504.6,3777.5,3959.5,4033.9,4292.3,4522.2,4832.4,5053.7,5376.5,5745.2,6072.4,6447.7,6841.2,6965.3,7132.4,7482.1,8023.9,8590.1,9101.7,9499.7,9478.7,9085.7,9548.4,9960.0,10458.5,10868.8,11384.2,11851.2,12157.2,12717.8,13454.0
"3","    Nonfarm2",73.6,63.6,51.4,37.5,35.8,44.2,48.8,58.1,63.6,58.6,64.7,73.1,92.9,114.9,135.1,145.8,143.3,150.4,172.6,191.0,189.6,211.9,242.6,255.0,273.1,270.0,299.2,313.8,328.9,324.7,359.4,370.0,380.8,411.9,434.6,470.4,511.4,560.7,586.6,641.3,688.3,713.0,770.4,848.4,941.9,1015.6,1095.2,1242.5,1396.4,1587.9,1773.1,1909.3,2131.6,2169.0,2401.7,2696.5,2901.0,3045.5,3211.6,3460.5,3721.1,3899.7,3981.8,4230.7,4469.2,4767.6,5004.9,5304.1,5678.2,6015.4,6399.4,6788.0,6910.4,7081.9,7415.3,7930.2,8513.1,9034.4,9414.1,9390.9,9015.2,9463.8,9842.4,10346.6,10724.5,11260.4,11752.4,12076.0,12626.7,13374.5
"4","    Farm",8.2,6.2,5.0,3.4,3.6,3.6,5.9,5.3,7.1,5.3,5.1,5.2,7.6,11.6,13.8,13.7,14.3,16.9,17.8,20.6,15.8,16.7,19.3,18.3,16.1,15.5,14.6,14.2,14.0,16.0,14.2,15.1,15.2,15.2,15.2,14.0,16.3,16.9,15.9,16.0,18.1,18.6,19.9,23.8,40.4,36.8,36.7,33.0,32.3,38.2,45.8,35.0,46.9,41.3,26.0,45.5,45.5,42.0,44.6,44.1,56.4,59.8,52.1,61.6,53.0,64.8,48.8,72.4,67.0,57.0,48.3,53.2,54.9,50.5,66.8,93.7,77.0,67.4,85.6,87.8,70.5,84.6,117.6,111.8,144.4,123.7,98.8,81.2,91.0,79.5
"5","Households and institutions",7.8,7.3,6.6,5.7,4.9,4.8,4.9,5.0,5.4,5.4,5.6,5.7,6.1,6.8,7.6,8.4,9.1,9.6,10.4,11.4,12.5,14.0,15.6,17.4,19.5,21.4,23.6,25.6,27.9,30.5,33.3,36.9,39.3,42.7,45.6,48.5,51.9,56.1,60.5,65.4,71.8,78.1,86.3,93.7,101.3,110.2,120.7,130.6,140.3,155.5,172.0,196.0,223.1,250.9,276.5,302.9,325.6,353.6,387.7,431.1,469.0,512.5,548.2,585.6,628.8,671.2,714.9,752.6,796.0,848.5,904.2,965.0,1020.4,1080.6,1124.5,1176.2,1227.1,1284.4,1324.5,1429.8,1498.0,1508.8,1554.6,1606.4,1637.2,1691.4,1770.5,1840.1,1908.4,1995.5
"6","    Households",6.5,6.0,5.3,4.5,3.8,3.7,3.7,3.9,4.1,4.1,4.3,4.4,4.6,5.3,5.8,6.4,7.0,7.1,7.4,8.0,8.7,9.9,11.1,12.6,14.2,15.6,17.3,18.7,20.3,22.1,24.1,26.4,28.1,30.4,32.2,33.9,35.9,38.0,40.3,42.5,45.5,48.7,53.5,57.4,61.0,65.3,70.8,76.2,80.9,89.2,97.6,110.9,126.8,142.7,156.1,169.8,182.9,197.2,211.8,232.3,251.2,272.8,288.5,305.4,328.5,355.7,382.2,403.3,427.1,453.8,485.1,519.1,554.6,578.3,595.1,620.3,653.8,684.7,700.1,764.2,801.1,800.1,818.6,836.8,847.4,871.3,907.0,940.4,978.9,1024.9
"7","    Nonprofit institutions serving households3",1.3,1.3,1.3,1.2,1.1,1.1,1.1,1.2,1.2,1.3,1.3,1.4,1.4,1.6,1.8,2.0,2.1,2.5,3.0,3.4,3.8,4.1,4.5,4.9,5.4,5.8,6.3,6.9,7.6,8.4,9.2,10.5,11.2,12.3,13.4,14.6,16.1,18.1,20.2,22.8,26.3,29.4,32.9,36.3,40.3,44.8,49.9,54.4,59.4,66.3,74.3,85.0,96.4,108.2,120.4,133.1,142.7,156.4,175.9,198.8,217.8,239.8,259.6,280.2,300.2,315.6,332.7,349.3,369.0,394.8,419.2,445.9,465.8,502.3,529.4,555.9,573.3,599.7,624.4,665.7,696.9,708.8,736.0,769.6,789.8,820.1,863.5,899.8,929.5,970.6
"8","General government4",4.6,4.8,4.9,4.7,4.9,5.8,6.2,7.6,7.2,8.0,7.9,8.3,10.7,17.8,28.6,35.2,38.2,25.1,19.7,20.2,22.3,23.9,31.7,36.1,37.0,37.6,39.2,41.6,44.4,47.6,49.3,52.5,56.3,60.0,64.0,69.2,74.6,84.4,93.4,104.6,114.6,126.7,139.3,152.2,163.1,175.8,193.8,207.1,223.0,242.8,262.6,288.6,318.1,345.6,367.3,394.3,426.6,453.3,480.9,516.3,556.8,602.6,643.7,682.2,704.1,727.9,748.7,768.7,797.0,832.1,879.8,934.9,996.6,1065.5,1132.6,1191.8,1248.4,1304.4,1374.8,1445.4,1493.7,1543.9,1553.5,1556.2,1597.6,1636.6,1686.6,1726.2,1771.8,1839.2
"9","    Federal",1.1,1.1,1.1,1.0,1.3,1.9,2.0,3.8,3.2,3.7,3.6,3.9,6.2,13.1,23.7,30.0,32.6,18.6,12.1,11.2,12.4,13.4,20.2,23.4,23.3,22.5,22.9,23.5,24.3,25.3,25.8,26.6,27.7,29.5,30.8,33.0,34.8,39.8,43.8,48.3,51.4,55.2,58.8,62.6,64.6,67.8,72.5,76.5,80.9,87.1,92.0,100.8,112.2,122.0,127.7,136.5,145.0,149.1,153.1,161.9,168.5,176.0,186.5,189.6,188.0,186.1,183.3,182.2,183.5,185.8,191.7,202.4,211.2,236.3,267.7,284.3,303.5,314.5,329.1,349.6,375.8,402.8,411.6,409.1,399.8,404.2,411.2,422.5,432.9,451.6
