"Table 2.3.5. Personal Consumption Expenditures by Major Type of Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Personal consumption expenditures (PCE)",77.4,70.1,60.7,48.7,45.9,51.5,55.9,62.2,66.8,64.3,67.2,71.3,81.1,89.0,99.9,108.6,120.0,144.2,161.9,174.9,178.3,192.0,208.3,219.3,232.7,239.6,258.3,271.1,286.3,295.6,317.1,331.2,341.5,362.6,382.0,410.6,443.0,479.9,506.7,556.9,603.6,646.7,699.9,768.2,849.6,930.2,1030.5,1147.7,1274.0,1422.3,1585.4,1750.7,1934.0,2071.3,2281.6,2492.3,2712.8,2886.3,3076.3,3330.0,3576.8,3809.0,3943.4,4197.6,4452.0,4721.0,4962.6,5244.6,5536.8,5877.2,6279.1,6762.1,7065.6,7342.7,7723.1,8212.7,8747.1,9260.3,9706.4,9976.3,9842.2,10185.8,10641.1,11006.8,11317.2,11822.8,12284.3,12748.5,13312.1,13998.7
"2","Goods",43.8,38.2,31.7,24.1,23.8,28.5,31.6,36.0,38.4,36.0,37.9,40.6,47.4,51.0,56.3,60.5,67.6,86.2,99.4,107.4,108.1,116.8,124.7,128.8,134.8,135.8,147.4,152.2,159.6,161.6,172.6,177.0,178.8,189.0,198.2,212.3,229.7,249.6,259.0,284.6,304.7,318.8,342.1,373.8,416.6,451.5,491.3,546.3,600.4,663.6,737.9,799.8,869.4,899.3,973.8,1063.7,1137.6,1195.6,1256.3,1337.3,1423.8,1491.3,1497.4,1563.3,1642.3,1746.6,1815.5,1917.7,2006.5,2108.4,2287.1,2453.2,2525.6,2598.8,2722.6,2902.0,3082.9,3239.7,3367.0,3363.2,3180.0,3317.8,3518.1,3637.7,3730.0,3863.0,3920.3,3995.9,4165.0,4364.8
"3","    Durable goods",9.8,7.7,5.9,4.0,3.8,4.6,5.5,6.7,7.4,6.1,7.2,8.3,10.3,7.6,7.5,7.7,9.1,17.1,21.8,24.5,26.6,32.4,31.7,31.2,34.6,33.7,40.7,40.2,42.0,39.5,44.9,45.6,44.2,49.5,54.2,59.6,66.4,71.7,74.0,84.8,90.5,90.0,102.4,116.4,130.5,130.2,142.2,168.6,192.0,213.3,226.3,226.4,243.9,253.0,295.0,342.2,380.4,421.4,442.0,475.1,494.3,497.1,477.2,508.1,551.5,607.2,635.7,676.3,715.5,779.3,855.6,912.6,941.5,985.4,1017.8,1080.6,1128.6,1158.3,1188.0,1098.8,1012.1,1049.0,1093.5,1144.2,1189.4,1242.1,1305.9,1352.6,1412.6,1475.6
"4","        Motor vehicles and parts",3.3,2.2,1.6,1.0,1.1,1.4,1.9,2.4,2.5,1.7,2.2,2.8,3.5,0.7,0.8,0.8,1.0,4.1,6.5,7.9,10.5,13.7,12.1,11.4,13.8,12.7,17.7,15.7,17.5,15.0,18.8,19.6,17.7,21.4,24.2,25.8,29.6,29.9,29.6,35.4,37.4,34.5,43.2,49.4,54.4,48.2,52.6,68.2,79.8,89.2,90.2,84.4,93.0,100.0,122.9,147.2,170.1,187.5,188.2,202.2,207.8,205.1,185.7,204.8,224.7,249.8,255.7,273.5,293.1,320.2,350.7,363.2,383.3,401.3,401.5,409.3,410.0,394.9,400.6,343.3,318.6,344.5,365.2,396.6,417.5,442.0,474.2,483.6,502.2,521.5
"5","        Furnishings and durable household equipment",3.8,3.0,2.6,1.9,1.7,2.0,2.3,2.9,3.2,2.8,3.2,3.5,4.4,4.2,3.8,3.8,4.5,7.7,9.6,10.5,10.1,11.8,12.4,12.2,12.6,12.5,14.0,14.8,14.8,14.6,15.5,15.4,15.6,16.4,17.5,19.5,20.7,22.6,23.7,26.1,27.6,28.2,29.9,33.5,38.0,40.9,42.6,47.2,53.4,59.0,65.3,67.8,71.5,71.8,79.8,88.8,94.6,103.5,109.5,115.2,121.4,120.9,118.8,124.3,131.4,140.5,146.7,153.5,160.5,173.6,191.2,208.1,214.9,225.9,235.2,254.3,271.3,283.6,283.5,264.3,238.3,240.9,246.9,253.9,263.6,276.2,294.1,309.0,324.7,341.2
"6","        Recreational goods and vehicles",1.5,1.4,0.9,0.5,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.2,1.0,1.0,1.2,2.5,3.0,3.1,3.2,4.1,4.1,4.3,4.7,4.9,5.3,5.7,5.8,5.9,6.4,6.4,6.6,6.9,7.6,8.8,10.1,12.3,13.6,15.3,16.7,17.9,19.2,22.6,25.3,26.6,30.4,34.2,37.7,41.7,45.8,46.5,49.9,51.3,58.7,67.8,74.1,83.0,91.8,99.9,103.9,105.6,107.7,111.0,123.5,140.3,153.7,164.9,174.6,191.4,210.9,230.9,234.9,244.8,259.5,284.8,306.4,326.3,339.2,328.1,297.5,298.6,305.4,311.8,321.6,329.9,336.0,356.7,378.8,394.6
"7","        Other durable goods",1.2,1.1,0.8,0.6,0.5,0.6,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.5,1.9,2.1,2.4,2.8,2.8,2.9,2.8,2.9,3.2,3.4,3.5,3.6,3.7,4.0,4.0,4.1,4.2,4.3,4.3,4.7,4.9,5.5,6.0,6.9,7.1,8.0,8.7,9.4,10.1,11.0,12.9,14.5,16.5,19.1,21.1,23.5,25.1,27.6,29.6,29.9,33.7,38.3,41.6,47.5,52.5,57.8,61.3,65.5,64.9,68.0,72.0,76.5,79.6,84.3,87.3,94.2,102.7,110.4,108.4,113.4,121.7,132.1,141.0,153.5,164.8,163.0,157.7,165.0,176.1,181.9,186.7,194.0,201.5,203.3,206.9,218.3
"8","    Nondurable goods",33.9,30.5,25.8,20.2,20.0,23.9,26.1,29.2,31.0,29.9,30.8,32.3,37.2,43.4,48.9,52.8,58.5,69.1,77.6,83.0,81.5,84.4,93.0,97.5,100.2,102.1,106.7,112.0,117.6,122.0,127.7,131.4,134.6,139.5,143.9,152.7,163.3,177.9,185.0,199.8,214.2,228.8,239.7,257.4,286.1,321.4,349.2,377.7,408.4,450.2,511.6,573.4,625.4,646.3,678.8,721.5,757.2,774.2,814.3,862.3,929.5,994.2,1020.3,1055.2,1090.8,1139.4,1179.8,1241.4,1291.0,1329.1,1431.5,1540.6,1584.1,1613.4,1704.8,1821.4,1954.3,2081.3,2179.0,2264.5,2167.9,2268.9,2424.6,2493.5,2540.6,2620.9,2614.4,2643.3,2752.5,2889.2
"9","        Food and beverages purchased for off-premises consumption",16.3,14.8,11.9,9.0,9.5,11.7,13.3,15.1,16.0,15.1,15.2,15.9,18.2,21.6,24.3,26.0,28.2,34.9,40.2,41.8,40.4,41.4,46.0,48.4,49.3,50.6,52.0,54.2,57.1,59.8,61.6,62.6,63.7,64.7,65.9,69.5,74.4,80.6,82.6,88.8,95.4,103.5,107.1,114.5,126.7,143.0,156.6,167.3,179.8,196.1,218.4,239.2,255.3,267.1,277.0,291.1,303.0,316.4,324.3,342.8,365.4,391.2,403.0,404.5,413.5,432.1,443.7,461.9,474.8,487.4,515.5,540.6,564.0,575.1,599.6,632.6,668.2,700.3,737.3,769.1,772.9,786.9,819.5,846.2,864.0,896.9,920.1,937.8,967.5,1003.4
"10","        Clothing and footwear",9.0,7.8,6.7,4.9,4.5,5.5,5.8,6.3,6.6,6.5,6.9,7.2,8.5,10.6,12.9,14.1,15.9,17.5,18.0,19.3,18.6,18.9,20.5,21.2,21.3,21.4,22.4,23.4,23.6,23.9,25.4,25.9,26.6,27.9,28.6,31.1,32.7,35.8,37.5,41.3,44.3,45.5,49.0,53.5,59.2,62.4,66.9,72.2,79.3,89.3,96.4,103.0,113.2,116.7,126.4,137.6,146.8,157.2,167.7,178.2,190.4,195.2,199.1,211.2,219.1,227.4,231.2,239.5,247.5,257.8,271.1,280.8,277.9,278.8,285.3,297.4,310.5,320.0,323.5,317.4,304.0,316.6,332.6,345.2,350.5,360.8,368.8,374.7,376.4,391.5
"11","        Gasoline and other energy goods",3.4,3.3,2.8,2.6,2.6,2.9,3.0,3.3,3.5,3.4,3.6,3.8,4.3,3.9,3.3,3.4,4.0,5.8,6.9,8.2,8.3,8.9,9.6,10.2,10.8,11.3,12.4,13.3,14.2,14.7,15.3,15.8,15.7,16.3,16.9,17.7,19.1,20.7,21.9,23.2,25.0,26.3,27.6,29.4,34.3,43.8,48.0,53.0,57.8,61.5,80.4,101.9,113.4,108.4,106.5,108.2,110.5,91.2,96.4,99.9,110.4,124.2,121.1,125.0,126.9,129.2,133.4,144.7,147.7,132.4,146.5,184.5,178.0,167.9,196.4,232.7,283.8,319.7,345.5,391.1,287.0,336.7,413.8,421.9,418.2,403.3,309.4,275.0,308.0,349.6
"12","        Other nondurable goods",5.3,4.6,4.4,3.6,3.4,3.8,4.0,4.4,4.8,4.8,5.1,5.4,6.2,7.2,8.4,9.3,10.5,10.9,12.4,13.6,14.1,15.2,16.9,17.8,18.8,18.8,19.9,21.1,22.6,23.6,25.5,27.1,28.6,30.7,32.5,34.5,37.1,40.8,43.0,46.5,49.5,53.6,55.9,60.0,65.8,72.1,77.7,85.2,91.5,103.3,116.5,129.3,143.5,154.0,168.8,184.6,196.9,209.4,225.9,241.4,263.3,283.6,297.1,314.5,331.4,350.6,371.4,395.2,421.0,451.5,498.3,534.7,564.2,591.7,623.5,658.7,691.8,741.4,772.6,786.9,803.9,828.7,858.7,880.2,907.8,959.9,1016.1,1055.7,1100.6,1144.6
"13","Services",33.6,32.0,29.0,24.6,22.2,23.0,24.3,26.2,28.5,28.3,29.3,30.7,33.6,38.0,43.6,48.1,52.4,58.0,62.4,67.5,70.3,75.2,83.6,90.5,97.9,103.8,110.9,119.0,126.7,134.0,144.5,154.2,162.7,173.6,183.9,198.4,213.3,230.3,247.7,272.2,299.0,327.9,357.8,394.3,432.9,478.6,539.2,601.4,673.6,758.7,847.5,950.9,1064.6,1172.0,1307.8,1428.6,1575.2,1690.7,1820.0,1992.7,2153.0,2317.7,2446.0,2634.3,2809.6,2974.4,3147.1,3326.9,3530.3,3768.8,3992.0,4309.0,4540.0,4743.9,5000.5,5310.6,5664.2,6020.7,6339.4,6613.1,6662.2,6868.0,7123.0,7369.1,7587.2,7959.8,8363.9,8752.6,9147.0,9633.9
"14","    Household consumption expenditures (for services)",32.3,30.7,27.8,23.6,21.3,22.1,23.4,25.3,27.5,27.3,28.3,29.6,32.5,36.7,42.1,46.5,50.6,56.0,60.3,65.2,67.9,72.8,81.0,87.6,94.9,100.6,107.5,115.2,122.7,129.7,139.7,149.1,157.4,168.1,178.1,191.9,206.3,222.8,239.6,263.4,289.5,317.5,346.1,381.5,419.2,463.1,522.2,582.4,653.0,735.7,821.4,920.8,1030.4,1134.0,1267.1,1383.3,1527.3,1638.0,1764.3,1929.4,2084.9,2241.8,2365.9,2546.4,2719.6,2876.6,3044.7,3216.9,3424.7,3645.0,3853.8,4150.9,4361.0,4545.5,4795.0,5104.3,5453.9,5781.5,6090.6,6325.8,6373.0,6573.6,6811.1,7027.5,7234.6,7594.2,7992.5,8355.0,8733.3,9190.9
"15","        Housing and utilities",12.9,12.5,11.8,10.5,9.4,9.1,9.2,9.6,10.2,10.6,10.9,11.3,12.1,13.0,13.5,14.2,14.7,16.3,18.3,20.5,22.6,25.1,28.1,31.2,34.5,37.4,40.0,42.9,45.9,49.2,52.8,56.7,60.3,64.5,68.2,72.1,76.6,81.2,86.3,92.7,101.0,109.4,120.0,131.2,143.5,158.6,176.5,194.7,217.8,244.3,273.4,312.5,352.1,387.5,421.2,457.5,500.6,537.0,571.6,614.4,655.2,696.5,735.2,771.1,814.9,863.3,913.7,962.4,1009.8,1065.5,1123.1,1198.6,1287.5,1333.6,1394.1,1469.1,1583.6,1682.4,1758.2,1835.4,1877.7,1903.9,1955.9,1996.3,2055.3,2149.9,2255.7,2355.3,2455.0,2567.2
"16","        Health care",2.3,2.2,2.0,1.7,1.5,1.6,1.7,1.9,2.0,2.0,2.1,2.2,2.3,2.6,2.8,3.2,3.4,4.3,5.0,5.8,6.0,6.4,6.9,7.6,8.4,9.3,9.9,10.9,12.0,13.4,14.8,16.0,17.1,19.1,21.0,24.1,26.0,28.7,31.9,36.6,42.1,47.7,53.7,59.8,67.2,76.1,89.0,101.8,115.7,131.2,148.8,171.7,201.9,225.2,253.1,276.5,302.2,330.2,366.0,410.1,451.2,506.2,555.8,612.8,648.8,680.5,719.9,752.1,790.9,832.0,863.6,918.4,996.6,1082.9,1154.0,1238.9,1320.5,1391.9,1478.2,1555.3,1632.7,1699.6,1757.1,1821.3,1858.2,1940.5,2057.2,2160.1,2243.4,2352.6
"17","        Transportation services",2.4,2.1,1.8,1.4,1.3,1.5,1.5,1.7,1.8,1.7,1.8,1.9,2.2,2.6,3.2,3.5,3.8,4.7,4.9,5.2,5.3,5.4,6.0,6.3,6.8,6.8,7.1,7.6,8.0,8.1,8.7,9.2,9.6,10.1,10.6,11.4,12.1,13.1,14.3,15.9,18.0,20.0,22.4,24.5,26.1,28.5,32.0,36.2,41.4,45.2,50.7,55.4,59.8,61.7,68.9,80.0,90.1,95.0,103.1,114.2,121.8,126.4,123.7,133.6,145.7,161.0,176.4,192.7,211.8,225.2,241.3,261.3,259.8,251.9,259.6,271.2,283.9,297.1,307.6,312.7,297.4,305.2,328.4,341.1,359.9,383.0,398.6,418.9,439.4,462.2
"18","        Recreation services",1.6,1.5,1.4,1.1,1.0,1.1,1.2,1.3,1.5,1.4,1.5,1.6,1.7,2.0,2.3,2.6,2.8,3.5,3.6,3.6,3.6,3.6,3.8,4.0,4.2,4.5,4.8,5.2,5.2,5.4,5.9,6.5,6.9,7.5,7.9,8.5,9.0,9.8,10.5,11.7,12.9,14.0,15.1,16.3,18.3,20.9,23.7,26.5,29.6,32.9,36.7,40.8,47.1,52.5,59.4,66.1,74.0,80.4,87.3,99.2,110.7,121.8,127.2,139.8,153.4,164.7,181.1,195.6,208.3,220.2,238.1,254.4,262.3,271.4,288.9,311.5,328.1,351.3,375.6,389.1,388.4,403.7,409.0,430.8,447.1,466.6,492.1,519.5,539.9,563.2
"19","        Food services and accommodations",3.4,3.3,3.0,2.4,2.1,2.6,3.0,3.4,4.0,3.9,4.1,4.4,5.3,6.9,9.1,10.9,12.7,12.7,12.5,12.6,12.4,12.7,15.0,16.0,16.5,16.6,17.0,17.7,18.5,18.7,19.7,20.5,21.0,22.3,23.3,24.9,27.2,29.6,31.0,34.6,37.5,41.6,43.8,48.9,54.8,60.6,68.8,77.8,85.7,97.1,110.9,121.7,133.9,142.5,153.6,164.9,174.3,186.7,204.4,225.8,242.6,262.7,273.4,286.3,298.4,308.3,316.1,326.6,343.4,361.8,380.3,408.8,419.7,436.3,462.7,498.2,533.6,570.6,601.5,620.2,612.7,635.7,669.5,704.9,732.3,776.9,832.8,872.4,913.8,973.3
"20","        Financial services and insurance",2.9,2.6,2.2,1.9,1.9,1.8,2.1,2.2,2.4,2.3,2.3,2.4,2.5,2.6,2.8,3.0,3.2,3.7,4.1,4.6,4.8,5.4,6.2,6.6,7.5,8.3,9.2,10.0,10.6,11.2,12.1,13.2,14.3,14.8,15.5,17.2,18.8,20.6,22.1,25.2,27.7,30.1,33.1,37.1,39.9,44.1,51.8,56.8,65.1,76.7,83.6,91.7,98.5,113.7,141.0,150.8,178.2,187.7,189.5,202.9,222.3,230.8,250.1,277.0,314.0,327.9,347.0,372.1,408.9,446.1,486.4,543.0,525.7,534.7,560.3,605.5,659.0,695.0,737.2,756.6,711.3,754.4,797.9,820.1,858.4,908.1,956.9,977.5,1040.4,1111.0
"21","        Other services",6.9,6.5,5.6,4.5,4.0,4.4,4.6,5.1,5.7,5.4,5.6,5.8,6.3,7.1,8.2,9.1,10.0,10.8,12.0,12.9,13.3,14.1,15.1,16.0,17.1,17.8,19.4,20.9,22.4,23.8,25.5,27.1,28.3,29.9,31.6,33.8,36.6,39.9,43.6,46.8,50.5,54.6,58.1,63.7,69.3,74.4,80.3,88.6,97.7,108.3,117.2,127.1,137.2,150.9,169.9,187.5,207.9,221.2,242.4,262.8,281.1,297.5,300.5,325.7,344.3,371.0,390.6,415.5,451.5,494.2,520.9,566.5,609.5,634.8,675.4,709.9,745.1,793.3,832.4,856.6,852.9,871.1,893.3,913.0,923.5,969.1,999.2,1051.3,1101.3,1161.3
