"Table 2.3.6. Real Personal Consumption Expenditures by Major Type of Product, Chained Dollars"
"[Billions of chained (2012) dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","",""
"1","        Personal consumption expenditures (PCE)",9088.7,9377.5,9729.3,10075.9,10384.5,10615.3,10592.8,10460.0,10643.0,10843.8,11006.8,11166.9,11497.4,11921.2,12247.5,12566.9,12944.6
"2","Goods",2947.6,3092.0,3250.0,3384.7,3509.7,3607.6,3498.9,3389.8,3485.7,3561.8,3637.7,3752.2,3905.1,4088.6,4236.6,4403.4,4583.3
"3","    Durable goods",820.2,879.3,952.1,1004.9,1049.3,1099.7,1036.4,973.0,1027.3,1079.7,1144.2,1214.1,1301.6,1398.8,1484.2,1586.4,1685.7
"4","        Motor vehicles and parts",416.9,429.2,441.1,435.1,419.0,427.3,373.1,346.7,360.0,370.1,396.6,415.3,439.4,471.7,486.3,511.1,533.1
"5","        Furnishings and durable household equipment",199.6,213.8,234.1,249.7,262.4,264.4,248.3,224.7,237.3,246.9,253.9,268.8,291.6,318.2,343.3,371.0,394.2
"6","        Recreational goods and vehicles",132.5,150.0,173.2,196.9,223.3,249.1,253.5,244.3,263.4,288.0,311.8,339.5,364.7,386.7,431.5,476.7,516.1
"7","        Other durable goods",117.0,128.5,140.3,151.1,163.0,171.9,165.9,160.0,168.0,174.8,181.9,190.7,206.4,222.4,226.2,233.2,250.7
"8","    Nondurable goods",2157.5,2233.6,2306.5,2383.4,2461.6,2503.4,2463.9,2423.1,2461.3,2482.9,2493.5,2538.5,2605.3,2693.2,2757.5,2825.2,2909.6
"9","        Food and beverages purchased for off-premises consumption",744.5,761.8,779.5,809.2,834.0,845.2,831.0,825.3,837.7,839.0,846.2,855.5,871.4,884.0,910.5,940.5,970.4
"10","        Clothing and footwear",277.6,291.2,304.6,320.9,332.0,338.7,335.0,318.2,333.5,344.6,345.2,347.1,356.1,368.6,375.5,379.5,394.4
"11","        Gasoline and other energy goods",455.2,455.6,459.4,457.4,456.3,455.4,437.5,440.1,437.9,427.8,421.9,429.7,430.0,450.1,452.1,448.2,447.4
"12","        Other nondurable goods",708.6,744.7,777.5,804.3,844.0,867.1,862.5,843.4,853.9,871.6,880.2,906.1,947.4,991.5,1017.0,1048.7,1084.9
"13","Services",6151.1,6289.4,6479.2,6689.5,6871.7,7003.6,7093.0,7070.1,7157.4,7282.1,7369.1,7415.5,7594.9,7838.5,8021.1,8182.2,8388.1
"14","    Household consumption expenditures (for services)",5966.4,6087.7,6275.1,6487.6,6640.7,6765.7,6815.4,6781.3,6859.0,6969.3,7027.5,7069.8,7249.6,7500.8,7671.0,7831.4,8019.7
"15","        Housing and utilities",1707.6,1730.5,1773.8,1846.6,1882.5,1900.7,1921.2,1943.1,1966.8,1993.0,1996.3,2006.4,2039.9,2087.3,2118.6,2134.9,2164.2
"16","        Health care",1440.7,1479.3,1531.2,1581.9,1618.2,1657.2,1697.9,1735.1,1761.7,1788.7,1821.3,1832.6,1892.8,1995.0,2070.7,2119.4,2181.6
"17","        Transportation services",334.7,337.8,348.4,351.7,353.1,357.7,344.3,319.8,320.8,334.8,341.1,356.4,374.3,388.6,405.0,419.7,432.1
"18","        Recreation services",345.4,356.6,374.7,383.9,397.6,413.5,415.5,410.2,422.0,420.3,430.8,439.6,450.5,467.6,482.2,487.4,498.0
"19","        Food services and accommodations",579.6,601.9,627.2,650.9,673.2,683.1,677.9,655.1,670.4,688.5,704.9,717.2,741.3,773.2,789.5,809.9,843.1
"20","        Financial services and insurance",700.3,704.3,728.5,767.9,785.8,808.3,825.0,809.5,810.5,831.4,820.1,815.2,817.9,836.3,817.8,832.9,841.5
"21","        Other services",861.3,881.1,895.0,907.4,933.2,948.0,935.6,908.8,906.5,912.8,913.0,902.7,934.4,956.2,996.1,1038.6,1074.3
"22","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1",193.8,208.1,211.4,210.8,236.7,243.4,279.2,289.5,298.8,313.0,341.5,345.7,345.3,338.1,350.3,351.4,368.5
"23","        Gross output of nonprofit institutions2",946.2,968.3,992.6,1017.1,1055.4,1080.3,1122.1,1150.2,1172.9,1195.7,1236.5,1245.1,1266.2,1298.4,1345.5,1365.6,1401.1
"24","        Less: Receipts from sales of goods and services by nonprofit institutions3",762.1,766.4,788.1,814.8,823.6,841.7,843.8,861.3,874.5,882.8,895.0,899.4,920.9,960.9,995.8,1015.1,1032.9
"25","Residual",-116.9,-90.8,-63.7,-41.4,-24.7,-11.1,-9.5,-13.1,-5.9,-1.3,0.0,-1.7,-6.0,-13.7,-24.6,-35.3,-49.6
"","Addenda:","","","","","","","","","","","","","","","","",""
"26","    PCE excluding food and energy4",7716.7,7976.2,8298.2,8605.9,8894.3,9107.6,9119.2,8988.1,9151.3,9363.2,9531.1,9667.6,9978.8,10372.0,10667.2,10956.6,11287.2
