"Table 3.5. Taxes on Production and Imports"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Taxes on production and imports",6.8,7.0,6.7,6.6,6.9,7.6,8.0,8.5,8.9,8.9,9.1,9.8,11.1,11.5,12.4,13.7,15.1,16.8,18.1,19.7,20.9,23.0,24.7,27.1,29.1,28.9,31.5,34.2,36.6,37.7,41.1,44.5,47.0,50.4,53.4,57.3,60.7,63.2,67.9,76.4,83.9,91.4,100.5,107.9,117.2,124.9,135.3,146.4,159.7,170.9,180.1,200.3,235.6,240.9,263.3,289.8,308.1,323.4,347.5,374.5,398.9,425.0,457.1,483.4,503.1,545.2,557.9,580.8,611.6,639.5,673.6,708.6,727.7,760.0,805.6,868.1,942.4,997.0,1036.8,1049.7,1026.8,1063.1,1103.7,1136.1,1188.7,1240.8,1277.1,1312.8,1364.5,1441.8
"2","Federal",1.1,1.0,0.8,0.9,1.6,2.1,2.1,2.2,2.4,2.2,2.3,2.6,3.5,4.0,4.8,6.0,6.9,7.7,7.7,7.8,7.9,8.7,9.2,10.1,10.7,9.5,10.4,11.0,11.5,11.2,12.2,13.1,13.2,14.1,14.7,15.4,15.4,14.4,15.2,16.9,17.8,18.1,19.0,18.5,19.8,20.1,22.1,21.4,22.7,25.3,25.7,33.7,49.9,41.0,44.4,47.3,46.1,43.7,45.9,49.8,49.7,50.9,61.8,63.3,66.4,79.0,75.6,72.9,77.8,80.7,83.4,87.3,85.3,86.8,90.2,95.3,99.4,99.2,94.6,94.0,91.4,96.8,108.6,115.2,125.5,136.3,140.3,136.4,128.7,160.8
"3","    Taxes on product",1.1,1.0,0.8,0.9,1.6,2.1,2.1,2.2,2.4,2.2,2.3,2.6,3.5,4.0,4.8,6.0,6.9,7.7,7.7,7.8,7.9,8.7,9.2,10.1,10.7,9.5,10.4,11.0,11.5,11.2,12.2,13.1,13.2,14.1,14.7,15.4,15.4,14.4,15.2,16.9,17.8,18.1,19.0,18.5,19.8,20.1,22.1,21.4,22.7,25.3,25.7,33.7,49.9,41.0,44.4,47.3,46.1,43.7,45.9,49.8,49.7,50.9,61.8,63.3,66.4,79.0,75.6,72.9,77.8,79.8,82.5,86.2,84.3,85.8,89.2,94.2,98.1,98.2,93.5,93.0,90.4,95.8,107.6,114.1,124.4,135.2,139.2,135.3,127.5,159.6
"4","        Excise taxes",0.6,0.5,0.5,0.6,1.2,1.8,1.7,1.7,1.8,1.7,1.8,2.1,2.8,3.4,4.1,5.2,6.2,7.2,7.2,7.4,7.5,8.2,8.6,9.6,10.1,9.0,9.8,10.2,10.7,10.4,11.2,12.0,12.1,12.9,13.5,14.1,13.8,12.6,13.3,14.6,15.4,15.6,15.9,15.5,16.5,16.4,16.2,16.8,17.3,18.2,18.2,26.5,41.3,32.3,35.3,35.4,33.9,30.0,30.4,33.4,32.3,33.4,44.9,45.0,46.5,57.5,55.7,53.6,58.2,60.2,63.3,65.1,63.7,65.9,67.7,70.9,72.7,71.5,64.8,63.7,67.3,67.2,75.7,80.6,89.0,97.8,101.0,97.7,89.0,106.3
"5","            Gasoline","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.9,2.4,2.4,2.5,2.6,2.7,2.8,2.9,3.0,3.2,3.3,3.5,3.7,3.9,4.1,4.0,4.1,4.3,4.4,4.5,4.4,4.1,4.1,4.1,7.9,8.9,8.9,9.2,9.0,9.8,9.5,10.0,15.2,15.5,16.0,21.3,21.2,22.3,22.1,23.4,23.4,23.4,23.3,23.3,24.0,24.2,25.8,25.8,22.5,19.6,20.4,19.5,18.3,24.9,24.8,25.2,25.9,26.4,26.5,26.7
"6","            Alcoholic beverages",0.0,0.0,0.0,0.0,0.1,0.4,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1.2,1.5,2.1,2.3,2.6,2.3,2.1,2.2,2.4,2.4,2.7,2.7,2.6,2.7,3.0,2.8,2.9,3.0,3.1,3.2,3.3,3.3,3.6,3.6,3.8,4.0,4.2,4.5,4.6,4.7,4.9,5.0,5.1,5.2,5.1,5.1,5.3,5.3,5.2,5.2,5.0,5.1,4.7,4.8,5.3,5.4,5.2,5.2,5.2,7.0,7.2,7.2,6.6,7.0,7.1,7.0,6.9,7.1,7.2,7.2,7.5,7.8,8.0,8.1,8.5,8.6,8.7,8.6,8.8,9.0,9.4,9.0,10.0,9.5,9.8,10.0,9.7
"7","            Tobacco",0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.7,0.9,1.0,0.9,1.0,1.2,1.3,1.3,1.3,1.3,1.4,1.7,1.6,1.5,1.6,1.6,1.7,1.8,1.9,1.9,2.0,2.0,2.1,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.2,2.2,2.4,2.3,2.4,2.5,2.4,2.5,2.5,2.5,2.6,2.5,5.0,4.6,4.5,4.6,4.6,4.4,4.3,4.2,5.0,5.4,5.7,5.8,5.9,5.8,5.9,5.6,5.6,6.7,7.1,7.4,8.0,8.0,8.9,8.8,8.4,8.0,16.3,17.5,17.0,16.6,15.8,15.0,14.3,13.9,13.3,12.2
"8","            Diesel fuel","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.5,0.5,0.5,0.6,0.6,1.2,1.9,2.6,2.6,2.7,4.1,3.2,3.3,4.3,4.2,4.1,7.1,6.6,7.8,7.4,7.7,8.3,8.6,8.6,8.9,9.0,9.2,9.8,9.2,9.3,7.9,7.6,7.4,8.4,8.9,9.0,9.3,9.4,9.5,9.7,9.9
"9","            Air transport","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.0,1.2,1.4,1.5,1.1,1.4,2.1,2.3,2.4,2.6,2.6,3.1,3.2,3.5,4.7,4.8,5.0,5.5,5.7,2.5,6.5,8.3,8.8,9.9,9.1,10.4,10.5,12.1,12.6,12.2,13.7,13.5,13.6,12.5,13.7,13.9,15.0,15.7,16.4,16.9,18.0,19.4
"10","            Health insurance","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.4,8.3,11.6,11.7,0.4,14.7
"11","            Medical devices","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.9,2.0,2.0,0.0,0.0,0.0
"12","            Pharmaceutical","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2.5,2.8,2.8,3.0,3.0,3.0,4.0,4.1
"13","            Crude oil windfall profits tax","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",9.3,24.3,15.7,9.9,8.3,5.2,0.4,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"14","            Other1",0.1,0.1,0.1,0.2,0.7,0.9,0.8,0.6,0.6,0.6,0.6,0.7,1.1,1.3,1.6,2.2,2.8,3.3,3.7,4.0,4.0,4.5,4.8,5.2,5.8,4.8,5.4,5.6,6.2,5.7,4.4,4.6,4.5,5.1,5.4,5.8,5.3,3.8,4.1,5.1,5.5,5.3,5.3,4.5,5.0,5.0,4.6,3.7,3.9,4.2,4.2,3.4,3.5,3.1,4.0,4.5,5.5,5.3,6.1,6.8,7.0,7.1,8.6,7.9,8.5,11.2,9.4,8.2,9.4,8.3,10.0,9.3,8.3,8.4,8.4,9.4,7.6,7.0,2.4,6.1,0.8,1.4,6.8,3.9,10.3,9.4,9.0,6.5,7.2,9.7
"15","        Customs duties",0.6,0.5,0.4,0.2,0.3,0.3,0.4,0.4,0.5,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.7,0.7,0.8,0.8,1.0,1.1,1.0,1.2,1.2,1.3,1.6,1.9,1.9,2.3,2.4,2.5,3.1,3.0,3.3,3.7,5.9,4.6,5.4,7.1,7.5,7.2,8.6,8.6,9.1,11.9,12.2,13.7,15.5,16.4,17.5,17.5,16.8,18.3,19.8,21.4,19.8,19.2,19.6,19.6,19.2,21.1,20.6,19.9,21.5,23.3,25.3,26.7,28.8,29.2,23.1,28.6,31.9,33.5,35.5,37.4,38.1,37.5,38.5,53.3
"16","        Other2","---","---","---","---",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.4,"---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"17","    Other taxes on production","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.9,1.0,1.0,1.0,1.0,1.1,1.0,1.3,1.1,1.1,1.0,1.0,1.0,1.0,1.1,1.0,1.1,1.2,1.2,1.2,1.2
"18","State and local",5.7,6.0,5.8,5.7,5.3,5.5,5.8,6.2,6.6,6.8,6.9,7.2,7.5,7.5,7.6,7.8,8.2,9.1,10.4,11.9,13.0,14.2,15.6,17.0,18.4,19.4,21.0,23.3,25.1,26.5,28.8,31.5,33.8,36.3,38.7,41.8,45.3,48.8,52.8,59.5,66.0,73.3,81.5,89.4,97.4,104.8,113.2,125.0,136.9,145.6,154.4,166.7,185.7,200.0,218.9,242.5,262.1,279.7,301.6,324.6,349.1,374.1,395.3,420.1,436.8,466.3,482.4,507.9,533.8,558.8,590.2,621.3,642.4,673.2,715.4,772.8,843.0,897.8,942.2,955.8,935.4,966.3,995.1,1021.0,1063.2,1104.5,1136.8,1176.3,1235.8,1281.0
"19","    Taxes on product","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",169.0,179.1,191.7,197.6,211.2,223.3,238.3,249.2,263.6,276.3,291.5,309.5,326.5,332.5,339.2,364.9,394.5,434.5,464.8,479.1,481.5,439.5,469.1,496.9,516.8,545.2,566.8,581.0,594.9,620.1,647.0
"20","        Sales taxes3","---","---",0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1.1,1.3,1.6,1.6,1.8,2.1,2.3,2.5,2.6,2.8,3.2,3.5,3.5,4.8,5.3,5.8,6.4,6.9,7.7,8.6,9.8,10.7,13.1,15.1,17.0,19.1,21.8,24.5,28.0,30.3,34.4,39.0,44.2,49.5,53.6,58.8,62.0,70.4,80.6,87.9,93.7,100.9,110.0,117.4,125.6,128.0,136.0,143.7,155.4,164.4,174.4,184.2,194.9,208.6,221.4,223.1,222.5,233.3,252.0,272.8,293.9,301.4,301.1,279.6,295.1,311.3,324.4,343.9,361.7,375.5,382.7,394.7,411.9
"21","            State general sales taxes3","---","---",0.0,0.0,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.8,1.1,1.3,1.6,1.6,1.8,2.1,2.3,2.5,2.6,2.8,3.2,3.5,3.5,4.1,4.4,4.8,5.4,5.8,6.4,7.3,8.6,9.5,11.7,13.3,14.8,16.6,18.9,21.1,23.9,25.8,29.3,33.1,37.5,41.8,44.8,49.0,51.2,58.2,66.5,72.3,76.8,83.0,91.2,96.3,103.4,105.0,112.1,118.2,127.9,135.1,143.8,151.4,159.5,169.1,177.8,179.5,178.4,186.5,202.7,218.9,233.0,237.0,236.5,215.5,229.1,241.7,251.2,267.6,280.4,289.9,294.9,305.7,321.5
