"Table 4.1. Foreign Transactions in the National Income and Product Accounts"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: January 30, 2020 - Next Release Date February 27, 2020"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Current receipts from the rest of the world",7.1,5.5,3.7,2.5,2.4,3.0,3.3,3.6,4.8,4.5,4.7,5.5,6.2,5.1,4.7,5.6,7.5,15.2,20.3,17.6,16.4,14.5,19.9,19.3,18.2,18.9,21.2,25.2,28.3,24.4,27.0,31.9,32.9,35.0,37.6,42.3,45.0,49.0,52.2,58.0,63.7,72.5,77.0,87.1,118.8,156.5,166.7,181.9,196.5,233.1,298.5,359.9,397.3,384.2,378.9,424.2,415.9,432.3,487.2,596.7,682.0,740.7,763.3,785.1,810.4,905.5,1042.6,1114.0,1233.9,1239.8,1350.9,1518.0,1394.1,1370.4,1456.1,1689.3,1941.5,2259.9,2603.0,2775.8,2321.5,2657.2,2996.3,3104.3,3228.0,3371.1,3240.3,3224.6,3478.6,3771.8,"---"
"2","Exports of goods and services",5.9,4.4,2.9,2.0,2.0,2.6,2.8,3.0,4.0,3.8,4.0,4.9,5.5,4.4,4.0,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24.0,20.6,22.7,27.0,27.6,29.1,31.1,35.0,37.1,40.9,43.5,47.9,51.9,59.7,63.0,70.8,95.3,126.7,138.7,149.5,159.3,186.9,230.1,280.8,305.2,283.2,277.0,302.4,303.2,321.0,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953.0,992.8,1096.3,1024.6,998.7,1036.2,1177.6,1305.2,1472.6,1660.9,1837.1,1582.0,1846.3,2103.0,2191.3,2273.4,2371.7,2266.8,2220.6,2356.7,2510.3,2503.8
"3","    Goods1",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.8,28.0,31.1,32.5,35.7,38.7,45.0,46.2,52.6,75.8,103.5,112.5,121.5,128.4,149.9,187.3,230.4,245.2,222.6,214.0,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,795.9,741.2,709.0,737.1,830.0,921.9,1044.9,1161.3,1292.5,1058.4,1272.4,1462.3,1521.6,1559.2,1615.0,1494.6,1444.0,1538.4,1661.3,1643.8
"4","        Durable",2.2,1.5,0.9,0.5,0.5,0.8,1.0,1.1,1.7,1.5,1.7,2.6,2.9,2.3,2.0,2.4,2.8,5.0,8.5,6.6,6.1,5.1,6.6,6.9,6.9,7.1,8.2,9.8,10.9,9.0,8.9,11.3,11.5,12.0,12.7,14.7,15.8,17.7,18.6,21.2,23.9,27.4,27.9,31.4,42.3,57.7,65.2,70.9,74.4,87.5,109.6,135.7,143.2,128.4,123.8,135.2,139.9,145.3,166.9,211.9,242.5,265.3,285.6,304.2,317.9,353.8,398.6,426.4,488.4,492.4,508.7,572.7,524.0,490.7,499.6,563.5,627.5,712.7,780.3,826.1,668.3,797.9,891.7,937.7,955.4,993.0,954.1,925.5,959.9,1005.8,981.8
"5","        Nondurable",3.1,2.4,1.6,1.2,1.2,1.4,1.5,1.5,1.7,1.7,1.7,1.6,1.7,1.1,0.9,1.2,2.5,6.7,7.6,6.6,6.1,5.1,7.6,6.5,5.5,5.8,6.2,7.8,8.6,7.4,7.5,9.2,9.4,9.7,10.7,12.1,12.1,13.4,13.9,14.5,14.8,17.7,18.3,21.2,33.5,45.8,47.3,50.6,54.0,62.4,77.6,94.8,102.0,94.1,90.3,96.1,87.6,86.1,98.6,120.1,132.2,138.0,144.6,151.1,149.9,164.6,193.8,202.4,211.5,200.2,203.0,223.2,217.2,218.3,237.4,266.5,294.5,332.2,380.9,466.4,390.1,474.6,570.6,583.9,603.8,622.0,540.5,518.5,578.5,655.5,662.1
"6","    Services1",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3.0,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.2,9.8,10.9,12.2,13.2,14.7,16.8,18.3,19.5,23.2,26.2,28.0,30.9,37.0,42.9,50.3,60.0,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,281.1,300.3,283.4,289.7,299.1,347.7,383.3,427.7,499.6,544.5,523.6,573.8,640.7,669.7,714.2,756.7,772.2,776.6,818.4,848.9,859.9
"7","Income receipts",1.1,1.0,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2.0,1.9,2.2,2.8,2.9,2.8,3.0,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8,12.8,14.0,16.3,23.5,29.8,28.0,32.4,37.2,46.3,68.3,79.1,92.0,101.0,101.9,121.9,112.7,111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,320.2,380.6,324.1,314.8,353.8,446.9,566.0,712.0,866.6,848.8,647.8,715.2,789.2,799.7,823.4,853.5,837.7,861.7,957.9,1106.2,"---"
"8","    Wage and salary receipts","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.6,0.9,1.0,1.0,1.0,1.2,1.3,1.8,1.8,1.9,2.2,2.2,2.3,2.4,4.2,4.4,4.5,4.6,4.7,4.7,4.8,5.1,5.2,5.4,5.7,5.9,6.1,6.3,6.6,6.5,6.6,6.3,6.1,6.7,"---"
"9","    Income receipts on assets","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.9,1.8,2.1,2.6,2.7,2.7,2.9,3.4,3.8,4.1,3.7,4.1,4.7,5.1,5.8,6.4,7.1,7.7,7.9,8.5,9.9,11.5,12.6,13.7,16.0,23.2,29.5,27.7,32.0,36.8,45.8,67.9,78.6,91.5,100.5,101.3,121.2,112.0,110.4,122.3,151.1,176.7,187.7,167.1,150.3,153.8,182.6,227.7,244.2,277.8,284.3,316.0,376.2,319.6,310.3,349.1,442.2,561.2,706.9,861.4,843.4,642.0,709.2,783.1,793.4,816.8,847.0,831.1,855.3,951.8,1099.6,"---"
