"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed investment",16.283,17.646,17.983,18.383,19.948,20.423,20.618,20.768,21.110,22.318,23.082,23.177,23.408,23.554,23.501,23.527,23.470,23.633,24.019,24.523,25.185,26.196,27.498,28.699,30.134,31.420,33.169,36.449,40.874,43.232,46.550,50.444,54.977,60.105,65.624,69.311,69.575,70.253,71.277,73.021,74.506,76.586,78.561,80.278,81.683,81.728,82.711,83.983,85.378,85.450,85.599,85.133,85.277,86.486,87.241,87.500,88.265,90.843,94.597,97.958,99.456,100.296,99.076,97.568,98.641,100.000,101.091,103.172,104.187,104.234,106.057,108.507
"2","Nonresidential",20.111,21.791,22.276,22.739,24.863,25.407,25.681,25.911,26.273,28.232,29.611,29.820,30.223,30.404,30.280,30.308,30.315,30.513,30.852,31.327,32.093,33.237,34.638,36.295,37.997,39.297,40.882,44.857,50.766,53.562,57.111,60.930,65.830,71.641,78.453,82.911,82.774,83.036,83.893,85.365,86.339,88.514,90.572,92.516,94.267,93.960,94.161,94.904,95.849,95.267,94.735,93.248,92.314,92.718,92.346,91.863,91.156,92.055,94.443,96.745,98.310,99.832,99.184,97.416,98.559,100.000,100.251,101.469,102.042,101.146,102.116,103.515
"3","    Structures",5.968,6.639,6.616,6.699,7.471,7.669,7.819,7.724,7.879,8.553,8.920,8.777,8.825,8.814,8.761,8.830,8.905,9.032,9.294,9.629,9.929,10.427,11.114,11.845,12.757,13.674,14.734,16.770,18.773,19.692,21.401,23.468,26.194,28.629,32.566,35.136,34.241,34.540,35.361,36.039,36.618,38.171,39.666,40.948,41.689,41.699,42.922,44.437,46.362,47.540,49.355,51.612,53.198,55.283,58.178,60.603,62.769,67.416,75.733,84.749,89.748,94.335,92.613,92.006,95.362,100.000,101.455,107.198,109.598,109.958,112.952,117.062
"4","        Commercial and health care",7.308,8.110,7.880,7.850,8.902,9.175,9.181,8.917,9.070,9.851,10.253,9.960,9.871,9.844,9.799,9.904,10.078,10.279,10.601,10.973,11.314,11.874,12.768,13.546,14.722,15.891,17.167,19.075,20.944,21.699,23.170,25.378,28.157,31.306,34.087,36.160,37.290,38.731,39.975,41.368,42.905,44.495,46.081,47.545,48.221,48.545,50.192,52.131,54.220,55.450,57.203,59.874,62.475,65.042,67.364,69.180,71.136,75.609,82.720,89.750,94.870,98.548,99.105,95.775,97.523,100.000,102.203,105.018,106.884,108.370,110.864,115.150
"5","        Manufacturing",7.392,8.230,8.006,7.959,9.026,9.260,9.304,9.057,9.206,10.001,10.399,10.106,10.019,10.007,9.975,10.095,10.283,10.495,10.842,11.248,11.599,12.176,13.092,13.915,15.099,16.335,17.648,19.605,21.525,22.285,23.796,26.056,28.922,32.204,35.120,37.339,38.495,39.983,41.275,42.709,44.285,45.920,47.546,49.046,49.754,50.052,51.732,53.697,55.846,57.106,58.940,61.356,63.823,66.210,68.521,70.587,71.801,75.555,81.368,86.648,91.373,96.059,97.960,95.482,97.575,100.000,102.320,105.637,107.629,108.292,110.960,116.285
"6","        Power and communication",6.834,7.557,7.896,8.220,8.929,9.121,9.567,9.732,9.971,10.837,11.392,11.516,11.768,11.835,11.807,11.680,11.720,11.756,12.037,12.332,12.707,13.347,13.976,15.051,16.061,16.920,18.199,21.204,23.909,25.409,27.393,29.087,32.191,35.347,37.821,39.583,40.082,40.319,40.827,40.790,41.193,43.022,45.486,46.852,47.268,47.862,49.138,50.903,52.997,54.388,55.566,56.180,56.382,58.201,59.883,61.246,62.707,67.252,72.429,79.285,83.204,88.640,87.593,91.359,96.739,100.000,101.093,102.497,103.997,104.401,106.747,110.600
"7","        Mining exploration, shafts, and wells1",2.594,2.885,2.811,2.795,3.167,3.247,3.268,3.178,3.231,3.513,3.651,3.554,3.684,3.641,3.553,3.622,3.495,3.500,3.572,3.798,3.935,4.121,4.317,4.574,4.722,5.077,5.395,6.729,8.218,8.909,10.495,12.380,14.349,14.690,19.595,22.346,18.090,16.595,16.625,15.935,13.571,14.897,15.619,16.249,17.201,15.909,15.996,16.263,17.586,18.398,20.870,23.766,23.045,23.959,29.605,35.396,39.389,45.632,61.186,78.376,84.824,93.025,85.691,86.331,91.205,100.000,100.152,112.235,115.198,110.106,114.077,116.262
"8","        Other structures2",7.800,8.726,8.613,8.697,9.680,9.975,10.168,10.057,10.284,11.128,11.584,11.392,11.324,11.318,11.275,11.409,11.597,11.813,12.178,12.617,12.997,13.675,14.673,15.618,16.903,18.171,19.578,22.238,24.686,25.593,27.506,29.579,32.684,36.392,39.857,42.493,43.924,45.280,46.549,47.834,49.530,51.252,52.941,54.654,55.598,56.076,57.791,59.799,62.139,63.709,65.625,67.744,70.272,73.140,76.267,77.837,79.810,83.851,89.342,95.084,99.545,101.193,99.152,96.531,97.658,100.000,103.008,107.388,111.062,114.765,118.571,123.876
"9","    Equipment",35.856,38.442,39.972,40.979,44.460,45.357,45.552,46.612,46.998,50.493,53.336,54.375,55.371,55.838,55.535,55.272,54.985,54.955,55.026,55.204,56.467,58.017,59.657,61.891,63.848,64.686,65.780,70.713,81.484,86.486,91.800,96.900,103.167,112.249,120.463,125.415,125.776,124.748,124.748,127.254,128.083,129.854,132.337,135.042,137.330,137.121,135.518,135.277,133.796,130.762,127.156,121.451,116.763,114.224,110.858,108.531,105.725,104.841,104.598,103.560,103.191,102.542,103.169,99.471,99.447,100.000,99.787,99.169,98.672,97.436,97.287,97.396
