"Table 6.2C. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 30, 2019"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000"
"","","","","","","","","","","","","","","",""
"1","            Compensation of employees",2722405,2947987,3139601,3340373,3450516,3668246,3817290,4006192,4198088,4416942,4708818,5071138,5402762,5848064
"2","Domestic industries",2723761,2948854,3140886,3342680,3453267,3671211,3820610,4010207,4202178,4421067,4713220,5075701,5409932,5854629
"3","    Private industries1",2186167,2371171,2518803,2668555,2734823,2909092,3035636,3197637,3366613,3562746,3823494,4146921,4429104,4811250
"4","        Agriculture, forestry, and fishing",20259,22955,24828,28262,28533,29016,30732,32053,33587,35272,37839,40595,44067,46603
"5","            Farms",9412,10576,11409,13435,13236,13008,14191,14435,15484,16028,17143,18213,18908,19718
"6","            Agricultural services, forestry, and fishing",10839,12379,13419,14827,15284,15982,16541,17619,18103,19244,20696,22385,25161,26885
"7","        Mining",29956,30457,30749,32755,33226,32767,32496,32951,32758,33952,36345,37138,35462,37559
"8","            Metal mining",1846,2263,2609,2863,2856,2876,2838,2923,3166,3508,3578,3709,3800,3637
"9","            Coal mining",7693,6849,6862,7280,6941,6749,6276,6512,6322,6328,6528,6302,5972,5697
"10","            Oil and gas extraction",16730,17338,17160,18413,19456,19036,19168,18953,18416,18942,20734,21237,19731,22147
"11","            Nonmetallic minerals, except fuels",3685,4007,4119,4199,3973,4106,4214,4563,4853,5175,5505,5890,5959,6078
"12","        Construction",143828,156871,165090,171066,160207,161327,167355,182564,192626,207936,226549,249544,275554,304339
"13","        Manufacturing",611962,654175,680398,696680,704384,737784,756569,786766,807087,828734,872176,912268,949053,1005495
"14","            Durable goods",385049,413136,427443,432313,431388,449003,460232,481815,497119,513387,543706,572442,599966,642467
"15","                Lumber and wood products",17692,19204,19271,19099,18299,19593,21040,22692,23290,24213,25448,26797,28531,28977
"16","                Furniture and fixtures",11625,12348,12818,12957,12446,13361,14200,14956,15396,15962,16970,18250,19397,20483
"17","                Stone, clay, and glass products",17769,18673,19257,19364,18629,19500,20344,21316,22020,22928,23695,24737,26077,27902
"18","                Primary metal industries",28517,31450,32741,32461,31601,34561,34432,36526,35762,36311,38047,37914,38502,39533
"19","                Fabricated metal products",43444,46663,48543,49562,49310,51474,53003,56334,58506,60334,63655,65281,67759,70903
"20","                Industrial machinery and equipment",74367,79992,83673,85417,85867,87589,91355,97138,99837,104129,111800,118681,123815,134908
"21","                Electronic and other electric equipment",60695,61466,63697,64056,64793,67099,70137,74291,78156,82035,88587,93273,100225,116702
"22","                Motor vehicles and equipment",38614,43244,42663,41576,41798,46266,48805,53416,55428,54855,56025,59389,63174,65496
"23","                Other transportation equipment",48413,49527,52469,54703,54098,53219,50240,47796,48992,49893,54297,58092,59213,59265
"24","                Instruments and related products",34703,40107,41347,41796,43076,44118,43670,43577,45539,47337,49024,53821,56274,60532
