"Table 1.2. Chain-Type Quantity Indexes for Net Stock of Fixed Assets and Consumer Durable Goods"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: November 20, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Fixed assets and consumer durable goods",9.025,9.388,9.727,10.049,10.355,10.556,10.640,10.607,10.528,10.507,10.541,10.696,10.873,11.001,11.190,11.424,11.828,12.423,12.931,13.384,13.633,13.674,13.897,14.226,14.631,15.213,15.841,16.481,17.212,17.867,18.646,19.357,20.062,20.626,21.387,22.112,22.831,23.682,24.618,25.672,26.865,28.143,29.334,30.598,31.838,32.874,33.969,35.242,36.650,37.768,38.629,39.685,40.965,42.447,43.950,45.109,46.244,47.122,48.253,49.843,51.582,53.352,55.040,56.692,58.273,59.716,60.767,61.880,63.203,64.657,66.252,68.105,70.115,72.450,75.057,77.831,80.253,82.475,84.790,87.253,89.673,92.250,94.574,96.235,96.938,97.758,98.771,100.000,101.409,103.001,104.680,106.342,107.928
"2","  Fixed assets",10.579,11.002,11.397,11.775,12.128,12.369,12.475,12.448,12.369,12.353,12.397,12.577,12.782,12.936,13.155,13.423,13.905,14.623,15.244,15.788,16.090,16.109,16.214,16.473,16.811,17.309,17.972,18.678,19.447,20.170,20.966,21.759,22.531,23.221,24.069,24.900,25.758,26.718,27.750,28.889,30.139,31.468,32.721,34.007,35.291,36.397,37.515,38.791,40.183,41.346,42.222,43.249,44.504,45.998,47.571,48.863,50.125,51.087,52.199,53.734,55.395,57.036,58.624,60.167,61.666,63.080,64.179,65.290,66.590,67.984,69.544,71.358,73.301,75.497,77.873,80.349,82.473,84.349,86.329,88.453,90.559,92.884,94.951,96.520,97.220,97.987,98.912,100.000,101.246,102.631,104.057,105.450,106.722
"3","    Private",11.539,12.004,12.420,12.806,13.155,13.332,13.329,13.184,13.010,12.896,12.850,12.905,13.027,13.064,13.162,13.332,13.560,13.543,13.442,13.412,13.494,13.899,14.486,15.135,15.655,16.353,16.964,17.540,18.174,18.797,19.553,20.298,20.993,21.550,22.267,22.979,23.669,24.468,25.357,26.374,27.538,28.745,29.839,31.017,32.258,33.352,34.546,35.950,37.510,38.777,39.674,40.760,42.160,43.823,45.558,46.927,48.283,49.279,50.439,52.086,53.807,55.455,57.018,58.583,60.109,61.493,62.514,63.577,64.948,66.481,68.200,70.198,72.395,74.882,77.559,80.353,82.652,84.548,86.563,88.769,91.034,93.527,95.686,97.193,97.562,98.058,98.858,100.000,101.420,103.053,104.706,106.298,107.753
"4","      Nonresidential",10.561,10.910,11.209,11.510,11.876,12.091,12.043,11.811,11.564,11.407,11.339,11.411,11.576,11.575,11.616,11.766,12.004,11.941,11.796,11.776,11.974,12.445,13.022,13.605,14.026,14.517,15.022,15.492,16.044,16.523,17.111,17.773,18.416,18.835,19.332,19.906,20.453,21.107,21.807,22.668,23.820,25.164,26.365,27.588,28.898,30.042,31.072,32.250,33.720,35.063,35.968,36.947,38.169,39.757,41.578,43.203,44.944,46.320,47.504,49.296,51.218,52.791,54.209,55.693,57.247,58.733,59.800,60.798,62.097,63.573,65.415,67.569,70.057,72.872,75.922,79.215,81.657,83.192,84.668,86.271,88.085,90.377,92.930,95.168,95.792,96.685,98.101,100.000,102.037,104.420,106.602,108.506,110.467
"5","        Equipment",4.830,5.015,5.113,5.225,5.395,5.413,5.239,4.935,4.666,4.509,4.466,4.573,4.765,4.744,4.783,4.965,5.226,5.156,5.050,5.096,5.412,5.877,6.661,7.393,7.832,8.344,8.833,9.236,9.700,10.011,10.483,10.958,11.432,11.584,11.855,12.196,12.461,12.887,13.393,14.089,15.097,16.375,17.439,18.550,19.771,20.758,21.626,22.759,24.405,25.927,26.786,27.745,29.139,30.993,33.002,34.436,35.814,36.515,37.246,38.729,40.152,41.313,42.225,43.342,44.534,45.403,45.878,46.537,47.871,49.772,52.127,54.771,57.798,61.385,65.454,69.759,72.580,74.378,76.306,78.827,82.023,86.049,89.954,92.562,91.862,93.332,96.146,100.000,103.996,108.452,112.695,116.023,119.661
"6","        Structures",19.781,20.392,20.991,21.567,22.212,22.691,22.793,22.629,22.375,22.167,22.006,21.968,22.053,22.015,22.003,22.056,22.182,22.045,21.788,21.639,21.647,22.121,22.508,22.996,23.443,23.958,24.552,25.122,25.778,26.451,27.185,28.062,28.906,29.618,30.357,31.194,32.036,32.942,33.830,34.883,36.211,37.623,38.953,40.275,41.699,43.080,44.387,45.727,47.206,48.558,49.615,50.652,51.756,53.195,54.942,56.847,59.001,61.004,62.508,64.493,66.796,68.578,70.306,71.946,73.543,75.279,76.460,77.310,78.236,79.073,80.233,81.622,83.209,84.944,86.628,88.595,90.334,91.337,92.180,92.914,93.595,94.690,96.258,97.990,98.817,99.041,99.363,100.000,100.764,101.928,102.900,103.642,104.372
"7","        Intellectual property products",0.701,0.737,0.783,0.844,0.931,1.009,1.066,1.106,1.153,1.226,1.316,1.425,1.537,1.658,1.769,1.879,2.075,2.223,2.291,2.352,2.456,2.637,2.792,2.910,3.000,3.117,3.205,3.402,3.690,3.962,4.251,4.629,4.968,5.285,5.634,5.980,6.388,6.775,7.219,7.635,8.162,8.808,9.461,10.132,10.777,11.255,11.616,12.048,12.498,12.909,13.240,13.792,14.426,15.146,16.101,17.025,18.175,19.352,20.640,22.306,24.073,25.839,27.465,29.161,31.198,33.327,35.463,37.562,39.496,41.294,43.312,45.945,49.261,52.958,57.312,61.935,65.523,68.130,70.691,73.323,76.489,79.992,83.948,87.737,90.466,93.128,96.499,100.000,103.834,107.693,111.478,116.200,120.867
"8","      Residential",13.066,13.656,14.194,14.669,14.960,15.042,15.071,14.981,14.869,14.794,14.784,14.832,14.901,14.969,15.163,15.404,15.670,15.699,15.636,15.566,15.492,15.907,16.510,17.251,17.906,18.885,19.643,20.366,21.112,21.934,22.923,23.781,24.545,25.304,26.344,27.255,28.151,29.157,30.320,31.558,32.718,33.698,34.615,35.714,36.838,37.841,39.263,40.986,42.662,43.806,44.677,45.907,47.553,49.312,50.920,51.933,52.746,53.199,54.319,55.752,57.184,58.932,60.687,62.358,63.842,65.081,66.035,67.185,68.648,70.255,71.809,73.598,75.411,77.475,79.683,81.861,83.990,86.317,88.957,91.848,94.620,97.346,99.062,99.702,99.760,99.771,99.804,100.000,100.667,101.417,102.460,103.700,104.601
"9","    Government",5.543,5.759,6.020,6.301,6.581,6.950,7.337,7.646,7.862,8.121,8.412,8.895,9.299,9.754,10.266,10.754,12.258,16.261,20.770,24.441,25.842,23.944,22.289,21.127,20.788,20.518,21.361,22.535,23.796,24.879,25.807,26.765,27.806,28.969,30.289,31.545,33.012,34.547,36.080,37.647,39.198,40.948,42.766,44.422,45.847,46.994,47.857,48.694,49.530,50.371,51.195,52.039,52.802,53.691,54.679,55.696,56.627,57.471,58.420,59.576,61.033,62.647,64.325,65.793,67.199,68.723,70.094,71.374,72.431,73.337,74.351,75.534,76.604,77.810,79.160,80.565,82.097,83.908,85.775,87.621,89.184,90.945,92.718,94.481,96.189,97.775,99.070,100.000,100.733,101.372,102.112,102.902,103.619
