"Table 2.1. Current-Cost Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: October 11, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed assets",223.4,231.6,236.9,248.6,251.7,239.4,205.4,187.6,196.5,198.6,199.5,220.4,231.7,232.0,235.6,254.4,282.8,302.3,317.1,329.3,353.0,434.0,516.6,562.2,581.1,655.8,713.9,751.9,783.3,815.2,888.8,958.5,1008.9,1034.0,1078.1,1111.0,1147.6,1190.4,1228.7,1314.0,1402.9,1522.1,1636.6,1804.7,1962.9,2121.0,2352.7,2594.0,2946.9,3468.3,3786.4,4168.9,4735.7,5412.9,6264.5,7118.0,7860.3,8297.0,8599.6,9112.5,9619.0,10230.6,10843.5,11560.9,12230.0,12802.8,13090.9,13643.6,14358.0,15242.3,15993.5,16812.9,17752.7,18828.3,20085.2,21482.6,22772.5,23906.8,25270.5,27811.3,30662.1,32986.8,34154.6,34981.3,34101.1,34582.2,35557.7,36693.1,38699.6,40732.9,41651.8,43442.8,45272.4
"2","Equipment",31.4,33.2,33.9,34.5,34.7,33.0,30.0,27.0,26.7,26.7,26.2,28.2,30.3,30.3,30.9,33.2,38.1,39.0,39.3,39.3,44.7,54.0,66.4,81.4,85.8,100.2,110.6,116.5,126.1,130.0,143.1,160.5,175.0,180.3,189.0,195.2,198.7,206.3,215.0,227.8,245.5,273.2,299.7,330.3,364.4,399.5,427.7,461.0,513.8,633.7,725.4,802.6,902.8,1030.7,1196.3,1386.3,1546.8,1639.6,1691.5,1781.0,1881.3,1990.0,2082.3,2207.0,2331.1,2455.3,2514.1,2576.9,2676.2,2819.9,2994.8,3140.6,3271.6,3421.5,3616.3,3844.3,3953.7,4000.4,4041.5,4268.8,4469.4,4778.6,5002.7,5252.2,5169.7,5272.1,5510.7,5752.3,5949.8,6185.5,6351.5,6500.7,6734.9
"3","  Nonresidential equipment",31.1,32.8,33.5,34.2,34.3,32.7,29.7,26.7,26.4,26.5,25.9,27.8,29.9,29.9,30.5,32.8,37.6,38.5,38.9,38.8,44.2,53.3,65.5,80.3,84.6,98.8,109.1,114.9,124.4,128.2,141.2,158.6,172.9,178.0,186.6,192.7,196.1,203.7,212.3,224.9,242.5,270.0,296.2,326.5,360.1,394.8,422.5,455.1,507.1,625.5,716.2,792.5,891.6,1018.0,1181.9,1369.9,1528.5,1619.9,1670.5,1758.8,1858.0,1964.7,2055.3,2178.1,2300.6,2423.7,2482.2,2544.3,2642.4,2784.9,2959.2,3104.1,3235.2,3384.7,3578.7,3805.2,3913.4,3959.3,4000.4,4225.9,4423.0,4729.2,4952.1,5200.2,5120.2,5224.0,5459.7,5699.6,5897.2,6133.3,6298.4,6447.1,6679.0
"4","      Information processing equipment",1.4,1.6,1.7,1.8,1.8,1.7,1.6,1.3,1.3,1.3,1.3,1.4,1.5,1.5,1.6,1.8,2.1,2.1,2.0,2.0,2.9,4.4,5.6,6.5,7.1,7.9,8.9,9.4,10.5,11.5,12.4,14.1,16.1,16.9,18.3,19.7,21.4,23.3,25.6,28.3,31.0,35.9,40.8,45.9,52.6,59.5,65.5,73.0,81.6,100.2,112.1,123.0,135.3,158.4,185.5,226.7,265.4,303.4,331.0,372.9,408.9,450.9,480.6,511.8,544.2,573.9,591.2,616.0,643.1,673.4,711.3,753.9,795.4,826.9,886.6,974.4,1000.5,990.2,954.7,1005.6,1014.4,1087.5,1107.9,1160.4,1160.0,1210.5,1252.6,1310.5,1348.1,1381.2,1406.0,1438.3,1529.5
"5","        Computers and peripheral equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.6,1.1,1.5,2.0,2.7,3.8,4.5,5.8,6.5,6.4,8.3,9.1,10.4,10.9,11.8,12.0,14.3,18.9,23.5,32.5,41.1,44.3,54.5,62.5,72.5,75.8,83.4,87.9,90.0,84.0,85.0,86.6,91.8,100.0,107.3,118.7,127.5,150.8,172.1,165.5,162.8,165.3,168.5,166.1,174.2,182.9,189.9,191.8,207.0,211.4,224.3,233.9,241.0,241.0,241.0,253.1
"6","        Communication equipment",0.7,0.8,0.8,0.9,0.9,0.9,0.8,0.7,0.7,0.7,0.7,0.8,0.8,0.8,0.9,1.0,1.2,1.2,1.2,1.2,2.0,2.9,3.4,3.7,4.1,4.2,4.8,4.9,5.4,6.1,6.5,7.3,8.3,8.8,9.6,10.5,11.8,13.3,14.7,16.1,17.5,19.8,22.3,25.6,29.2,33.7,37.8,41.3,45.0,55.4,60.7,64.7,70.2,81.8,93.1,116.8,135.9,153.8,168.1,187.0,202.6,218.9,234.1,247.4,262.4,275.1,285.6,294.9,306.3,316.8,333.2,361.7,387.0,398.9,426.1,479.5,501.7,478.0,423.0,450.4,437.1,475.2,453.9,466.7,450.6,467.7,480.8,503.2,504.8,503.7,500.6,507.8,560.4
"7","        Medical equipment and instruments",0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.8,1.0,1.1,1.2,1.2,1.3,1.4,1.6,1.7,1.9,2.1,2.5,2.9,3.4,4.0,4.7,5.5,6.3,7.5,9.8,11.8,13.8,16.1,18.9,22.2,25.9,29.9,34.0,38.4,42.5,46.2,51.7,57.1,62.0,67.4,74.8,81.0,89.2,97.1,103.2,109.4,114.2,120.4,130.0,139.3,150.8,164.7,179.8,193.7,209.7,230.3,251.5,278.0,301.3,315.6,331.3,347.3,360.1,378.2,393.8,413.4,428.7,444.5
"8","        Nonmedical instruments",0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.6,0.8,0.9,1.2,1.4,1.5,1.8,1.9,2.0,2.3,2.7,2.8,3.0,3.1,3.1,3.2,3.2,3.2,3.3,3.7,4.0,4.3,4.6,5.0,5.3,5.7,6.3,7.9,9.2,10.5,13.1,15.7,18.7,22.6,25.9,30.4,32.7,36.2,40.0,44.1,47.9,51.7,57.2,63.8,69.0,74.8,79.3,84.2,90.4,96.3,99.7,102.9,105.8,109.6,113.9,118.4,121.3,125.1,129.9,135.8,144.2,152.7,154.2,157.5,165.3,174.6,182.7,194.1,202.9,212.5,222.3
"9","        Photocopy and related equipment",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1.1,1.2,1.3,1.6,2.2,2.9,3.7,4.2,4.5,5.0,5.6,6.5,7.5,9.0,10.8,13.0,15.2,16.3,19.2,22.3,25.9,27.7,30.6,31.6,34.9,37.9,41.2,44.0,47.2,50.4,53.0,55.7,56.9,58.2,61.7,62.7,58.8,54.0,52.6,51.2,50.0,43.0,38.7,36.1,34.0,31.9,30.2,30.9,32.9,32.8,33.2,34.7,36.0,36.5,36.6,36.3,36.9,37.8
"10","        Office and accounting equipment",0.5,0.5,0.6,0.6,0.6,0.5,0.5,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.8,1.1,1.3,1.4,1.6,1.8,1.9,2.1,2.2,2.4,2.7,3.2,3.3,3.5,3.6,3.5,3.4,3.3,3.3,3.2,3.5,3.7,3.7,4.0,4.0,4.0,4.0,4.7,5.9,6.4,7.1,7.6,8.5,10.3,11.9,13.7,13.7,15.8,17.9,19.9,22.6,21.8,20.1,18.8,17.2,15.8,15.3,15.6,15.6,15.7,15.5,15.6,14.9,13.4,12.4,11.9,12.5,15.4,17.9,19.1,20.5,18.0,16.9,15.1,13.7,13.0,12.3,12.0,12.0,11.8,11.5,11.3
"11","      Industrial equipment",9.3,9.8,10.1,10.6,10.5,9.9,9.1,8.2,8.7,9.0,8.8,9.7,10.5,10.4,10.8,11.9,13.1,13.4,13.7,14.1,16.4,19.2,23.6,28.4,28.9,35.0,38.4,41.2,45.6,48.6,55.2,64.8,71.3,73.7,77.9,80.2,80.9,83.3,85.8,90.4,96.9,108.0,119.0,130.4,141.4,155.7,165.4,173.6,190.9,237.1,279.6,308.6,346.9,389.6,450.7,525.4,571.0,597.7,604.8,621.8,654.8,692.4,731.0,775.8,827.4,882.2,904.7,924.0,951.1,997.0,1060.5,1104.6,1139.9,1182.1,1220.6,1270.1,1300.2,1318.8,1348.0,1404.2,1465.6,1558.3,1651.9,1748.0,1747.2,1770.7,1842.5,1900.1,1933.0,1978.5,1995.8,2028.4,2089.1
"12","        Fabricated metal products",0.9,0.9,0.9,0.9,1.0,0.9,0.8,0.7,0.8,0.8,0.8,0.8,0.9,0.8,0.8,0.8,0.9,1.0,1.0,1.1,1.3,1.6,2.3,2.8,2.9,3.5,3.9,4.4,4.8,5.2,6.1,6.9,7.4,7.7,8.2,8.3,8.2,8.3,8.3,8.6,8.9,9.7,10.3,11.5,12.6,14.6,16.6,18.1,20.9,27.5,33.3,37.4,44.3,50.8,60.0,68.9,75.2,80.0,79.0,78.4,78.0,75.2,75.1,79.9,81.9,83.4,84.8,84.5,83.4,85.9,90.5,93.2,92.2,91.7,91.5,93.3,95.5,96.3,98.3,107.4,113.9,125.1,135.9,149.0,147.7,149.4,155.2,159.7,160.5,164.6,164.8,163.8,169.6
"13","        Engines and turbines",0.7,0.7,0.7,0.7,0.7,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.7,0.7,1.0,1.0,1.1,1.3,1.4,1.6,1.7,2.4,2.2,2.5,3.1,3.9,4.6,5.0,5.3,5.4,5.2,5.1,5.2,5.3,5.4,5.6,6.4,7.1,8.1,9.6,10.9,12.2,13.4,15.5,19.9,22.6,25.3,26.6,30.1,36.0,36.5,35.7,35.2,34.6,34.5,34.8,35.1,37.0,44.3,46.5,48.3,48.5,48.9,51.4,51.8,52.9,53.4,54.3,56.1,59.0,65.2,72.6,77.5,77.0,76.5,81.7,89.5,104.7,106.3,106.6,113.5,121.8,126.9,132.0,135.8,137.5,138.9
"14","        Metalworking machinery",1.2,1.3,1.3,1.4,1.4,1.3,1.1,1.0,1.0,1.0,1.0,1.2,1.4,1.4,1.5,1.9,2.4,2.7,3.0,3.0,3.5,3.6,3.9,4.5,4.5,5.5,6.1,6.7,7.5,8.4,9.5,11.3,12.3,12.1,12.6,13.1,13.0,13.4,13.8,14.6,15.8,17.9,20.6,23.2,25.2,27.2,27.9,28.9,31.7,40.6,46.0,50.6,57.3,66.0,78.6,92.4,101.3,105.8,103.4,104.2,110.0,116.1,120.2,124.7,130.4,138.2,141.4,144.3,150.0,158.6,171.9,181.3,190.6,199.3,206.0,213.1,213.5,212.1,212.2,216.5,223.6,227.8,234.2,244.6,237.8,237.0,244.7,253.7,258.7,264.8,269.5,273.9,281.1
"15","        Special industry machinery, n.e.c.",3.7,3.8,3.9,3.9,3.8,3.5,3.0,2.8,3.0,3.0,2.9,3.1,3.3,3.2,3.3,3.5,3.7,3.6,3.5,3.4,3.8,4.4,5.5,6.7,6.8,8.2,9.0,9.1,10.0,10.3,11.4,12.8,13.8,14.1,14.8,15.4,15.7,16.4,17.1,18.0,19.5,21.9,23.8,25.9,28.1,30.3,32.1,33.5,37.1,46.6,52.0,57.2,61.8,69.9,79.1,91.1,99.0,103.8,108.2,112.5,122.1,134.3,146.0,157.2,169.0,184.4,190.2,195.6,202.3,212.8,227.5,239.3,246.5,257.1,264.5,274.8,278.6,279.4,282.6,289.2,293.5,304.9,315.2,319.9,313.7,311.1,320.5,323.3,322.2,325.5,324.1,327.1,335.3
"16","        General industrial, including materials handling, equipment",1.6,1.9,2.0,2.1,2.3,2.2,2.1,2.0,2.0,2.1,2.2,2.5,2.8,2.8,3.0,3.2,3.5,3.5,3.6,3.8,4.5,5.4,6.8,8.4,8.4,9.9,10.5,10.6,11.7,12.1,13.7,15.7,17.3,17.8,18.9,19.4,19.8,20.4,21.3,22.8,25.0,28.0,30.2,32.7,35.7,39.3,41.9,43.6,47.2,57.4,69.1,76.0,86.0,98.2,115.5,135.0,147.2,153.4,155.6,160.9,172.3,186.5,201.8,214.8,225.7,241.1,246.1,252.1,262.4,275.3,292.6,306.3,318.8,334.0,345.0,358.5,367.9,375.9,388.4,411.7,436.9,466.8,496.8,526.6,526.0,534.8,556.5,578.3,589.7,605.6,614.9,627.0,648.4
