"Table 2.4. Current-Cost Depreciation of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: October 11, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed assets",8.0,8.5,8.8,9.1,9.4,9.2,8.5,7.5,7.0,7.3,7.3,7.5,8.4,8.6,8.6,9.0,9.9,11.2,11.5,12.0,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33.0,35.0,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335.0,381.9,420.4,438.8,463.5,496.4,531.6,566.0,607.9,649.6,688.4,721.5,742.9,778.2,822.5,880.7,929.1,987.8,1052.2,1132.2,1231.5,1311.7,1361.8,1411.9,1497.1,1622.6,1751.8,1852.5,1931.8,1928.7,1933.8,1997.3,2082.4,2176.6,2300.6,2395.3,2463.5,2574.6
"2","Equipment",3.9,4.3,4.4,4.5,4.7,4.6,4.2,3.7,3.4,3.4,3.4,3.5,3.9,4.0,4.0,4.2,4.7,5.4,5.2,5.3,5.4,6.3,8.0,9.7,11.1,12.3,14.1,15.0,16.0,16.9,17.7,19.7,21.6,23.4,24.1,24.3,24.8,25.6,26.7,28.1,30.2,33.1,36.4,40.0,44.0,48.4,52.5,56.7,62.4,72.8,87.4,97.1,109.3,124.2,142.9,166.3,188.7,207.0,216.4,226.2,240.8,257.0,272.8,290.0,307.6,323.3,334.6,342.4,353.1,372.1,398.5,419.6,440.9,461.4,488.5,523.0,544.5,553.2,557.5,576.0,607.0,640.3,678.0,707.6,711.0,709.6,736.1,770.1,803.6,838.1,869.4,893.3,920.9
"3","  Nonresidential equipment",3.8,4.2,4.4,4.5,4.6,4.5,4.2,3.7,3.4,3.4,3.4,3.4,3.8,4.0,3.9,4.1,4.6,5.3,5.1,5.3,5.4,6.3,7.8,9.6,11.0,12.1,13.9,14.8,15.7,16.6,17.4,19.4,21.3,23.0,23.8,23.9,24.4,25.1,26.2,27.6,29.7,32.6,35.9,39.4,43.4,47.6,51.7,55.8,61.4,71.6,86.0,95.5,107.5,122.3,140.7,163.8,185.9,203.9,213.1,222.7,237.1,253.1,268.5,285.4,302.8,318.3,329.5,337.2,347.7,366.5,392.8,413.8,435.0,455.4,482.5,516.8,538.0,546.6,550.8,569.2,599.7,632.5,669.9,699.3,702.7,701.7,728.1,761.6,795.0,829.6,860.8,884.6,912.0
"4","      Information processing equipment",0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.4,0.6,0.8,1.0,1.1,1.2,1.4,1.5,1.7,1.8,2.0,2.2,2.5,2.8,2.9,3.1,3.3,3.5,3.8,4.1,4.5,5.1,5.8,6.4,7.2,8.2,9.1,10.0,11.4,13.3,15.8,17.7,19.4,22.3,25.8,31.4,38.3,45.1,51.3,58.0,65.4,73.2,80.5,88.1,95.3,100.5,104.0,107.0,110.5,116.6,123.3,128.0,135.2,141.1,150.5,166.8,174.5,177.6,175.5,179.0,184.4,190.2,200.3,207.2,211.6,216.7,226.2,235.8,246.2,254.5,259.7,264.6,273.2
"5","        Computers and peripheral equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,0.9,1.0,1.1,1.4,1.5,1.8,1.9,2.1,2.0,2.4,3.4,5.4,8.0,10.5,12.8,15.8,18.7,21.8,26.4,30.2,31.9,32.1,31.6,32.0,34.4,37.1,38.1,40.8,44.0,49.6,59.2,61.2,61.7,62.1,64.0,63.7,64.3,67.5,70.2,72.0,75.8,79.2,83.9,88.7,92.3,93.8,93.8,96.3
"6","        Communication equipment",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.6,1.8,1.9,2.2,2.4,2.8,3.2,3.7,4.2,4.6,5.0,5.8,6.8,7.5,7.8,8.9,10.2,12.2,14.7,17.0,18.8,20.8,22.8,24.6,26.4,28.1,29.8,31.4,33.0,34.1,35.2,36.6,38.1,40.6,44.2,46.1,48.4,53.7,57.6,58.4,52.9,51.3,52.6,53.6,55.5,54.6,53.9,53.3,56.1,57.2,59.4,59.5,59.2,59.3,62.1
"7","        Medical equipment and instruments",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.9,1.1,1.3,1.7,2.0,2.4,2.8,3.3,3.9,4.5,5.2,5.9,6.6,7.2,8.1,8.9,9.7,10.5,11.6,12.6,13.9,15.1,16.2,17.2,18.1,19.0,20.3,21.9,23.6,25.8,28.2,30.6,32.8,36.3,39.6,43.9,48.1,51.0,53.3,55.9,58.3,60.5,63.7,66.4,69.9,71.7
"8","        Nonmedical instruments",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.0,1.2,1.4,1.7,2.1,2.5,3.0,3.5,4.1,4.6,4.9,5.5,6.1,6.6,7.2,7.9,8.8,9.6,10.4,11.2,11.9,12.6,13.5,14.2,14.7,15.1,15.6,16.2,16.8,17.4,17.8,18.5,19.2,20.3,21.5,22.3,22.5,23.4,24.6,25.9,27.3,28.7,30.1,31.5
"9","        Photocopy and related equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.6,0.8,0.8,0.9,1.1,1.2,1.4,1.6,2.0,2.4,2.8,3.1,3.5,4.0,4.8,5.4,5.8,6.1,6.6,7.1,7.8,8.4,9.0,9.7,10.2,10.7,11.3,11.3,11.8,12.5,11.9,11.3,10.4,10.3,9.9,9.3,8.0,7.4,6.9,6.5,6.1,6.0,6.3,6.5,6.6,6.7,7.0,7.2,7.2,7.2,7.2,7.4
