"Table 4.1. Current-Cost Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: October 11, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private nonresidential fixed assets",127.0,131.5,134.2,137.8,137.1,130.2,116.2,107.6,109.3,110.6,110.3,121.4,126.5,125.2,125.5,133.6,151.0,160.5,163.3,165.2,180.2,221.0,265.7,291.6,296.7,335.9,366.2,386.3,403.7,414.9,457.0,505.5,540.6,551.3,573.9,586.9,604.3,626.8,650.6,689.3,738.8,804.3,871.2,957.9,1055.8,1161.7,1275.1,1385.7,1560.5,1893.8,2083.8,2280.1,2532.5,2870.3,3313.9,3800.4,4300.0,4588.9,4744.7,5041.0,5332.4,5603.6,5919.1,6335.9,6726.7,7100.5,7274.6,7521.7,7874.3,8312.5,8765.6,9197.5,9723.7,10279.7,10907.6,11672.4,12255.5,12684.4,13109.5,14227.1,15511.7,16793.6,17747.4,18885.6,18343.1,18799.2,19665.1,20340.8,21205.3,22166.5,22637.3,23210.5,24119.6
"2","          Equipment",31.1,32.8,33.5,34.2,34.3,32.7,29.7,26.7,26.4,26.5,25.9,27.8,29.9,29.9,30.5,32.8,37.6,38.5,38.9,38.8,44.2,53.3,65.5,80.3,84.6,98.8,109.1,114.9,124.4,128.2,141.2,158.6,172.9,178.0,186.6,192.7,196.1,203.7,212.3,224.9,242.5,270.0,296.2,326.5,360.1,394.8,422.5,455.1,507.1,625.5,716.2,792.5,891.6,1018.0,1181.9,1369.9,1528.5,1619.9,1670.5,1758.8,1858.0,1964.7,2055.3,2178.1,2300.6,2423.7,2482.2,2544.3,2642.4,2784.9,2959.2,3104.1,3235.2,3384.7,3578.7,3805.2,3913.4,3959.3,4000.4,4225.9,4423.0,4729.2,4952.1,5200.2,5120.2,5224.0,5459.7,5699.6,5897.2,6133.3,6298.4,6447.1,6679.0
"3","          Structures",94.0,96.7,98.5,101.3,100.3,95.0,84.0,78.6,80.5,81.6,81.6,90.4,93.1,91.6,91.0,96.5,108.2,115.9,117.6,119.0,127.9,158.6,189.6,199.9,200.4,224.2,243.6,256.8,263.1,269.1,296.3,324.9,343.3,346.9,358.4,363.0,374.6,387.2,399.5,422.5,450.6,483.7,518.7,568.5,625.2,689.4,770.1,841.9,955.0,1156.4,1246.2,1354.7,1495.1,1689.2,1945.2,2216.6,2526.7,2694.9,2770.2,2943.8,3101.8,3232.5,3415.1,3641.8,3858.7,4055.4,4116.7,4251.0,4458.5,4696.8,4913.2,5136.2,5445.7,5759.2,6063.8,6468.4,6880.7,7212.5,7514.3,8334.0,9311.4,10180.9,10772.1,11557.2,11029.7,11286.3,11799.6,12126.7,12641.7,13248.1,13453.4,13732.6,14222.1
"4","          Intellectual property products",1.9,2.0,2.1,2.3,2.5,2.5,2.5,2.4,2.4,2.6,2.8,3.1,3.4,3.7,4.0,4.3,5.1,6.0,6.8,7.5,8.1,9.1,10.6,11.3,11.7,12.8,13.6,14.6,16.2,17.7,19.6,22.1,24.4,26.4,29.0,31.1,33.7,35.9,38.9,41.9,45.8,50.5,56.3,62.8,70.5,77.5,82.5,88.7,98.4,111.9,121.5,132.9,145.8,163.2,186.8,213.8,244.9,274.1,304.1,338.5,372.6,406.4,448.7,516.1,567.4,621.4,675.6,726.4,773.4,830.7,893.2,957.2,1042.8,1135.8,1265.0,1398.7,1461.4,1512.5,1594.9,1667.2,1777.3,1883.6,2023.2,2128.2,2193.2,2288.9,2405.8,2514.4,2666.5,2785.1,2885.5,3030.9,3218.4
"","By selected industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","  Farms",10.1,10.2,10.3,10.4,10.2,9.3,8.1,7.1,7.5,7.5,7.5,7.8,8.1,7.9,7.4,7.7,9.2,10.5,11.5,12.0,13.2,16.1,19.9,22.6,23.6,27.4,29.9,31.3,31.8,31.7,33.9,35.3,36.4,36.1,36.9,37.3,38.0,39.2,40.8,43.0,45.7,49.1,52.3,56.1,60.2,65.1,70.7,75.5,84.7,103.0,113.8,125.6,140.7,159.1,185.9,208.0,227.5,235.1,235.7,237.5,235.1,235.5,234.9,238.5,243.5,248.4,248.1,247.6,252.7,261.6,268.9,276.0,286.3,297.0,302.9,311.0,319.9,328.3,340.2,366.9,394.4,416.3,430.3,446.5,433.7,438.2,455.8,482.5,521.7,564.1,575.0,586.8,595.3
"6","    Equipment",2.7,2.9,3.1,3.2,3.3,3.3,3.0,2.9,2.6,2.4,2.4,2.6,2.9,3.0,3.0,3.2,3.7,3.8,3.8,3.9,4.3,4.8,6.2,8.3,9.5,11.3,12.5,13.3,13.9,13.8,14.6,14.8,15.5,16.0,16.5,16.7,16.7,17.1,17.8,18.6,20.1,21.9,23.7,25.1,26.8,28.8,30.6,32.4,37.2,47.2,54.1,60.6,67.8,76.2,89.6,99.4,109.8,111.9,109.3,106.6,102.2,99.7,96.1,96.6,98.6,101.7,102.7,101.3,102.5,105.7,110.6,114.3,120.2,125.8,126.1,126.8,129.0,133.0,138.9,149.4,157.4,163.8,171.2,184.4,189.6,196.1,208.8,226.7,248.5,272.4,275.6,272.0,270.2
"7","    Structures",7.4,7.3,7.2,7.2,6.9,6.0,5.0,4.2,4.9,5.2,5.1,5.2,5.2,5.0,4.4,4.5,5.5,6.7,7.7,8.1,8.9,11.3,13.7,14.3,14.1,16.1,17.4,18.0,17.8,17.9,19.3,20.5,21.0,20.1,20.4,20.6,21.2,22.1,23.0,24.4,25.6,27.1,28.6,31.0,33.4,36.2,40.1,43.1,47.5,55.8,59.8,65.0,72.9,82.9,96.3,108.6,117.8,123.2,126.5,130.9,132.9,135.8,138.8,141.9,144.8,146.6,145.3,146.1,149.9,155.6,158.0,161.4,165.8,170.9,176.5,184.0,190.8,195.1,201.2,217.4,237.0,252.4,259.1,262.0,244.0,242.1,247.0,255.7,273.1,291.7,299.3,314.8,325.1
"8","    Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"9","  Manufacturing",17.4,17.8,18.1,18.9,18.7,17.3,15.3,14.0,15.6,16.3,16.5,18.5,19.9,19.4,20.1,22.2,26.3,28.7,28.7,29.1,33.3,40.8,49.9,55.4,54.8,62.7,69.1,73.3,77.4,80.2,88.8,101.3,110.3,111.6,115.4,118.8,122.2,127.3,132.5,141.3,153.2,171.8,188.7,209.7,231.8,255.2,277.4,298.6,331.5,401.5,448.2,490.9,547.2,617.8,712.6,820.7,911.2,971.2,1002.5,1052.7,1116.0,1174.7,1233.0,1311.7,1381.4,1458.9,1505.9,1560.1,1612.1,1698.6,1796.9,1894.5,1996.8,2108.1,2208.5,2315.1,2383.5,2415.1,2455.7,2566.1,2703.9,2835.2,3009.1,3199.9,3160.1,3214.9,3340.2,3438.9,3580.3,3679.0,3741.5,3822.0,3964.7
"10","    Equipment",7.6,7.8,7.9,8.1,8.0,7.6,6.9,6.2,6.7,7.0,7.0,7.8,8.7,8.8,9.2,10.2,11.6,12.1,12.5,13.1,15.0,17.7,21.8,26.2,26.6,31.1,34.0,35.8,38.9,40.5,44.6,51.4,56.3,57.1,59.1,60.4,60.7,62.6,64.4,68.3,74.2,83.9,92.3,101.6,110.6,120.3,126.9,133.9,146.2,182.8,213.9,237.9,268.7,304.3,350.7,407.5,450.6,474.0,478.0,494.7,525.2,552.5,576.6,601.6,632.6,676.1,698.7,718.9,738.5,773.3,821.5,858.8,885.7,919.6,944.9,972.6,985.0,989.0,993.5,1021.4,1051.0,1093.0,1144.4,1208.0,1196.2,1207.7,1253.8,1291.3,1315.3,1338.4,1350.1,1364.2,1400.2
"11","    Structures",9.3,9.6,9.8,10.3,10.2,9.2,7.9,7.3,8.4,8.7,8.8,9.9,10.4,9.8,9.9,10.9,13.2,14.5,14.0,13.7,16.0,20.5,24.8,25.6,24.5,27.4,30.4,32.0,32.2,32.5,35.8,39.9,42.7,41.7,42.1,42.7,44.5,46.3,48.2,51.5,55.7,62.0,67.7,75.8,84.6,94.2,106.5,116.7,130.1,154.6,164.4,176.6,195.2,220.9,255.9,291.2,321.1,343.1,356.0,374.3,390.9,409.0,425.0,442.0,462.3,478.3,482.6,496.7,516.1,542.9,564.3,591.8,624.2,658.3,687.3,719.0,753.4,770.8,773.5,827.7,883.8,928.1,976.5,1049.6,989.5,984.3,1012.9,1028.7,1073.0,1098.8,1119.0,1123.1,1153.8
"12","    Intellectual property products",0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.1,1.6,2.0,2.2,2.3,2.3,2.7,3.2,3.6,3.7,4.3,4.7,5.4,6.4,7.2,8.3,10.0,11.4,12.8,14.2,15.7,17.0,18.4,19.9,21.5,23.4,25.9,28.7,32.4,36.7,40.7,44.0,48.0,55.2,64.2,69.9,76.3,83.3,92.7,105.9,122.0,139.6,154.2,168.5,183.7,199.9,213.2,231.3,268.0,286.5,304.5,324.6,344.5,357.5,382.4,411.1,443.9,486.8,530.2,576.3,623.5,645.2,655.3,688.7,717.0,769.1,814.1,888.2,942.2,974.3,1022.9,1073.6,1118.8,1192.0,1241.7,1272.4,1334.6,1410.7
"13","  Nonfarm nonmanufacturing",99.5,103.5,105.8,108.5,108.1,103.6,92.9,86.5,86.2,86.8,86.3,95.1,98.5,97.8,98.0,103.7,115.4,121.3,123.1,124.1,133.8,164.1,196.0,213.6,218.3,245.8,267.3,281.7,294.6,303.0,334.3,368.9,393.8,403.6,421.7,430.8,444.2,460.3,477.3,505.0,539.9,583.4,630.3,692.1,763.8,841.4,927.0,1011.7,1144.3,1389.3,1521.8,1663.7,1844.7,2093.4,2415.5,2771.7,3161.3,3382.6,3506.5,3750.8,3981.3,4193.5,4451.2,4785.7,5101.9,5393.1,5520.5,5714.0,6009.5,6352.3,6699.8,7027.0,7440.6,7874.6,8396.3,9046.2,9552.1,9941.0,10313.6,11294.0,12413.4,13542.1,14307.9,15239.3,14749.4,15146.0,15869.1,16419.4,17103.4,17923.4,18320.8,18801.7,19559.6
"14","    Equipment",20.7,22.2,22.6,23.0,23.1,21.8,19.8,17.6,17.0,17.1,16.5,17.4,18.4,18.2,18.3,19.4,22.3,22.6,22.6,21.8,24.9,30.8,37.6,45.9,48.5,56.5,62.6,65.8,71.6,73.9,82.0,92.3,101.2,104.9,110.9,115.6,118.7,124.0,130.0,138.0,148.3,164.2,180.2,199.8,222.8,245.6,264.9,288.8,323.7,395.6,448.2,493.9,555.1,637.5,741.6,863.0,968.1,1034.0,1083.2,1157.5,1230.5,1312.6,1382.6,1479.8,1569.4,1645.8,1680.8,1724.2,1801.4,1905.9,2027.1,2131.0,2229.3,2339.3,2507.8,2705.8,2799.4,2837.3,2868.0,3055.1,3214.7,3472.4,3636.6,3807.8,3734.3,3820.3,3997.2,4181.6,4333.3,4522.5,4672.6,4810.8,5008.6
"15","    Structures",77.3,79.8,81.5,83.7,83.1,79.8,71.1,67.0,67.3,67.7,67.7,75.3,77.5,76.8,76.7,81.0,89.5,94.8,95.9,97.2,103.1,126.8,151.1,160.0,161.8,180.8,195.8,206.7,213.1,218.7,241.1,264.5,279.6,285.1,296.0,299.7,308.9,318.8,328.2,346.6,369.2,394.6,422.4,461.8,507.2,558.9,623.5,682.1,777.4,946.0,1022.1,1113.1,1227.0,1385.5,1593.0,1816.8,2087.8,2228.7,2287.7,2438.6,2578.0,2687.7,2851.2,3057.8,3251.6,3430.4,3488.8,3608.2,3792.6,3998.4,4190.9,4383.0,4655.7,4930.0,5200.0,5565.4,5936.6,6246.6,6539.5,7288.9,8190.6,9000.3,9536.4,10245.6,9796.2,10059.8,10539.7,10842.3,11295.6,11857.6,12035.2,12294.7,12743.3
