"Table 4.7. Investment in Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: October 11, 2018"
"Line","","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private nonresidential fixed assets",2.1,2.5,2.8,2.5,2.6,3.2,3.6,2.8,3.3,3.8,3.6,4.3,4.5,3.6,3.5,4.9,6.5,7.9,8.7,10.7,7.8,8.2,10.8,9.2,11.0,11.1,10.7,10.9,11.8,9.7,6.3,3.9,3.5,4.3,5.2,6.7,8.4,6.8,7.2,8.7,10.7,8.0,7.1,9.1,12.5,18.8,25.0,28.7,26.9,30.0,34.2,35.0,38.8,38.3,42.9,49.4,52.8,48.7,52.7,55.9,56.3,61.1,64.5,72.0,85.0,96.4,98.4,106.7,119.1,123.0,128.5,144.9,171.2,189.7,195.5,217.3,256.3,310.8,370.5,402.3,467.6,477.2,474.3,557.5,602.4,595.8,608.1,654.4,705.8,732.3,713.7,728.5,792.5,860.4,957.2,1041.6,1142.8,1245.2,1352.0,1478.8,1437.4,1327.9,1349.1,1444.0,1598.2,1770.8,1923.8,1972.4,1664.3,1727.2,1900.9,2101.2,2191.4,2370.4,2413.0,2400.2,2538.1
"2","          Equipment",0.7,0.8,0.9,0.8,0.9,1.2,1.5,0.9,1.1,1.3,1.2,1.7,2.0,1.6,1.7,2.7,3.9,5.3,5.6,6.2,4.5,4.6,6.3,4.5,6.1,5.4,5.0,5.2,5.7,4.6,3.1,2.0,1.9,2.5,3.1,4.1,5.0,3.8,4.2,5.3,6.4,4.6,4.2,5.5,7.8,10.3,15.5,17.3,15.8,17.8,19.9,19.7,21.6,20.6,23.6,26.0,28.3,25.3,28.0,29.3,28.6,31.9,34.2,38.7,45.9,53.3,53.7,58.6,65.2,66.1,68.5,78.4,95.2,105.5,107.9,122.1,149.2,181.1,210.1,217.6,242.6,234.7,245.4,289.6,302.5,307.5,311.8,340.6,365.1,363.8,355.0,376.0,422.3,474.4,526.2,563.2,605.7,653.9,705.4,752.8,696.2,643.4,652.4,707.6,781.6,851.4,885.3,846.7,663.2,783.2,887.2,984.1,1022.0,1082.1,1099.4,1070.0,1123.8
"3","          Structures",1.3,1.6,1.8,1.6,1.6,1.8,2.0,1.8,2.0,2.3,2.2,2.4,2.3,1.8,1.5,2.1,2.3,2.3,2.8,4.2,2.9,3.3,4.1,4.3,4.5,5.3,5.3,5.2,5.5,4.5,2.7,1.4,1.1,1.3,1.5,1.9,2.7,2.2,2.3,2.6,3.1,2.2,1.7,2.3,3.3,6.6,7.5,9.3,9.1,9.9,11.9,12.2,13.6,13.8,15.0,18.2,18.9,17.4,18.1,19.5,19.7,20.8,21.0,23.6,27.9,30.4,30.7,32.6,36.8,39.0,41.3,46.0,53.5,58.8,59.8,63.1,71.4,89.5,112.5,130.6,160.5,170.1,147.8,173.2,194.8,175.2,176.1,181.2,190.6,204.1,179.6,164.8,173.3,180.2,204.1,225.1,249.1,273.2,281.5,314.7,326.2,278.3,278.0,298.6,343.4,413.0,493.7,551.4,436.7,365.8,391.5,461.4,476.7,561.2,552.7,523.4,561.0
"4","          Intellectual property products",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.4,1.8,2.0,2.1,2.0,2.3,2.4,3.0,3.7,3.9,4.3,5.2,5.6,6.0,6.6,7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.5,17.1,17.9,18.6,20.5,22.6,25.4,27.7,32.1,35.7,40.2,47.9,54.1,64.5,72.4,81.0,94.7,105.0,113.1,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.3,564.4,578.2,622.3,655.7,692.7,727.1,760.9,806.9,853.3
"","By selected industry group:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5","  Farms",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.8,1.0,1.0,0.5,0.5,0.7,0.6,0.8,0.8,0.8,0.8,0.8,0.7,0.4,0.2,0.2,0.3,0.5,0.7,0.8,0.7,0.6,0.7,1.0,0.7,0.6,1.0,1.0,1.6,2.6,3.2,3.3,3.4,3.4,3.3,3.2,3.0,3.1,2.8,2.8,3.2,3.7,3.4,3.4,3.8,4.4,4.5,5.1,5.6,5.9,5.5,5.9,6.4,6.6,7.2,9.8,11.1,13.4,14.2,15.8,17.8,20.6,17.7,17.9,13.7,12.8,13.7,10.6,9.5,9.6,12.6,14.5,15.5,13.8,12.2,15.8,18.5,20.3,21.6,25.0,24.8,20.5,22.4,23.8,26.3,27.5,30.5,31.5,30.0,31.8,37.4,36.7,37.0,43.3,55.2,61.7,70.0,49.9,41.4,43.0
"6","    Equipment",0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.6,0.7,0.8,0.4,0.4,0.5,0.4,0.7,0.6,0.6,0.6,0.7,0.6,0.4,0.2,0.2,0.3,0.4,0.6,0.7,0.6,0.6,0.6,0.9,0.6,0.5,0.8,0.9,1.0,1.8,2.4,2.6,2.7,2.7,2.5,2.6,2.3,2.5,2.1,2.3,2.7,2.8,2.4,2.5,2.7,3.2,3.4,4.0,4.5,4.7,4.4,4.6,5.0,5.3,6.0,8.0,8.5,10.0,10.6,11.9,13.3,15.5,13.2,14.0,10.7,10.2,11.2,9.1,8.4,8.2,10.9,12.8,13.6,12.0,10.6,13.3,15.8,17.6,18.5,22.3,22.0,17.3,18.3,19.2,21.5,22.9,25.7,26.2,25.0,26.4,30.0,29.6,30.8,35.9,46.7,52.8,58.5,41.5,33.6,35.3
"7","    Structures",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.8,0.8,0.7,0.7,0.7,0.8,0.7,0.6,0.6,0.6,0.5,0.5,0.9,1.0,0.9,1.0,1.2,1.1,1.1,1.1,1.2,1.1,1.2,1.4,1.3,1.2,1.9,2.6,3.4,3.6,3.9,4.6,5.2,4.5,4.0,3.0,2.6,2.5,1.4,1.1,1.4,1.7,1.7,1.8,1.8,1.5,2.3,2.5,2.5,3.0,2.5,2.6,3.1,4.0,4.5,4.7,4.6,4.8,5.3,5.0,5.4,7.3,7.0,6.1,7.3,8.4,8.9,11.5,8.3,7.8,7.7
"8","    Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0
