"Table 7.5. Investment in Government Fixed Assets"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: November 20, 2018"
"Line","","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Government fixed assets 1","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,0.8,0.8,2.2,5.0,2.2,1.5,1.6,1.8,1.8,2.1,2.4,2.4,2.7,2.8,2.9,3.3,3.1,2.3,2.0,2.7,2.8,4.2,3.9,4.3,4.6,4.4,10.7,28.9,39.9,38.2,25.4,4.7,5.7,8.5,11.3,11.4,19.5,24.6,26.5,25.4,24.6,27.2,30.2,32.6,35.9,36.0,39.8,42.5,44.4,46.4,47.9,53.6,57.7,59.1,59.4,59.6,58.1,60.5,65.5,75.9,83.9,88.9,92.3,104.2,118.7,134.4,146.9,156.7,170.4,192.5,218.8,237.2,253.7,257.5,269.9,289.7,293.7,294.8,290.5,293.6,309.2,327.2,326.7,344.0,368.3,388.8,411.7,443.4,463.4,485.7,512.2,549.7,593.1,627.8,640.6,641.6,632.6,616.4,597.3,599.0,619.1,631.4,646.4
"2","          Equipment","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.1,0.1,0.9,2.8,0.3,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.6,0.6,4.2,16.4,32.0,33.3,21.2,1.6,1.3,2.3,3.2,2.6,8.0,11.1,12.3,10.2,8.8,8.9,9.5,9.7,12.0,11.6,13.1,14.1,12.8,12.4,11.2,13.1,15.0,13.7,12.9,13.0,9.2,9.8,10.9,14.4,16.6,19.2,21.0,23.1,27.3,31.1,36.0,42.3,50.2,58.4,67.8,73.9,77.4,74.3,80.7,86.6,85.7,84.8,79.4,77.5,78.9,80.1,75.7,79.0,86.1,87.4,88.2,96.4,99.8,106.2,113.6,122.5,131.8,145.0,147.3,147.9,144.2,142.9,132.9,130.4,130.9,133.8,139.9
"3","          Structures",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,1.3,2.2,1.9,1.4,1.6,1.7,1.7,1.9,2.1,2.2,2.4,2.5,2.6,2.9,2.7,1.9,1.7,2.2,2.3,3.7,3.3,3.6,3.9,3.7,6.2,12.1,7.0,3.4,2.6,1.7,3.0,4.6,6.3,6.9,9.4,11.1,11.5,12.1,12.3,13.5,14.9,16.5,16.9,16.6,17.9,18.6,19.9,21.1,22.9,25.1,26.4,28.4,28.8,28.9,30.8,31.4,34.2,40.1,44.1,44.2,43.4,50.2,56.4,63.8,65.9,64.7,65.0,71.8,80.1,88.1,94.5,98.1,101.4,112.0,116.6,118.4,119.7,124.1,136.3,151.6,152.7,162.7,175.6,188.2,203.9,219.9,227.9,235.4,246.1,268.2,294.7,309.3,317.8,312.2,303.0,287.3,276.5,281.5,297.3,305.3,303.9
"4","            Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.4,0.6,0.8,0.2,0.1,0.4,0.2,0.2,0.3,0.3,0.6,0.6,0.6,0.3,0.3,0.3,0.5,0.9,1.0,0.8,0.9,1.0,0.6,0.6,0.7,0.8,0.8,0.9,1.2,1.2,1.3,1.2,1.3,1.4,1.7,1.6,1.7,1.7,2.0,2.5,3.0,3.1,3.6,3.6,4.1,4.3,4.7,4.6,4.7,5.2,4.7,5.0,4.9,4.8,5.5,5.6,6.0,5.9,5.9,5.8,6.5,6.9,7.1,7.8,8.3,7.8,7.9,8.7,8.3,8.8,7.6,5.9,5.3,5.3,6.2,7.3,7.3
"5","            Industrial 2",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1.3,3.4,1.8,1.2,0.7,0.0,0.0,0.1,0.2,0.2,1.0,1.7,1.8,1.5,0.6,0.5,0.5,0.5,0.3,0.4,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.4,0.3,0.3,0.2,0.0,0.0,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.8,1.1,1.0,0.8,0.8,0.7,0.8,1.1,0.9,0.7,0.6,0.6,0.6,0.5,0.2,0.2,0.3,0.4,0.6,0.6,0.4,0.3,0.3,0.3,0.6,0.8,0.7,0.7,0.6,0.6,0.5,0.3,0.1,0.3
"6","            Office",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.2,0.3,0.3,0.2,0.3,0.3,0.3,0.4,0.5,0.6,0.6,0.7,0.7,0.8,1.0,1.1,1.3,1.2,1.3,1.5,1.9,1.5,1.6,1.8,2.2,2.7,3.5,3.5,3.3,3.9,4.0,4.4,4.7,4.4,4.5,4.8,5.3,6.5,7.0,6.3,7.1,8.4,8.9,8.7,9.3,9.9,11.2,13.4,13.3,15.3,16.7,16.8,16.3,21.3,22.5,23.1,22.6,23.5,25.6,26.7,26.8,26.4,26.3,25.4,23.3,23.3,22.9,23.1,24.5
"7","            Commercial",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.2,0.3,0.2,0.3,0.4,0.3,0.3,0.5,0.7,1.2,1.4,0.4,0.5,0.8,0.7,0.6,0.5,0.2,0.4,0.8,0.7,1.5,1.6,0.4,0.4,0.8,1.1,1.0,0.4,1.0,1.7,2.1,1.5,1.9,1.4,1.3,0.8,0.9,0.8,0.9,1.4
"8","            Health care",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.3,0.6,0.7,0.6,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.0,1.4,1.3,1.3,1.7,1.9,2.1,2.1,2.1,2.3,2.6,2.6,2.6,2.4,2.5,2.6,2.8,3.1,3.0,3.0,3.5,3.6,4.1,4.3,4.1,4.3,4.4,4.6,4.4,4.0,3.8,4.2,5.0,5.1,5.2,5.7,6.5,7.7,8.0,8.7,8.8,9.6,9.7,10.0,8.9,8.2,8.4,8.8
"9","            Educational",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.3,0.1,0.1,0.2,0.2,0.4,0.3,0.3,0.5,0.3,0.3,0.2,0.1,0.1,0.1,0.1,0.3,0.7,1.0,1.2,1.6,1.7,1.8,2.2,2.5,2.6,2.9,3.0,2.8,2.9,3.2,3.2,3.7,4.0,4.5,5.6,6.3,6.3,6.1,5.9,5.8,6.0,7.0,7.7,7.8,7.3,6.4,7.0,7.6,8.4,7.9,7.5,7.3,8.4,9.6,11.0,11.3,13.5,15.3,16.8,20.0,21.2,20.1,21.4,26.8,29.7,33.2,37.0,41.8,46.5,52.8,55.7,58.5,61.8,66.0,72.3,78.1,82.1,79.6,73.6,70.1,66.3,64.0,66.0,72.1,76.6,77.5
