"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    All industries",471891,502530,510377,577828,654682,686059,739348,739933,802631,841799,875630,897581,979030,1006210,1029951,1105771,1163355,1243081,1356444,1479734,1555554,1690401,1825682,1903907,2050420,2274796,2556722,2878599,3056115,3435131,3873063,4366277,4925670,5462489,6033262,6172248,6629462,7310527,7777731,8033861,8710057,9435167,10067229,10622939,10803741,11387298,12003387,12796720,13615642,14429535,15355426
"    2","Private industries",431771,461028,465226,531761,593101,611942,659303,662047,721779,758527,784918,801083,879801,903747,921447,986930,1036566,1108385,1211351,1316255,1372396,1486187,1604769,1666264,1792284,1994053,2257970,2546847,2688322,3041671,3446781,3898667,4412210,4887461,5388305,5466820,5867539,6495572,6887499,7079709,7705880,8368487,8917208,9385417,9486850,10004039,10571582,11305045,12067834,12831436,13689441
"    3","  Agriculture, forestry, fishing, and hunting",32162,36511,30731,33395,38890,38221,34800,34575,34430,34480,34471,38356,38240,38999,40133,41910,43464,42347,46665,50174,50558,52329,57200,59505,64341,74860,104779,106586,108164,113113,119590,140409,165559,162759,178744,171164,156225,181960,172507,165704,175097,183236,201975,211193,205421,217009,218591,237711,232653,255595,257791
"    4","    Farms",30575,34614,29033,31220,36410,35741,32216,32167,31611,31595,31813,35739,35044,35716,36733,38110,39209,37659,41587,44627,44697,45518,49498,51782,55438,63374,91300,91989,94385,96123,99491,117591,140461,137794,152607,146978,130023,154878,147668,139187,147055,153681,171924,179887,175266,182577,182156,197496,191897,215813,219380
"    5","    Forestry, fishing, and related activities",1587,1897,1698,2175,2480,2481,2584,2408,2819,2886,2658,2617,3196,3283,3400,3799,4255,4687,5078,5547,5861,6811,7703,7723,8903,11486,13479,14597,13780,16990,20100,22818,25099,24965,26136,24186,26202,27082,24839,26517,28043,29555,30050,31307,30155,34432,36434,40215,40756,39782,38411
"    6","  Mining",10822,13643,12551,14119,16228,16579,18062,17997,19905,21215,21168,19010,19513,19495,19367,19538,19602,20616,21701,23001,23675,24976,27089,29897,29925,31100,36629,57127,67604,74313,84547,97422,126214,173806,226202,215456,193179,207355,193268,130136,133989,135469,141710,160135,152440,145190,144378,141994,140197,164842,174200
"    7","    Oil and gas extraction",3737,5442,4856,5241,6040,6267,6896,7136,7644,8229,9071,8525,8770,8850,9108,9411,9628,9792,10255,11119,12064,12520,13424,14230,14896,14978,17199,27588,31801,35979,42317,46632,62123,95657,130048,124345,118135,125834,117763,69731,75686,68838,74677,87428,78682,76931,77334,71398,69954,92235,97795
"    8","    Mining, except oil and gas",5565,6137,5672,6503,7376,7123,7677,7131,8202,8739,7951,6732,7069,7530,7457,7448,7523,8195,8796,9215,8970,9673,10624,12643,12150,12790,15646,23674,27791,28942,29716,33939,43293,48266,49863,42311,42269,47262,44871,43043,43758,49114,50490,53130,53592,52406,48788,53256,53831,53935,55664
"    9","    Support activities for mining",1520,2063,2024,2374,2812,3189,3488,3730,4058,4247,4146,3753,3674,3115,2802,2680,2451,2629,2650,2667,2641,2783,3040,3024,2878,3332,3783,5865,8012,9391,12514,16851,20798,29882,46292,48800,32776,34259,30634,17362,14545,17517,16543,19577,20166,15853,18256,17340,16412,18672,20741
"    10","  Utilities",6005,7053,7391,8331,9370,10370,11642,12651,14006,15424,16585,17646,18879,20150,20868,21853,22363,23142,24320,25807,27212,28753,30486,33014,35324,40210,43341,52607,63322,73953,85861,98397,114981,127166,148070,160765,178865,182043,177176,160708,182681,191153,203376,207673,218517,226124,236940,239025,239656,249872,254220
