"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    All industries",221947,227723,237550,277630,307388,318331,349609,348788,376456,391669,400778,415536,456579,462926,466648,500657,524772,557296,612717,664695,693823,747922,805805,828023,882651,992348,1128173,1329773,1367193,1557545,1787112,2009706,2293527,2599984,2822306,2827257,2991325,3269833,3430997,3443706,3839839,4182538,4409535,4643350,4629700,4847999,5124668,5487964,5951583,6329335,6746911
"    2","Private industries",215523,219651,227403,267506,290571,295380,323104,326324,353857,370401,376623,390016,432015,439914,442739,472185,494874,526506,578905,624418,645549,693964,748967,770742,821599,925814,1058624,1248176,1273272,1457766,1675625,1885190,2152028,2434592,2630962,2614197,2755301,3021841,3155332,3143721,3530227,3864595,4066737,4272039,4236331,4441496,4700733,5040332,5481687,5837886,6230046
"    3","  Agriculture, forestry, fishing, and hunting",12233,13357,12149,13493,15895,16098,14769,15007,15644,15868,16071,17729,19229,19139,20080,21561,22946,22733,24241,26736,27702,28713,30890,32243,34949,40504,52561,56508,56763,62975,68336,80878,95300,100564,103072,99462,98943,104895,95526,91565,95743,104503,110218,115041,117414,118340,128074,132366,141997,142019,148996
"    4","    Farms",11516,12515,11448,12495,14750,14952,13543,13972,14342,14526,14893,16652,17729,17546,18399,19702,20715,20320,21647,23803,24577,25021,26673,28097,30067,33724,44539,47744,48760,53102,55957,66865,80358,86426,87655,86565,85089,90727,83965,79296,85012,92295,97979,102106,104894,102719,110884,113902,123494,123174,131244
"    5","    Forestry, fishing, and related activities",717,843,701,997,1145,1145,1225,1035,1303,1342,1177,1077,1500,1593,1681,1860,2231,2413,2594,2933,3125,3692,4217,4146,4882,6779,8023,8764,8002,9874,12379,14014,14942,14138,15417,12897,13854,14168,11561,12270,10731,12208,12239,12935,12520,15621,17190,18464,18502,18845,17752
"    6","  Mining",5042,5947,5930,6460,7772,8290,9307,9152,9839,10361,10214,8951,9653,9360,9150,9174,8979,9617,10531,11176,11623,12088,13549,14827,14666,15148,17463,27416,33305,36253,40436,46884,66808,82482,104001,96191,89864,99674,86369,59506,60664,61226,62917,71615,72894,71588,69783,65649,63267,74132,79056
"    7","    Oil and gas extraction",1708,2278,1800,1864,2266,2251,2549,2396,2420,2741,3341,3003,3252,3387,3480,3665,3889,3961,4286,4998,5364,5344,5934,6482,6842,6749,7466,12106,13600,14857,17717,18620,28815,35989,47732,45966,47051,53000,44064,25227,27978,25857,26876,31694,32642,34606,34045,29337,27198,37123,42637
"    8","    Mining, except oil and gas",2269,2275,2732,2919,3469,3657,4134,3947,4379,4453,3849,3266,3796,3921,3957,3940,3759,4174,4768,4721,4932,5356,6032,6859,6542,6711,8158,12525,15306,16132,15006,17439,23585,27329,28441,21746,22815,25855,24852,24581,24980,26354,27396,29485,29821,28774,26503,27867,28597,28066,29179
"    9","    Support activities for mining",1065,1394,1398,1678,2037,2382,2624,2809,3039,3167,3025,2682,2605,2052,1713,1568,1331,1481,1477,1456,1327,1387,1582,1486,1282,1689,1838,2785,4399,5264,7713,10825,14408,19164,27828,28479,19999,20819,17453,9699,7706,9015,8644,10436,10431,8208,9235,8445,7472,8943,7240
"    10","  Utilities",2539,3191,2954,3447,3725,4222,4879,5153,5940,6784,7288,7657,7847,8146,8212,8408,8317,8186,8726,9092,9652,9717,10054,11322,10654,13191,14375,22317,24801,30974,38286,46269,61199,66112,75975,77496,84119,75986,63378,42624,56401,65408,64440,61572,64221,65599,71971,66433,63529,75239,82079
