"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    1","    All industries",6815765,7153967,7641647,8371524,8306430,8241836,8683001,9476431,10476309,11116745,11786642,12276365,10470544,11430311,12456916,12989840,13506498,14183574,13866819,14069221,14960232,15968298
"    2","Private industries",6296178,6615520,7059243,7743456,7620193,7501408,7892191,8628030,9563308,10131668,10740838,11137978,9291794,10203159,11229590,11759567,12292628,12964217,12637254,12809143,13663569,14579381
"    3","  Agriculture, forestry, fishing, and hunting",149245,150007,152720,145285,151520,145775,154311,164252,170159,177083,202979,227495,210477,222546,251540,273062,272850,300053,274491,263302,266569,280548
"    4","    Farms",131244,128792,129015,128272,134241,127864,135734,142463,147409,158156,186819,210477,196041,205561,231060,256790,254518,277206,255835,245890,248288,260013
"    5","    Forestry, fishing, and related activities",18001,21215,23709,17014,17279,17913,18578,21788,22748,18926,16162,17019,14436,16987,20480,16268,18332,22847,18655,17413,18280,20535
"    6","  Mining",81810,69845,71271,107469,102183,83055,113388,132951,168277,170897,161589,221809,128177,193459,244871,254251,276369,330783,235022,165796,219327,311732
"    7","    Oil and gas extraction",43449,33680,41464,74748,66180,46833,73084,78042,93250,78518,71027,116837,54676,115879,154848,138884,171269,199637,117815,96886,129919,198881
"    8","    Mining, except oil and gas",29742,26369,23706,26162,27035,27122,28149,33687,41398,49012,46530,54885,43363,43196,54511,58018,52413,58944,51570,41414,42503,43562
"    9","    Support activities for mining",8619,9797,6101,6559,8967,9099,12155,21223,33629,43367,44031,50087,30138,34384,35511,57349,52688,72202,65637,27496,46905,69289
"    10","  Utilities",90500,104382,134920,193126,265146,147536,159123,152534,218041,195106,219686,283210,178210,215649,197430,181835,205323,239582,215171,174591,182123,194047
"    11","  Construction",369540,399811,424040,452546,470425,476137,514239,573417,635328,656537,623806,626897,533313,491526,496054,521161,568148,624707,681460,732540,753280,796509
"    12","  Manufacturing",2515082,2531854,2590914,2740268,2572983,2503120,2526460,2753631,3111140,3299672,3559285,3692896,2808929,3222094,3725306,3844239,3947424,3992229,3591635,3487848,3709833,3914759
"    13","    Durable goods",1366034,1428082,1481375,1510473,1407410,1332546,1312492,1409795,1539372,1635331,1739551,1687329,1271132,1418166,1583944,1637967,1687592,1775220,1717626,1654261,1777847,1864145
"    14","      Wood products",62016,64323,68719,66715,60786,62909,63952,73517,80111,82882,74224,63490,44697,48604,49350,55019,60102,66190,67960,69668,74066,74568
"    15","      Nonmetallic mineral products",46094,50796,52469,55096,53115,53448,54533,57110,64368,75304,78219,69682,51106,54003,55224,57068,59193,64268,65029,67115,70007,72395
"    16","      Primary metals",120213,117678,110412,108668,96647,97484,98405,126910,146207,170433,191815,211524,125983,184827,219044,203708,200926,201747,166776,148903,171196,201284
"    17","      Fabricated metal products",133920,143003,141271,147884,141652,140770,135793,145581,165542,189878,207968,224658,162861,175730,199604,205895,208921,217268,205811,193372,212769,231537
"    18","      Machinery",167532,164232,164836,181523,159560,147996,152934,161778,184672,201923,217401,222398,166707,191510,224237,251990,238633,248639,225349,207435,229515,238530
"    19","      Computer and electronic products",265807,272942,299799,323313,287751,217348,194465,196784,196546,201924,216107,191225,126527,119056,124313,113637,108445,97472,80372,70095,79853,88869
"    20","      Electrical equipment, appliances, and components",64247,74165,72360,79434,66274,57176,52410,60397,65532,65780,76017,71460,52023,57864,69599,70834,65560,72276,63085,66735,68144,70906
"    21","      Motor vehicles, bodies and trailers, and parts",318939,323874,368345,344867,333607,342000,345624,368981,387124,391638,388150,334831,294826,346028,393874,397920,442505,497941,531913,541208,577434,582800
"    22","      Other transportation equipment",93057,117179,106584,90792,104566,102947,99687,101130,116428,117861,149514,154840,130640,128440,131829,164079,172941,184804,181610,164377,168266,173070
"    23","      Furniture and related products",35656,38776,39183,42380,41900,44426,44965,47458,50620,51895,53163,49140,36719,35449,35232,43342,43260,43212,44736,43952,44737,45593
"    24","      Miscellaneous manufacturing",58553,61114,57397,69800,61552,66043,69724,70149,82223,85812,86974,94081,79044,76653,81638,74475,87107,81405,84985,81400,81861,84592
"    25","    Nondurable goods",1149047,1103773,1109539,1229795,1165573,1170573,1213968,1343836,1571768,1664341,1819734,2005567,1537798,1803928,2141362,2206272,2259832,2217009,1874009,1833587,1931987,2050614
"    26","      Food and beverage and tobacco products",396635,400237,376395,393877,402225,393108,420808,454169,482363,473743,526486,579516,534787,577150,646788,676666,692126,709348,686968,675503,701639,706051
"    27","      Textile mills and textile product mills",61741,59573,58070,57069,51747,51356,53612,51564,56365,51614,45112,38681,31166,34281,37818,35769,37269,38071,35726,34345,35687,37898
"    28","      Apparel and leather and allied products",62025,55619,53579,53175,39320,32743,29435,24623,26475,26344,18007,15125,14537,12890,14713,9166,9314,9379,9676,13747,16291,17314
"    29","      Paper products",93874,97319,96219,101486,101467,98346,97708,100228,108367,109553,118503,125990,101259,113100,121890,125993,127499,129642,123702,121179,125269,132260
