"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    Gross domestic product",249945,274807,272827,300198,347294,367728,389739,391146,426175,450130,474851,482045,522451,543283,563303,605115,638582,685786,743728,815039,861731,942480,1019878,1075884,1167770,1282449,1428549,1548825,1688923,1877587,2085951,2356571,2632143,2862505,3210956,3344991,3638137,4040693,4346734,4590155,4870217,5252629,5657693,5979589,6174043,6539299,6878718,7308755,7664060,8100201,8608515
"    2","Private industries",216248,241378,237822,264255,302530,316562,336199,335722,367921,388126,408295,411068,447787,463834,478708,514746,541692,581879,632446,691837,726847,792223,855802,895522,970686,1068239,1199346,1298672,1415050,1583905,1771156,2013477,2260182,2452869,2757343,2852624,3112239,3473731,3732168,3935988,4175653,4503891,4850471,5113378,5250519,5562544,5870850,6264713,6586148,6993550,7459395
"    3","  Agriculture, forestry, fishing, and hunting",19929,23154,18582,19902,22995,22123,20032,19568,18786,18612,18401,20627,19011,19860,20052,20348,20518,19614,22424,23438,22856,23616,26311,27263,29392,34356,52217,50078,51402,50138,51254,59530,70259,62195,75671,71702,57282,77065,76981,74139,79355,78733,91757,96152,88006,98669,90517,105345,90656,113576,108796
"    4","    Farms",19059,22099,17585,18725,21660,20788,18673,18196,17270,17069,16919,19087,17315,18170,18333,18409,18494,17339,19940,20824,20120,20497,22825,23685,25370,29649,46761,44245,45624,43021,43533,50726,60103,51368,64952,60412,44934,64151,63703,59891,62043,61386,73945,77781,70372,79858,71272,83594,68402,92639,88136
"    5","    Forestry, fishing, and related activities",870,1055,997,1177,1335,1335,1359,1373,1517,1543,1481,1540,1696,1690,1719,1939,2024,2275,2484,2614,2735,3119,3486,3578,4021,4707,5456,5833,5777,7117,7721,8804,10156,10828,10719,11289,12348,12914,13278,14248,17312,17347,17812,18372,17635,18811,19245,21750,22254,20937,20660
"    6","  Mining",5780,7696,6621,7659,8456,8289,8754,8845,10066,10853,10953,10059,9860,10135,10217,10364,10622,10999,11170,11825,12052,12888,13540,15070,15259,15952,19166,29711,34299,38059,44111,50538,59406,91323,122201,119265,103314,107682,106900,70630,73325,74243,78793,88520,79546,73602,74595,76344,76930,90710,95144
"    7","    Oil and gas extraction",2030,3164,3056,3378,3774,4016,4347,4740,5224,5488,5730,5522,5518,5463,5628,5745,5739,5830,5969,6120,6700,7176,7490,7748,8054,8229,9733,15482,18201,21123,24600,28012,33308,59668,82316,78379,71084,72835,73699,44504,47708,42982,47801,55734,46040,42324,43289,42061,42756,55112,55158
"    8","    Mining, except oil and gas",3295,3862,2940,3585,3907,3466,3543,3184,3823,4286,4102,3466,3272,3609,3500,3507,3764,4021,4029,4494,4039,4316,4592,5784,5608,6079,7488,11148,12486,12810,14710,16500,19708,20937,21421,20565,19454,21407,20019,18463,18779,22760,23093,23645,23770,23632,22285,25388,25234,25869,26485
"    9","    Support activities for mining",455,669,625,696,775,807,864,922,1019,1079,1122,1071,1069,1063,1089,1112,1119,1148,1172,1211,1313,1396,1458,1537,1597,1643,1945,3080,3612,4127,4801,6026,6390,10718,18464,20321,12777,13440,13181,7663,6839,8502,7899,9141,9735,7646,9021,8895,8940,9729,13501
"    10","  Utilities",3466,3861,4437,4884,5645,6148,6763,7498,8066,8640,9297,9989,11031,12004,12656,13445,14046,14956,15594,16715,17559,19036,20433,21692,24670,27019,28966,30290,38520,42979,47575,52127,53782,61054,72095,83268,94746,106056,113798,118084,126279,125746,138936,146100,154296,160525,164969,172591,176127,174634,172141
"    11","  Construction",8920,11110,11215,12777,15246,16430,17048,17166,18430,20274,21290,20971,22726,23138,24098,25928,27656,30317,33283,36626,38216,41823,46712,49490,54458,60144,68141,72996,73772,84386,93083,110131,125326,131905,133359,131177,139473,160612,177531,197922,211133,228212,241372,246239,230316,235343,252772,280540,297199,322194,340697
"    12","  Manufacturing",63540,71113,69125,80377,95864,100058,109588,103883,117477,122652,127755,121108,136167,137999,138775,152477,161170,173272,191500,212464,217832,237113,249149,245871,259354,285215,315234,331930,352312,402688,456673,510013,568044,585597,651190,641779,698092,778383,805317,832417,880651,962490,1017834,1037425,1044988,1087318,1127393,1197713,1265457,1307633,1390088
"    13","    Durable goods",32690,36916,36210,44522,54468,57983,65360,60337,69632,72551,77002,69612,80570,81448,80821,91101,96996,104970,117847,131703,134919,146654,154479,147638,155579,173565,195811,203647,210760,243178,279895,319974,351156,358510,398511,383734,413840,483449,496491,508125,533483,581680,608756,604683,598425,619545,646186,693335,730368,770338,827341
"    14","      Wood products",1718,1956,1706,2131,2414,2274,2255,2155,2525,2533,2287,2269,2683,2507,2416,2614,2883,3166,3497,3552,3641,4233,4722,4560,5097,6150,7453,7448,6833,8739,10620,12937,14211,11993,11225,10143,13734,15130,15336,17704,19762,19785,20641,19672,18737,19772,22037,24569,25557,25179,26866
"    15","      Nonmetallic mineral products",2025,2356,2366,2940,3365,3219,3610,3691,4401,4521,4589,4645,5367,5222,5168,5474,5857,6298,6543,6717,6585,7240,8065,8043,8918,10061,11025,11181,11542,13393,15078,17575,19032,18525,18399,16211,19825,22751,24472,26986,25297,26527,27354,26596,24344,27521,28262,32208,34142,34582,39954
"    16","      Primary metals",5407,5866,5620,7213,9220,8288,10098,8666,11044,11700,12404,10228,11528,11611,10886,11800,12496,14321,15930,17647,17084,17245,18238,17743,18091,20677,24031,30414,27524,29566,32143,38971,43701,42445,47827,34416,30280,36370,31741,33151,33054,41132,44647,41145,37902,38957,39990,44271,48698,47149,48164
"    17","      Fabricated metal products",4588,5246,4864,6033,7501,7667,8488,7925,8697,9313,9873,9076,10049,10098,10242,11374,11931,12982,14648,16832,18072,19415,20657,19864,20322,23189,26682,28357,30077,34237,38573,43682,50009,53006,58135,54023,55422,62942,66677,67339,69658,74330,78294,79944,77736,80370,84330,94242,100115,107300,110517
"    18","      Machinery",5047,5742,5343,6057,8449,9306,9530,8810,9192,10750,10986,9626,11370,11455,11524,13079,13584,15506,17365,20264,21047,22130,23870,24755,24145,27727,31649,34281,37393,42400,49064,56171,62333,66927,74532,67420,62677,69372,69690,65095,69678,80559,88135,89288,83220,85108,86802,91417,97638,100127,102552
"    19","      Computer and electronic products",2745,2964,2827,3473,4363,4986,5476,5017,5339,6023,6734,6658,7906,8228,8555,9521,9863,10408,11952,13944,14849,15890,17138,16954,17463,19395,22066,22480,23744,27071,31624,36613,41955,50380,58087,61831,71155,85272,89833,89066,98669,108044,112007,114971,116981,121509,123988,138299,155378,165478,196320
"    20","      Electrical equipment, appliances, and components",2031,2165,2049,2601,3175,3565,4031,3701,4044,4570,4870,4686,5546,5771,5859,6435,6639,6951,7974,9225,9735,10297,10935,10629,11008,12184,13861,13915,14434,16422,19216,21497,23634,25012,27596,25065,27883,31721,33106,34104,36106,37808,41649,41960,40879,41823,43604,46791,46111,46600,47096
"    21","      Motor vehicles, bodies and trailers, and parts",4588,5264,6171,8092,8052,8582,10316,9153,12737,10457,11269,8676,11739,12566,11578,14543,16457,17190,20332,20419,19120,23422,23844,19576,25232,26585,29359,23927,25639,34845,42911,46557,44962,33994,43043,40780,52647,67477,70621,72630,71485,76503,75583,64393,64331,76624,89811,104190,104734,108312,112638
"    22","      Other transportation equipment",1716,2160,2202,2377,3887,5898,7143,6928,6873,7647,8863,8740,8774,8344,8936,10047,10898,11254,11919,14588,16007,17084,16444,15312,14439,15090,16056,17644,18738,19703,21581,24446,28474,31413,31110,44763,48689,56280,56193,61960,67408,66722,67723,70646,77628,67067,64286,53044,51654,60581,62702
"    23","      Furniture and related products",1199,1423,1391,1661,1851,1902,1923,1854,2145,2253,2254,2135,2428,2431,2405,2640,2779,3050,3443,3778,3806,4192,4597,4382,4653,5524,5969,6069,5895,6951,7867,9145,9366,10411,11045,10973,12795,14964,15838,16794,17856,18671,19660,18982,18279,20066,21745,22558,23302,25567,28024
"    24","      Miscellaneous manufacturing",1626,1774,1671,1944,2191,2293,2489,2436,2636,2782,2872,2872,3180,3216,3252,3573,3608,3842,4245,4738,4975,5505,5969,5821,6212,6985,7660,7930,8940,9850,11216,12379,13481,14403,17512,18109,18732,21170,22984,23295,24511,31598,33063,37084,38388,40729,41331,41747,43041,49463,52507
