"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    1","    Gross domestic product",8577552,9062817,9630663,10252347,10581822,10936418,11458246,12213730,13036637,13814609,14451860,14712845,14448932,14992052,15542582,16197007,16784851,17521747,18219297,18707189,19485394,20494079
"    2","Private industries",7431992,7871500,8378315,8929320,9188887,9462020,9905899,10582459,11326369,12022614,12564794,12731237,12403880,12884089,13405520,14037519,14572341,15250030,15878808,16319357,17031690,17989359
"    3","  Agriculture, forestry, fishing, and hunting",108637,99756,92590,98312,99836,95629,113953,142945,128347,125130,144062,147244,129968,146299,180945,179573,215601,200842,181220,164913,169225,164188
"    4","    Farms",88136,79030,70934,76043,78093,74033,91105,119356,104459,96264,115665,119476,103102,117629,152249,148939,184621,167940,146376,129458,132818,126721
"    5","    Forestry, fishing, and related activities",20501,20726,21656,22269,21743,21596,22848,23589,23888,28866,28397,27768,26866,28670,28696,30634,30980,32902,34844,35455,36407,37468
"    6","  Mining",95062,81692,84543,110581,123924,112417,139000,166517,225677,273322,313963,392175,275841,305838,356315,358798,386519,413005,257852,216218,268619,321119
"    7","    Oil and gas extraction",55060,39065,44060,68240,76129,69887,92898,112985,156002,178895,205883,271527,172889,188823,218094,223767,255104,275220,151805,133649,174755,218777
"    8","    Mining, except oil and gas",26501,29004,29344,28514,28059,27319,29245,33624,42878,51813,57968,61277,61570,69497,76367,66648,62141,58570,51506,49753,54228,56278
"    9","    Support activities for mining",13500,13622,11139,13827,19736,15210,16857,19909,26797,42613,50112,59371,41382,47519,61855,68383,69274,79215,54541,32816,39636,46064
"    10","  Utilities",171479,163685,179865,180122,181332,177618,184029,199216,198143,226848,231907,241686,258241,278837,287459,279651,286340,298154,299036,302715,307496,319427
"    11","  Construction",339552,379790,417600,461341,486485,493560,525240,584643,651816,697083,715327,648879,565647,525126,524431,553419,587553,636442,694934,745508,781413,839994
"    12","  Manufacturing",1382889,1430610,1488933,1550194,1473850,1468492,1524213,1608098,1693441,1793844,1844745,1800844,1702135,1797010,1867566,1927057,1991904,2047351,2123023,2085164,2179633,2334604
"    13","    Durable goods",823793,850712,874870,924786,833390,832842,863191,905121,956799,1004410,1030624,999726,880961,964324,1015190,1061711,1101963,1130721,1182708,1182021,1226648,1300598
"    14","      Wood products",26791,27513,29367,28307,27235,27265,28722,32587,34725,31682,29079,25622,21216,23303,23640,25751,30475,30941,32327,34976,38124,40407
"    15","      Nonmetallic mineral products",39766,40841,43218,42620,41294,41807,42014,45281,48842,50504,50247,44745,38866,38355,38838,42571,47110,49359,54032,57491,59548,61565
"    16","      Primary metals",48074,48958,46177,47036,40272,41679,39271,54987,56260,62690,64535,68818,41141,50878,62455,65509,62310,63806,60319,56878,59835,64518
"    17","      Fabricated metal products",110023,111691,116033,121304,110912,106091,108487,114688,122370,126792,134794,133116,117352,119889,127180,137623,141631,143539,146151,144603,151870,161962
"    18","      Machinery",102233,113780,111054,113079,105362,98930,97396,104147,114408,121896,129534,131637,118603,127197,144476,152490,158168,160473,153989,143665,150424,162475
"    19","      Computer and electronic products",195321,191746,186627,225380,173501,172901,193484,201504,211257,224098,228324,232093,223701,239821,237135,240441,244044,250387,267591,270726,281124,295801
"    20","      Electrical equipment, appliances, and components",46856,40569,44566,45670,44279,43694,45550,42070,43230,51433,50275,55474,50673,50708,48194,51991,57968,54183,62926,57604,58527,61861
"    21","      Motor vehicles, bodies and trailers, and parts",112015,123851,134713,137534,124964,135236,143151,139137,135999,134063,124937,90325,47801,88696,104195,115313,122762,132130,145599,153619,158888,169153
"    22","      Other transportation equipment",62539,66829,73806,71112,76873,72964,72566,75857,89746,96266,114200,114519,117439,120597,126822,126465,133082,138603,148649,145654,148065,157874
"    23","      Furniture and related products",27921,29655,31646,33519,31202,31242,30384,30984,33701,34533,32503,27849,22819,21835,21954,22386,24009,25724,28975,30192,31347,32574
"    24","      Miscellaneous manufacturing",52255,55280,57661,59225,57496,61032,62166,63878,66262,70453,72196,75530,81350,83045,80301,81171,80404,81575,82149,86614,88896,92409
"    25","    Nondurable goods",559097,579897,614063,625409,640460,635650,661023,702977,736642,789434,814121,801118,821175,832686,852375,865346,889941,916630,940315,903143,952985,1034005
"    26","      Food and beverage and tobacco products",135203,140007,161756,163231,174192,175591,178948,175834,178691,193853,194067,199117,237814,223168,209184,219258,227880,239476,259376,261281,269669,279209
