"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    1","    Gross domestic product",4870217,5252629,5657693,5979589,6174043,6539299,6878718,7308755,7664060,8100201,8608515
"    2","      Compensation of employees",2725666,2950907,3143851,3344977,3454749,3674097,3823991,4014144,4206739,4426235,4719086
"    3","      Taxes on production and imports less subsidies",317271,344963,371436,397998,429594,453292,466444,512727,523092,545525,577805
"    4","      Gross operating surplus",1827281,1956754,2142404,2236617,2289700,2411911,2588287,2781887,2934228,3128436,3311623
"    5","Private industries",4175653,4503891,4850471,5113378,5250519,5562544,5870850,6264713,6586148,6993550,7459395
"    6","  Compensation of employees",2186167,2371172,2518801,2668555,2734824,2909092,3035636,3197636,3366612,3562747,3823486
"    7","  Taxes on production and imports less subsidies",324034,352630,380147,407336,440057,464671,479030,526131,538944,561574,591622
"    8","  Gross operating surplus",1665454,1780084,1951520,2037491,2075638,2188782,2356187,2540948,2680591,2869225,3044286
"    9","  Agriculture, forestry, fishing, and hunting",79355,78733,91757,96152,88006,98669,90517,105345,90656,113576,108796
"    10","    Compensation of employees",15927,17896,18943,21371,21116,21520,23146,23731,24772,25273,26613
"    11","    Taxes on production and imports less subsidies",-9801,-7946,-5277,-3293,-2442,-2963,-6807,-1789,-1101,-1123,-1085
"    12","    Gross operating surplus",73231,68783,78090,78076,69334,80112,74178,83402,66985,89426,83267
"    13","    Farms",62043,61386,73945,77781,70372,79858,71272,83594,68402,92639,88136
"    14","      Compensation of employees",9412,10576,11409,13435,13236,13008,14191,14435,15484,16028,17143
"    15","      Taxes on production and imports less subsidies",-10228,-8416,-5802,-3871,-3057,-3650,-7511,-2596,-1923,-1976,-1922
"    16","      Gross operating surplus",62860,59226,68337,68218,60194,70500,64592,71754,54842,78587,72914
"    17","    Forestry, fishing, and related activities",17312,17347,17812,18372,17635,18811,19245,21750,22254,20937,20660
"    18","      Compensation of employees",6515,7320,7534,7936,7880,8512,8955,9296,9288,9245,9470
"    19","      Taxes on production and imports less subsidies",427,470,525,578,615,687,704,807,822,853,837
"    20","      Gross operating surplus",10371,9557,9753,9858,9139,9612,9586,11648,12143,10839,10353
"    21","  Mining",73325,74243,78793,88520,79546,73602,74595,76344,76930,90710,95144
"    22","    Compensation of employees",29652,29911,30136,32338,32463,31520,31237,31219,30803,32504,35121
"    23","    Taxes on production and imports less subsidies",8875,9105,9617,10857,10822,10678,10286,10627,10375,11297,12398
"    24","    Gross operating surplus",34799,35228,39040,45325,36261,31406,33072,34499,35752,46909,47625
"    25","    Oil and gas extraction",47708,42982,47801,55734,46040,42324,43289,42061,42756,55112,55158
"    26","      Compensation of employees",12699,11856,12258,13115,12930,13343,12672,12175,11596,12681,12295
"    27","      Taxes on production and imports less subsidies",6454,6462,6904,7919,7882,7762,7444,7501,7277,8009,8865
"    28","      Gross operating surplus",28555,24663,28638,34700,25228,21220,23173,22385,23884,34422,33998
"    29","    Mining, except oil and gas",18779,22760,23093,23645,23770,23632,22285,25388,25234,25869,26485
"    30","      Compensation of employees",12034,11896,12300,12950,12352,12270,11843,12442,12705,13226,13837
"    31","      Taxes on production and imports less subsidies",2156,2291,2379,2555,2511,2570,2442,2708,2689,2870,2893
"    32","      Gross operating surplus",4588,8572,8414,8140,8907,8792,7999,10239,9840,9773,9755
"    33","    Support activities for mining",6839,8502,7899,9141,9735,7646,9021,8895,8940,9729,13501
"    34","      Compensation of employees",4918,6158,5578,6273,7181,5907,6722,6602,6503,6597,8989
"    35","      Taxes on production and imports less subsidies",265,352,334,383,429,346,400,418,409,418,640
"    36","      Gross operating surplus",1656,1993,1987,2485,2126,1393,1899,1875,2029,2713,3872
"    37","  Utilities",126279,125746,138936,146100,154296,160525,164969,172591,176127,174634,172141
