"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 01, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    1","    Gross domestic product",8577552,9062817,9630663,10252347,10581822,10936418,11458246,12213730,13036637,13814609,14451860,14712845,14448932,14992052,15542582,16197007,16784851,17521747,18219297,18707189,19485394
"    2","      Compensation of employees",4713220,5075701,5409932,5854629,6046343,6143368,6362296,6729301,7077721,7491255,7889369,8068679,7767191,7932969,8234013,8575371,8843638,9258633,9707911,9968922,10420585
"    3","      Taxes on production and imports less subsidies",577806,603105,628376,662716,668980,718634,756559,821712,881527,945573,982245,997183,968471,1007266,1043716,1078078,1128943,1182806,1212638,1241900,1285876
"    4","      Gross operating surplus",3286531,3384012,3592352,3734996,3866496,4074414,4339386,4662712,5077391,5377778,5580241,5646978,5713270,6051817,6264848,6543558,6812271,7080309,7298749,7496370,7778933
"    5","Private industries",7431992,7871500,8378315,8929320,9188887,9462020,9905899,10582459,11326369,12022614,12564794,12731237,12403880,12884089,13405520,14037519,14572341,15250030,15878808,16319357,17031690
"    6","  Compensation of employees",3823491,4146922,4429108,4811255,4934296,4957994,5106613,5406295,5694361,6047084,6369772,6475495,6126326,6241287,6531991,6871566,7095280,7467050,7859366,8079912,8478269
"    7","  Taxes on production and imports less subsidies",591621,615012,640408,674236,681556,733345,772152,838249,898499,963071,1000932,1017569,990980,1028051,1066437,1100596,1153513,1207961,1237082,1267719,1311092
"    8","  Gross operating surplus",3016880,3109566,3308799,3443829,3573036,3770681,4027133,4337914,4733509,5012459,5194091,5238172,5286574,5614751,5807092,6065356,6323549,6575019,6782360,6971726,7242329
"    9","  Agriculture, forestry, fishing, and hunting",108637,99756,92590,98312,99836,95629,113953,142945,128347,125130,144062,147244,129968,146299,180945,179573,215601,200842,181220,164913,169225
"    10","    Compensation of employees",26612,27848,29474,30202,31309,31636,31645,34943,34647,37996,41802,42138,42318,41360,41180,48063,48866,50962,50901,53755,55296
"    11","    Taxes on production and imports less subsidies",-1100,-5547,-13008,-14467,-14526,-5068,-8046,-4846,-14520,-6468,-2561,-1577,-1814,-1531,716,1079,1344,3544,1716,-1094,1141
"    12","    Gross operating surplus",83125,77455,76125,82577,83053,69061,90354,112848,108220,93603,104821,106683,89463,106469,139049,130431,165390,146336,128603,112252,112788
"    13","    Farms",88136,79030,70934,76043,78093,74033,91105,119356,104459,96264,115665,119476,103102,117629,152249,148939,184621,167940,146376,129458,132818
