"Table 1.1.6. Real Gross Domestic Product, Chained Dollars"
"[Billions of chained (2012) dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Gross domestic product",1109.4,1015.1,950.0,827.5,817.3,905.6,986.2,1113.3,1170.3,1131.6,1222.4,1330.2,1565.8,1861.5,2178.4,2351.6,2328.6,2058.4,2034.8,2118.5,2106.6,2289.5,2473.8,2574.9,2695.6,2680.0,2871.2,2932.4,2994.1,2972.0,3178.2,3260.0,3343.5,3548.4,3702.9,3916.3,4170.8,4445.9,4567.8,4792.3,4942.1,4951.3,5114.3,5383.3,5687.2,5656.5,5644.8,5949.0,6224.1,6568.6,6776.6,6759.2,6930.7,6805.8,7117.7,7632.8,7951.1,8226.4,8511.0,8866.5,9192.1,9365.5,9355.4,9684.9,9951.5,10352.4,10630.3,11031.4,11521.9,12038.3,12610.5,13131.0,13262.1,13493.1,13879.1,14406.4,14912.5,15338.3,15626.0,15604.7,15208.8,15598.8,15840.7,16197.0,16495.4,16899.8,17386.7,17659.2,18050.7,18571.3
"2","Personal consumption expenditures",830.8,786.3,761.8,693.6,678.3,726.7,770.8,849.2,880.6,866.6,915.0,962.4,1030.5,1006.0,1034.1,1063.5,1129.2,1268.8,1293.1,1322.3,1359.1,1446.4,1469.0,1515.4,1587.2,1620.4,1740.0,1790.8,1835.2,1851.1,1956.7,2010.4,2051.6,2153.1,2241.9,2375.3,2526.0,2669.3,2749.1,2907.5,3015.9,3086.9,3204.8,3401.0,3569.4,3539.5,3619.7,3821.5,3983.0,4157.3,4256.1,4242.8,4301.6,4364.6,4611.7,4854.3,5105.6,5316.4,5496.9,5726.5,5893.5,6012.2,6023.0,6244.7,6462.2,6712.6,6910.7,7150.5,7419.7,7813.8,8225.4,8643.4,8861.1,9088.7,9377.5,9729.3,10075.9,10384.5,10615.3,10592.8,10460.0,10643.0,10843.8,11006.8,11166.9,11494.3,11921.9,12248.2,12558.7,12890.6
"3","    Goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2947.6,3092.0,3250.0,3384.7,3509.7,3607.6,3498.9,3389.8,3485.7,3561.8,3637.7,3752.2,3902.9,4087.7,4236.1,4391.9,4557.3
"4","        Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",820.2,879.3,952.1,1004.9,1049.3,1099.7,1036.4,973.0,1027.3,1079.7,1144.2,1214.1,1301.0,1399.4,1476.8,1577.9,1667.4
"5","        Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2157.5,2233.6,2306.5,2383.4,2461.6,2503.4,2463.9,2423.1,2461.3,2482.9,2493.5,2538.5,2603.7,2691.7,2763.9,2822.0,2901.0
"6","    Services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",6151.1,6289.4,6479.2,6689.5,6871.7,7003.6,7093.0,7070.1,7157.4,7282.1,7369.1,7415.5,7594.0,7840.0,8022.5,8184.5,8359.3
"7","Gross private domestic investment",120.4,82.0,53.3,19.7,26.6,44.0,76.5,96.8,119.2,82.0,103.1,140.4,171.9,95.7,59.7,71.3,91.7,220.3,212.1,267.3,206.7,287.9,288.6,265.0,279.9,268.9,331.1,330.2,317.8,294.8,351.4,352.7,353.8,395.9,422.8,456.1,519.2,565.9,546.1,578.7,610.9,573.8,632.9,704.2,781.3,729.5,611.4,728.0,831.9,928.1,960.7,864.0,940.1,822.0,898.7,1144.0,1143.2,1145.0,1177.6,1206.6,1255.4,1223.0,1142.1,1225.3,1323.3,1479.8,1527.3,1660.8,1850.2,2026.3,2198.7,2346.7,2214.6,2195.5,2290.4,2502.6,2670.6,2752.4,2684.1,2462.9,1942.0,2216.5,2362.1,2621.8,2801.5,2951.6,3092.2,3050.5,3196.6,3387.2
"8","    Fixed investment","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",2183.4,2280.6,2440.7,2618.7,2686.8,2653.5,2499.4,2099.8,2164.2,2317.8,2550.5,2692.1,2861.5,2958.5,3009.8,3155.1,3322.4
"9","        Nonresidential","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1472.7,1509.4,1594.0,1716.4,1854.2,1982.1,1994.2,1704.3,1781.0,1935.4,2118.5,2206.0,2357.4,2399.7,2411.2,2538.1,2714.8
