"Table 1.12. National Income by Type of Income"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        National income",94.2,83.1,67.7,51.3,48.9,58.3,66.3,75.1,83.7,77.0,82.4,91.5,117.3,152.4,187.2,200.9,201.3,201.3,218.7,244.8,239.7,266.6,307.6,326.1,343.8,343.8,376.9,400.1,418.5,420.8,458.8,478.9,496.0,533.9,565.4,607.0,658.8,718.1,758.4,830.2,897.2,937.5,1014.0,1119.5,1253.2,1346.4,1446.0,1609.4,1792.8,2022.7,2240.3,2418.6,2714.7,2834.5,3051.5,3433.9,3669.9,3831.2,4098.5,4471.6,4760.1,5013.8,5164.4,5475.2,5730.3,6114.6,6452.3,6870.6,7349.9,7825.7,8290.4,8872.6,9144.2,9396.4,9811.2,10492.2,11198.7,11948.8,12290.4,12325.8,12027.2,12735.8,13357.7,14094.7,14494.7,15245.5,15783.0,16058.9,16756.1,"---"
"2","Compensation of employees",51.4,47.2,40.1,31.3,29.8,34.6,37.7,43.3,48.3,45.4,48.6,52.7,66.2,88.0,112.7,124.3,126.3,122.5,132.4,144.3,144.3,158.3,185.7,201.1,215.2,214.1,230.6,249.3,262.6,264.7,285.8,301.3,310.4,332.2,350.4,376.0,405.4,449.2,481.8,530.8,584.5,623.3,665.0,731.3,812.7,887.7,947.2,1048.3,1165.8,1316.8,1477.2,1622.2,1792.5,1893.0,2012.5,2215.9,2387.3,2542.1,2722.4,2948.0,3139.6,3340.4,3450.5,3668.2,3817.3,4006.2,4198.1,4416.9,4708.8,5071.1,5402.8,5848.1,6039.1,6135.6,6354.1,6720.1,7066.6,7479.9,7878.9,8057.0,7758.5,7924.9,8225.9,8566.7,8834.2,9248.1,9696.8,9956.2,10407.2,10855.7
"3","    Wages and salaries",50.5,46.2,39.2,30.5,29.0,33.7,36.7,42.0,46.1,43.0,46.0,49.9,62.1,82.1,105.8,116.7,117.5,112.0,123.1,135.6,134.7,147.3,171.6,185.6,199.0,197.3,212.2,229.0,240.0,241.3,259.8,272.9,280.5,299.4,314.9,337.8,363.8,400.3,429.0,472.0,518.3,551.6,584.5,638.8,708.8,772.3,814.8,899.7,994.2,1120.6,1253.3,1373.4,1511.4,1587.5,1677.5,1844.9,1982.6,2102.3,2256.3,2439.8,2583.1,2741.2,2814.5,2965.5,3079.3,3236.6,3418.0,3616.5,3876.8,4181.6,4458.0,4825.9,4954.4,4996.3,5138.7,5421.6,5691.9,6057.0,6396.8,6534.2,6248.6,6372.1,6625.9,6927.5,7113.2,7473.2,7854.4,8080.7,8453.8,8834.7
"4","        Government",5.0,5.2,5.3,5.0,5.2,6.1,6.5,7.9,7.5,8.3,8.2,8.5,10.2,16.0,26.6,33.0,34.9,20.7,17.5,19.0,20.8,22.6,29.2,33.4,34.3,34.9,36.6,38.8,41.0,44.1,46.1,49.2,52.5,56.3,60.0,64.9,69.9,78.4,86.5,96.7,105.6,117.2,126.8,137.9,148.8,160.5,176.2,188.9,202.6,220.0,237.1,261.5,285.8,307.5,324.8,348.1,373.9,397.2,423.1,452.0,481.1,519.0,548.8,572.0,589.0,609.5,629.0,648.1,671.9,701.3,733.8,779.8,822.0,872.9,914.0,952.3,991.3,1034.5,1088.5,1143.9,1175.2,1191.2,1194.9,1198.3,1208.0,1236.9,1275.8,1307.7,1345.7,1378.6
"5","        Other",45.5,41.0,33.9,25.5,23.9,27.6,30.2,34.1,38.6,34.8,37.7,41.4,51.9,66.1,79.2,83.8,82.6,91.3,105.6,116.5,113.9,124.6,142.4,152.3,164.7,162.4,175.6,190.2,198.9,197.2,213.8,223.7,228.0,243.0,254.8,272.9,293.8,321.9,342.5,375.3,412.7,434.3,457.8,500.9,560.0,611.8,638.6,710.8,791.6,900.6,1016.2,1112.0,1225.5,1280.0,1352.7,1496.8,1608.7,1705.1,1833.2,1987.7,2101.9,2222.2,2265.7,2393.5,2490.3,2627.1,2789.0,2968.4,3205.0,3480.3,3724.2,4046.1,4132.4,4123.4,4224.8,4469.2,4700.6,5022.4,5308.2,5390.4,5073.4,5180.9,5431.1,5729.2,5905.2,6236.3,6578.7,6773.0,7108.1,7456.2
"6","    Supplements to wages and salaries",0.9,1.0,0.9,0.8,0.8,0.8,0.9,1.3,2.2,2.4,2.6,2.9,4.1,5.9,6.9,7.6,8.8,10.5,9.3,8.8,9.6,11.0,14.1,15.5,16.3,16.9,18.4,20.2,22.6,23.4,26.0,28.4,29.9,32.8,35.6,38.2,41.7,48.9,52.8,58.8,66.1,71.8,80.4,92.5,103.9,115.4,132.4,148.6,171.7,196.2,223.9,248.8,281.2,305.5,335.0,371.0,404.8,439.7,466.1,508.2,556.6,599.2,636.0,702.7,737.9,769.6,780.1,800.5,832.0,889.5,944.8,1022.2,1084.7,1139.3,1215.3,1298.5,1374.7,1422.9,1482.1,1522.7,1509.9,1552.9,1600.0,1639.2,1721.0,1774.8,1842.4,1875.6,1953.4,2021.0
"7","        Employer contributions for employee pension and insurance funds1",0.9,0.9,0.9,0.8,0.8,0.8,0.9,1.1,1.1,1.2,1.3,1.5,2.4,3.9,4.6,5.0,5.3,5.4,5.3,5.8,6.3,7.6,10.0,11.3,12.0,12.3,13.2,14.6,16.3,17.0,18.1,19.2,20.3,21.7,23.2,25.6,28.6,32.1,34.8,38.8,43.4,47.9,54.0,61.4,64.1,70.7,85.7,94.2,110.6,124.7,141.3,159.9,177.5,195.7,215.1,231.9,257.0,281.9,299.9,323.6,362.9,392.7,420.9,474.3,498.3,515.5,515.9,525.7,542.4,582.3,621.4,677.0,726.7,773.2,832.8,889.7,946.7,975.6,1020.4,1051.3,1051.8,1083.9,1107.3,1125.9,1194.7,1228.1,1272.8,1294.2,1348.1,1389.8
"8","        Employer contributions for government social insurance",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.0,1.2,1.3,1.4,1.7,2.0,2.3,2.5,3.5,5.1,3.9,3.0,3.3,3.4,4.1,4.1,4.2,4.6,5.2,5.7,6.4,6.3,7.9,9.3,9.6,11.2,12.4,12.6,13.1,16.8,18.0,20.0,22.8,23.8,26.4,31.2,39.8,44.7,46.7,54.4,61.1,71.5,82.6,88.9,103.6,109.8,119.9,139.0,147.7,157.9,166.3,184.6,193.7,206.5,215.1,228.4,239.7,254.1,264.1,274.8,289.6,307.2,323.3,345.2,358.0,366.0,382.5,408.8,428.1,447.3,461.7,471.4,458.1,469.0,492.7,513.3,526.3,546.7,569.7,581.4,605.3,631.2
"9","Proprietors' income with IVA and CCAdj",14.0,10.9,8.3,5.0,5.3,7.0,10.1,10.4,12.5,10.6,11.1,12.2,16.7,23.3,28.2,29.3,30.8,35.7,34.6,39.3,34.7,37.5,42.6,43.0,42.0,42.3,44.3,45.8,47.8,50.2,50.3,50.6,53.2,55.2,56.4,59.1,63.7,67.9,69.5,73.8,77.0,77.8,83.9,95.1,112.5,112.2,118.2,131.0,144.5,166.0,179.4,171.6,179.7,171.2,186.3,228.2,241.1,256.5,286.5,325.5,341.1,353.2,354.2,400.2,428.0,456.6,481.2,543.8,584.0,640.2,696.4,753.9,831.0,869.8,896.9,962.0,978.0,1049.6,994.0,960.9,938.5,1108.7,1229.3,1347.3,1403.6,1447.6,1421.9,1419.3,1500.9,1579.8
