"Table 1.7.5. Relation of Gross Domestic Product, Gross National Product, Net National Product, National Income, and Personal Income"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","Gross domestic product (GDP)",104.6,92.2,77.4,59.5,57.2,66.8,74.2,84.8,93.0,87.4,93.4,102.9,129.3,166.0,203.1,224.4,228.0,227.5,249.6,274.5,272.5,299.8,346.9,367.3,389.2,390.5,425.5,449.4,474.0,481.2,521.7,542.4,562.2,603.9,637.5,684.5,742.3,813.4,860.0,940.7,1017.6,1073.3,1164.9,1279.1,1425.4,1545.2,1684.9,1873.4,2081.8,2351.6,2627.3,2857.3,3207.0,3343.8,3634.0,4037.6,4339.0,4579.6,4855.2,5236.4,5641.6,5963.1,6158.1,6520.3,6858.6,7287.2,7639.7,8073.1,8577.6,9062.8,9630.7,10252.3,10581.8,10936.4,11458.2,12213.7,13036.6,13814.6,14451.9,14712.8,14448.9,14992.1,15542.6,16197.0,16784.9,17521.7,18219.3,18707.2,19485.4,20500.6
"2","Plus: Income receipts from the rest of the world",1.1,1.0,0.8,0.5,0.4,0.4,0.5,0.6,0.7,0.6,0.7,0.6,0.7,0.7,0.7,0.8,0.8,1.1,1.6,2.0,1.9,2.2,2.8,2.9,2.8,3.0,3.5,3.9,4.3,3.9,4.3,4.9,5.3,5.9,6.5,7.2,7.9,8.1,8.7,10.1,11.8,12.8,14.0,16.3,23.5,29.8,28.0,32.4,37.2,46.3,68.3,79.1,92.0,101.0,101.9,121.9,112.7,111.3,123.3,152.1,177.7,188.8,168.4,152.1,155.6,184.5,229.8,246.4,280.1,286.8,320.2,380.6,324.1,314.8,353.8,446.9,566.0,712.0,866.6,848.8,647.8,715.2,789.2,799.7,823.4,854.2,839.3,859.1,957.1,"---"
"3","Less: Income payments to the rest of the world",0.4,0.3,0.3,0.2,0.1,0.2,0.2,0.3,0.4,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.4,0.5,0.6,0.7,0.7,0.9,0.9,0.9,0.9,1.1,1.1,1.2,1.2,1.5,1.8,1.8,1.8,2.1,2.3,2.6,3.0,3.3,4.0,5.7,6.4,6.4,7.7,10.9,14.3,15.0,15.5,16.9,24.7,36.4,44.9,59.1,64.5,64.8,85.6,87.3,94.4,105.8,129.5,152.9,154.2,136.8,121.0,124.4,161.6,201.9,215.5,256.8,269.4,294.7,345.6,275.3,269.6,295.4,368.8,488.1,661.5,757.6,694.2,505.8,519.5,552.8,567.4,592.7,612.5,613.1,643.8,713.4,"---"
"4","Equals: Gross national product",105.3,92.9,77.9,59.9,57.5,67.1,74.6,85.1,93.4,87.7,93.8,103.2,129.7,166.4,203.4,224.8,228.3,228.2,250.7,275.9,273.8,301.3,348.8,369.3,391.1,392.6,427.9,452.1,477.1,483.9,524.4,545.5,565.7,608.0,641.9,689.4,747.6,818.5,865.4,946.7,1023.7,1079.7,1172.4,1287.7,1438.0,1560.8,1697.9,1890.3,2102.1,2373.2,2659.3,2891.5,3240.0,3380.3,3671.1,4073.9,4364.3,4596.6,4872.7,5259.1,5666.4,5997.8,6189.7,6551.4,6889.7,7310.2,7667.7,8104.0,8600.9,9080.2,9656.2,10287.4,10630.6,10981.7,11516.6,12291.9,13114.6,13865.1,14560.9,14867.5,14590.9,15187.8,15779.0,16429.3,17015.6,17763.4,18445.5,18922.5,19729.1,"---"
"5","Less: Consumption of fixed capital",10.4,10.2,9.5,8.3,8.0,8.4,8.5,8.8,9.8,10.0,10.1,10.6,12.1,14.9,18.0,21.3,23.1,25.7,29.1,31.3,32.3,33.4,37.7,40.6,43.5,46.0,48.9,54.1,58.9,62.5,65.4,67.9,70.6,74.1,78.0,82.4,88.0,95.3,103.6,113.4,124.9,136.8,148.9,161.0,178.7,206.9,238.5,260.2,289.8,327.2,373.9,428.4,487.2,537.0,562.6,598.4,640.1,685.3,730.4,784.5,838.3,888.5,932.4,960.2,1003.5,1055.6,1122.4,1175.3,1239.3,1309.7,1398.9,1511.2,1599.5,1658.0,1719.1,1821.8,1971.0,2124.1,2252.8,2358.8,2371.5,2390.9,2474.5,2576.0,2681.2,2817.0,2917.5,2990.5,3116.2,3274.0
"6","    Private",9.4,9.2,8.6,7.5,7.0,7.3,7.3,7.5,8.4,8.6,8.6,9.0,10.0,11.2,11.5,12.0,12.5,14.2,17.7,20.8,22.6,24.3,27.7,29.5,31.3,33.0,35.0,38.8,42.3,44.9,46.8,48.2,49.8,51.8,54.2,57.3,61.6,67.2,73.3,80.6,89.4,98.3,107.6,117.5,131.5,153.2,178.8,196.5,221.1,252.1,290.7,335.0,381.9,420.4,438.8,463.5,496.4,531.6,566.3,607.9,649.6,688.4,721.5,742.9,778.2,822.5,880.7,929.1,987.8,1052.2,1132.2,1231.5,1311.7,1361.8,1411.9,1497.1,1622.6,1751.8,1852.5,1931.8,1928.7,1933.8,1997.3,2082.4,2176.6,2300.6,2395.3,2463.5,2574.6,2712.7
"7","        Domestic business",8.1,7.9,7.4,6.5,6.1,6.2,6.3,6.4,7.2,7.3,7.3,7.6,8.5,9.6,9.8,10.2,10.5,11.9,14.8,17.4,18.9,20.4,23.2,24.6,26.1,27.4,28.9,32.2,35.2,37.5,39.0,40.0,41.3,42.9,44.9,47.4,50.9,55.6,60.9,67.0,74.2,81.8,89.4,97.2,108.2,126.1,147.9,162.2,181.5,205.5,236.4,272.8,313.5,347.5,362.8,382.7,410.3,438.1,464.5,499.2,532.6,564.6,592.3,608.2,634.2,669.0,717.8,758.5,807.9,860.1,924.0,1004.6,1064.9,1098.8,1125.4,1178.8,1266.4,1362.6,1446.7,1524.9,1531.2,1537.1,1595.1,1670.4,1738.8,1832.1,1908.6,1953.7,2035.5,2139.7
"8","            Capital consumption allowances",6.6,6.7,6.6,6.1,5.8,5.7,5.7,5.9,6.0,6.2,6.3,6.5,7.2,8.3,8.9,9.8,10.3,9.0,11.1,13.1,15.0,16.6,18.8,20.7,23.1,25.3,28.3,30.8,33.5,35.3,37.5,39.7,41.7,46.6,49.9,53.2,57.0,61.9,66.9,72.5,79.7,85.9,92.3,102.3,111.9,123.9,135.9,147.4,167.0,189.4,216.1,245.8,301.2,343.1,385.6,435.6,493.5,512.0,533.1,563.7,589.5,596.0,611.6,628.4,658.9,701.6,753.9,808.3,877.0,941.4,1023.8,1096.1,1180.1,1283.9,1303.5,1332.0,1169.5,1245.1,1326.8,1584.1,1562.1,1605.9,1831.3,1665.9,1753.6,1866.1,1981.1,2084.9,2252.6,2589.5
"9","            Less: Capital consumption adjustment",-1.5,-1.3,-0.8,-0.4,-0.3,-0.6,-0.6,-0.6,-1.1,-1.2,-1.0,-1.1,-1.3,-1.3,-0.9,-0.3,-0.2,-3.0,-3.7,-4.3,-3.9,-3.8,-4.3,-3.9,-3.0,-2.1,-0.6,-1.3,-1.7,-2.3,-1.5,-0.3,0.4,3.6,5.0,5.8,6.1,6.2,6.0,5.6,5.5,4.1,2.9,5.2,3.7,-2.2,-12.0,-14.8,-14.5,-16.2,-20.2,-26.9,-12.3,-4.4,22.8,52.9,83.2,73.9,68.6,64.5,56.9,31.4,19.3,20.2,24.7,32.6,36.1,49.8,69.2,81.3,99.8,91.5,115.2,185.1,178.1,153.2,-97.0,-117.4,-119.8,59.3,30.9,68.8,236.2,-4.5,14.8,34.0,72.4,131.2,217.1,449.8
