"Table 2.3.3. Real Personal Consumption Expenditures by Major Type of Product, Quantity Indexes"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Personal consumption expenditures (PCE)",7.548,7.144,6.921,6.301,6.162,6.602,7.003,7.716,8.001,7.873,8.313,8.744,9.362,9.140,9.395,9.662,10.259,11.528,11.748,12.014,12.348,13.141,13.346,13.768,14.421,14.722,15.808,16.270,16.673,16.818,17.777,18.265,18.640,19.561,20.369,21.581,22.950,24.251,24.976,26.415,27.400,28.045,29.116,30.899,32.429,32.157,32.886,34.719,36.186,37.770,38.668,38.547,39.082,39.654,41.899,44.103,46.386,48.301,49.941,52.027,53.544,54.622,54.721,56.735,58.711,60.986,62.785,64.964,67.410,70.990,74.730,78.527,80.505,82.573,85.197,88.394,91.542,94.347,96.443,96.239,95.032,96.694,98.519,100.000,101.454,104.429,108.314,111.279,114.099,117.115
"2","Goods",8.084,7.445,7.175,6.337,6.291,6.866,7.425,8.411,8.661,8.470,9.058,9.620,10.380,9.579,9.485,9.556,10.208,12.097,12.448,12.700,13.083,14.098,13.929,14.243,14.981,15.142,16.536,16.785,17.073,16.898,17.961,18.276,18.392,19.338,20.111,21.309,22.819,24.266,24.741,26.272,27.075,27.289,28.431,30.290,31.859,30.697,30.905,33.069,34.501,35.927,36.502,35.578,35.998,36.249,38.556,41.334,43.508,45.942,46.769,48.506,49.730,50.039,49.046,50.591,52.693,55.472,57.129,59.687,62.524,66.703,71.976,75.702,77.995,81.029,84.997,89.342,93.044,96.480,99.172,96.184,93.184,95.821,97.913,100.000,103.147,107.289,112.370,116.448,120.730,125.278
"3","    Durable goods",2.679,2.218,1.916,1.457,1.419,1.624,1.965,2.401,2.526,2.094,2.481,2.840,3.276,2.080,1.867,1.721,1.912,3.453,4.051,4.316,4.667,5.659,5.188,5.075,5.668,5.644,6.847,6.592,6.652,6.145,6.869,7.008,6.773,7.546,8.241,9.010,10.127,10.968,11.131,12.367,12.830,12.490,13.745,15.452,17.068,15.974,16.012,18.007,19.621,20.651,20.546,18.910,19.099,19.067,21.790,24.902,27.393,30.021,30.607,32.360,33.070,32.927,31.153,32.942,35.411,38.235,39.744,42.711,46.197,51.777,58.419,63.440,66.760,71.679,76.847,83.213,87.825,91.707,96.105,90.581,85.037,89.783,94.359,100.000,106.106,113.698,122.303,129.067,137.902,145.723
"4","        Motor vehicles and parts",7.441,5.177,4.039,2.583,3.078,3.830,5.306,6.552,6.659,4.307,5.868,7.394,8.405,1.347,1.383,1.279,1.583,5.337,7.737,8.742,11.206,14.490,12.226,11.009,13.688,13.054,17.873,15.212,15.923,13.184,15.711,16.686,15.016,17.831,20.057,21.171,24.525,24.927,24.324,28.131,29.160,26.106,31.171,35.503,38.916,32.483,32.310,38.869,42.985,44.922,42.242,36.822,37.653,38.654,46.082,53.637,60.569,64.993,62.369,65.983,65.851,64.801,57.076,61.764,65.203,69.278,68.202,71.509,76.343,84.325,92.084,95.015,99.871,105.126,108.226,111.217,109.707,105.636,107.732,94.060,87.408,90.771,93.326,100.000,104.707,110.886,118.857,122.665,127.890,130.685
"5","        Furnishings and durable household equipment",5.553,4.593,4.476,3.698,3.469,3.767,4.271,5.274,5.456,4.933,5.523,6.053,7.019,5.819,4.601,4.076,4.421,7.476,8.691,9.197,8.994,10.366,9.857,9.817,10.115,10.115,11.399,11.955,11.727,11.581,12.334,12.152,12.227,12.912,13.759,15.319,16.322,17.741,18.145,19.236,19.640,19.614,20.492,22.620,25.024,24.925,23.625,25.075,27.353,28.792,29.972,28.820,28.267,27.013,29.324,32.265,33.994,36.780,38.337,39.737,41.763,41.192,40.229,41.600,43.737,46.070,48.189,50.277,52.632,56.972,63.577,69.709,73.253,78.602,84.206,92.201,98.331,103.329,104.126,97.765,88.467,93.444,97.229,100.000,105.844,114.004,122.779,131.816,141.932,150.421
"6","        Recreational goods and vehicles",0.156,0.165,0.136,0.100,0.088,0.099,0.111,0.141,0.161,0.149,0.174,0.192,0.228,0.205,0.170,0.160,0.183,0.369,0.374,0.369,0.371,0.475,0.465,0.506,0.558,0.600,0.676,0.713,0.697,0.693,0.772,0.767,0.797,0.850,0.928,1.089,1.270,1.564,1.719,1.904,2.031,2.173,2.247,2.606,2.880,2.893,3.099,3.371,3.619,3.861,4.063,3.904,4.009,4.029,4.664,5.472,6.081,7.038,7.883,8.632,9.004,9.222,9.531,10.133,11.691,13.571,15.517,17.919,20.706,24.781,29.921,34.934,38.151,42.502,48.093,55.530,63.157,71.602,79.892,81.294,78.345,84.474,92.371,100.000,108.877,117.468,126.868,138.664,152.702,165.856
"7","        Other durable goods",3.273,3.020,2.378,1.961,1.607,1.846,2.098,2.294,2.656,2.669,2.850,3.033,3.487,3.760,4.516,4.428,4.860,5.745,5.408,5.517,5.386,5.638,5.823,6.252,6.426,6.674,7.116,7.446,7.508,7.589,7.833,7.889,8.049,8.793,9.108,9.894,10.911,12.550,12.661,13.897,14.440,15.141,15.834,16.697,18.966,19.902,21.056,23.185,24.506,25.847,25.511,23.333,23.682,23.724,25.855,28.795,30.952,34.486,35.726,36.925,37.394,37.587,35.953,36.682,38.530,40.296,41.237,43.977,46.178,50.714,56.766,61.810,60.482,64.363,70.674,77.144,83.112,89.652,94.540,91.206,87.986,92.392,96.095,100.000,104.884,113.237,121.757,124.319,131.901,142.737
"8","    Nondurable goods",13.535,12.829,12.692,11.573,11.532,12.473,13.187,14.693,15.054,15.272,15.970,16.652,17.651,17.698,17.809,18.182,19.309,21.053,20.929,21.086,21.399,22.113,22.449,23.293,24.016,24.398,25.664,26.567,27.098,27.459,28.694,29.171,29.760,30.676,31.337,32.808,34.461,36.376,37.157,38.730,39.801,40.686,41.448,43.126,44.365,43.285,43.657,45.732,46.774,48.463,49.713,49.629,50.252,50.773,52.426,54.596,56.245,58.247,59.248,60.806,62.449,63.177,62.992,64.216,65.849,68.416,70.110,72.136,74.243,77.004,80.922,83.504,84.958,86.526,89.574,92.500,95.583,98.719,100.396,98.813,97.177,98.707,99.575,100.000,101.803,104.417,107.949,110.845,113.171,116.343
"9","        Food and beverages purchased for off-premises consumption",20.247,19.748,19.648,18.229,19.052,20.907,21.975,24.979,25.670,26.227,26.572,27.685,28.592,28.453,27.709,28.908,30.468,34.145,34.152,33.878,34.057,34.783,34.967,35.923,37.292,38.297,40.146,41.481,42.469,42.645,44.410,44.727,45.350,45.651,46.025,47.593,49.975,51.926,53.113,55.468,56.997,58.591,59.288,60.471,59.418,58.219,59.269,62.176,63.095,62.820,63.694,64.350,64.132,65.376,67.028,68.376,70.394,71.831,71.372,73.258,74.172,75.708,75.613,75.319,75.934,78.050,78.452,79.240,79.930,81.043,84.333,86.406,87.596,87.983,90.032,92.116,95.631,98.560,99.881,98.202,97.534,98.996,99.148,100.000,101.103,103.065,104.571,108.339,110.959,114.441
