"Table 3.9.5. Government Consumption Expenditures and Gross Investment"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Government consumption expenditures and gross investment",9.6,10.3,10.2,8.9,8.9,10.7,11.2,13.4,13.1,14.2,15.2,15.6,27.8,65.4,98.0,108.6,96.4,43.0,39.8,43.8,49.8,50.5,73.3,89.6,96.8,92.5,93.0,98.2,107.2,114.1,118.5,120.5,129.2,140.3,147.2,154.8,164.1,185.4,207.0,225.5,239.0,252.6,267.5,286.2,304.8,341.4,381.1,404.2,434.3,476.3,524.8,589.6,654.4,711.5,766.6,827.9,910.5,976.1,1031.5,1078.9,1151.9,1238.6,1299.0,1344.5,1364.9,1402.3,1449.4,1492.8,1547.1,1611.6,1720.4,1826.8,1949.3,2088.7,2211.2,2338.9,2476.0,2624.2,2790.8,2982.0,3073.5,3154.6,3148.4,3137.0,3132.4,3167.0,3234.2,3291.0,3374.4,3522.5
"2","            Consumption expenditures1",6.7,7.0,7.1,6.7,6.8,8.1,8.3,9.2,9.2,9.9,10.6,11.1,17.0,36.5,58.1,70.5,71.1,38.3,34.1,35.3,38.5,39.1,53.7,65.0,70.1,67.1,68.6,71.0,76.9,81.5,82.6,84.5,89.3,97.7,102.8,108.4,116.2,131.9,149.3,166.3,179.4,192.8,209.0,225.5,239.1,265.2,296.7,314.5,341.2,370.8,404.7,453.7,507.0,554.5,595.4,634.7,690.6,738.0,776.9,820.5,881.4,948.2,1004.9,1048.4,1073.0,1108.1,1141.7,1172.9,1220.5,1267.6,1351.9,1438.0,1537.4,1645.0,1747.0,1852.7,1962.7,2073.3,2198.8,2352.4,2430.6,2510.1,2511.8,2516.0,2532.0,2565.2,2612.7,2659.5,2731.3,2843.8
"3","            Gross investment2",2.9,3.3,3.1,2.3,2.0,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29.0,39.9,38.2,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36.0,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,135.9,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320.0,326.6,344.0,368.5,388.9,411.9,443.7,464.2,486.2,513.3,550.9,592.0,629.6,642.9,644.5,636.6,621.0,600.4,601.8,621.5,631.5,643.2,678.7
"4","                Structures",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7.0,3.3,2.5,1.7,3.0,4.6,6.3,7.0,9.5,11.1,11.7,12.1,12.0,13.4,14.9,16.5,16.9,16.6,18.0,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29.0,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65.0,65.7,72.5,81.1,89.0,95.5,99.0,102.0,112.6,117.0,119.7,121.1,124.7,134.7,144.4,152.6,162.7,175.8,188.3,204.0,220.2,228.6,235.7,246.8,268.7,292.7,309.6,318.1,312.4,303.5,287.5,277.5,282.6,298.4,304.8,299.6,321.1
"5","                Equipment",0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.6,0.6,4.2,16.4,32.0,33.3,21.2,1.6,1.3,2.3,3.3,2.6,8.0,11.1,12.3,10.2,8.8,8.9,9.5,9.7,12.0,11.6,13.1,14.1,12.8,12.4,11.2,13.1,15.0,13.7,12.9,13.0,9.2,9.8,10.9,14.4,16.6,19.2,21.0,23.1,27.3,31.1,36.0,42.3,50.2,58.5,67.8,73.9,77.4,74.3,80.7,86.6,85.7,84.8,79.4,77.5,78.9,80.1,75.7,79.0,86.1,87.4,88.2,96.4,99.8,106.2,113.7,122.6,131.9,145.3,147.4,148.1,144.4,143.1,135.0,132.2,132.2,134.4,141.0,149.4
"6","                Intellectual property products",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.0,3.6,4.8,5.9,6.4,7.0,7.8,8.8,9.9,11.7,12.9,13.8,15.4,16.2,17.0,17.7,17.6,18.1,19.3,20.3,21.5,23.3,25.5,27.9,31.0,35.0,39.6,45.0,49.7,55.2,62.2,71.0,75.2,81.7,85.1,87.8,91.1,91.4,91.6,91.4,92.0,94.0,95.5,98.3,102.3,106.5,113.2,119.7,127.1,135.8,144.3,152.8,159.6,167.4,174.8,177.4,184.0,188.7,190.4,187.9,187.1,190.9,192.2,202.6,208.2
"7","                    Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.8,0.8,0.9,1.2,1.5,1.8,2.0,2.1,2.5,3.2,3.9,4.8,5.4,6.4,7.7,8.9,9.8,10.8,12.4,14.7,16.2,17.4,18.4,18.6,18.4,18.6,19.2,20.7,23.2,25.0,27.1,27.8,26.1,26.5,27.9,29.8,31.7,33.9,36.6,36.8,38.5,41.3,43.3,44.4,45.9,46.5,49.0,52.6,56.9
"8","                    Research and development",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.0,3.6,4.8,5.9,6.4,7.0,7.8,8.8,9.8,11.6,12.8,13.6,15.1,15.9,16.7,17.2,16.8,17.2,18.4,19.2,20.0,21.5,23.5,25.8,28.5,31.8,35.7,40.3,44.2,48.8,54.6,62.1,65.5,70.9,72.7,73.1,75.0,74.0,73.2,72.8,73.6,75.5,76.3,77.7,79.0,81.5,86.0,91.8,101.1,109.3,116.5,123.1,127.9,133.4,138.1,140.7,145.5,147.4,147.1,143.5,141.2,144.4,143.2,150.0,151.3
"9","Federal",1.9,2.0,2.1,2.0,2.5,3.5,3.6,5.8,5.3,5.9,6.2,6.8,19.1,56.7,89.5,100.1,87.2,32.0,25.7,27.0,30.4,29.4,49.9,64.8,70.3,63.3,61.0,63.1,68.5,71.5,73.6,72.9,77.4,85.5,87.9,90.3,93.2,106.6,120.0,128.0,131.2,132.8,134.5,141.6,146.2,158.8,173.7,184.8,200.3,218.9,240.6,274.9,314.0,348.3,382.4,411.8,452.9,481.7,502.8,511.4,534.1,562.4,582.9,588.5,580.2,574.7,576.7,579.2,583.3,585.5,611.3,633.7,670.1,743.0,826.3,891.7,947.5,1000.7,1050.5,1150.6,1218.2,1297.9,1298.9,1286.5,1226.6,1214.2,1220.9,1232.2,1265.2,1319.9
"10","        Consumption expenditures",1.7,1.7,1.7,1.5,1.8,2.6,2.4,4.5,4.0,4.6,5.1,5.2,10.6,29.3,50.5,62.7,62.8,28.9,22.9,22.6,24.5,23.9,37.4,47.6,51.6,47.2,46.8,47.4,50.9,52.6,51.8,51.0,52.7,59.0,61.2,63.1,66.5,76.5,88.1,96.8,100.5,102.3,106.7,112.3,114.5,123.2,133.9,140.0,151.1,164.2,178.8,204.6,233.6,258.4,280.0,296.2,320.4,339.8,350.3,363.5,382.9,404.2,426.1,432.1,429.5,429.3,429.0,429.4,439.6,437.8,456.5,476.3,506.2,560.8,631.1,683.3,725.4,765.1,800.5,878.9,935.6,1000.7,1003.3,999.3,956.9,950.3,955.8,967.6,986.8,1032.4
"11","        Gross investment",0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39.0,37.4,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.7,16.1,14.2,15.8,17.6,18.9,21.8,21.9,24.6,26.5,26.7,27.1,26.7,30.1,31.9,31.1,30.7,30.5,27.8,29.3,31.7,35.7,39.9,44.8,49.2,54.7,61.7,70.2,80.4,90.0,102.3,115.6,132.5,141.9,152.4,148.0,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,182.2,195.2,208.4,222.0,235.6,250.0,271.7,282.6,297.2,295.7,287.3,269.6,263.9,265.0,264.7,278.4,287.5
"12","            Structures",0.2,0.2,0.3,0.3,0.5,0.6,0.8,1.0,1.0,0.9,0.8,1.2,4.2,10.7,6.2,2.7,1.8,0.3,0.5,1.0,1.5,1.6,3.1,4.4,4.4,3.6,2.7,3.0,3.4,4.0,4.0,3.9,4.2,4.1,4.0,3.8,3.9,4.1,3.4,3.3,3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12.0,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.6,16.0,17.5,17.5,16.0,16.6,16.1,13.8,13.5,16.1,17.4,16.6,15.2,17.2,21.4,25.1,29.1,32.6,30.1,22.6,18.1,17.3,16.8,15.7,16.2,16.4
"13","            Equipment",0.0,0.0,0.1,0.0,0.1,0.2,0.3,0.3,0.3,0.3,0.3,0.4,4.1,16.2,31.9,33.2,21.1,1.4,1.0,1.8,2.8,2.1,7.4,10.5,11.7,9.5,8.0,8.0,8.4,8.6,10.9,10.4,11.8,12.8,11.3,10.7,9.4,11.0,12.9,11.3,10.3,10.3,6.3,6.4,7.1,9.8,11.5,14.0,15.5,17.0,20.2,23.0,27.4,32.9,39.4,45.8,53.0,57.5,60.2,55.7,58.8,62.7,62.2,60.7,54.6,49.4,48.4,49.6,43.6,44.3,48.7,48.6,49.8,58.3,62.3,69.0,76.6,83.5,87.9,100.1,104.4,108.5,105.8,104.0,95.1,92.3,91.5,92.2,97.0,102.8
"14","            Intellectual property products",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.5,1.5,1.4,1.3,1.5,1.7,1.8,2.0,2.3,2.6,2.9,3.5,4.7,5.7,6.3,6.8,7.6,8.6,9.6,11.4,12.6,13.4,15.0,15.7,16.5,17.1,16.8,17.2,18.4,19.3,20.3,22.0,24.1,26.3,29.1,32.8,37.0,42.1,46.3,51.4,57.9,66.0,69.6,75.6,78.1,79.2,81.4,80.8,80.2,79.5,80.0,81.8,82.7,84.1,86.8,90.0,95.0,100.6,107.7,115.5,122.8,130.2,134.9,140.8,146.5,149.1,156.1,159.8,160.7,156.4,154.3,156.7,156.7,165.3,168.3
"15","                Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.6,0.7,0.9,1.2,1.4,1.6,1.7,2.0,2.5,3.1,3.8,4.2,5.0,5.9,6.9,7.5,8.4,9.5,10.7,11.4,12.0,12.3,12.3,12.1,12.3,12.8,13.3,15.1,16.4,17.6,18.0,16.6,16.6,17.3,18.7,19.8,21.4,23.5,23.7,25.7,27.9,29.3,29.8,30.7,30.7,32.5,34.8,37.3
"16","                Research and development",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.5,1.5,1.4,1.3,1.5,1.7,1.8,2.0,2.3,2.6,2.9,3.5,4.7,5.7,6.3,6.8,7.6,8.6,9.6,11.3,12.5,13.3,14.8,15.5,16.2,16.7,16.2,16.6,17.7,18.4,19.2,20.5,22.5,24.6,27.2,30.3,33.9,38.3,42.0,46.5,51.9,59.1,62.1,67.2,68.6,68.6,70.0,68.8,67.9,67.3,67.9,69.5,69.9,70.8,71.7,73.6,77.4,82.5,91.1,98.9,105.5,111.5,115.1,119.3,123.0,125.4,130.4,131.9,131.4,126.7,123.6,126.0,124.2,130.4,131.0
"17","    National defense",1.1,1.1,1.1,1.1,1.0,0.9,1.2,1.4,1.4,1.5,1.7,2.8,15.4,53.5,86.8,97.3,84.8,28.0,21.1,20.9,22.3,22.6,43.7,57.4,61.1,54.4,52.4,55.0,59.9,62.2,60.9,60.9,64.5,69.7,70.0,69.7,70.6,82.5,95.0,101.4,102.1,100.7,98.0,100.7,102.6,109.9,118.0,125.0,134.4,145.2,160.6,183.4,213.4,245.4,272.1,298.8,329.5,352.4,372.4,382.1,391.2,405.0,414.0,406.5,391.6,382.1,377.2,377.3,372.0,368.8,383.3,392.6,413.2,458.9,521.2,569.9,609.4,640.8,679.3,750.3,787.6,828.0,834.0,814.2,764.2,742.5,729.5,727.3,743.9,779.0
"18","        Consumption expenditures",1.0,1.0,1.0,0.9,0.9,0.8,1.0,1.1,1.1,1.2,1.3,2.0,8.0,27.1,48.7,60.5,60.8,25.3,18.9,17.6,18.1,19.0,33.0,42.2,44.2,39.8,39.4,40.9,44.6,46.0,42.0,42.6,44.2,48.6,50.5,51.4,53.9,63.8,73.7,81.4,82.6,81.8,82.3,84.4,84.9,89.5,95.3,99.3,106.5,115.1,125.7,143.2,165.1,187.2,202.3,217.7,234.1,249.0,261.6,276.6,286.1,297.7,312.7,309.3,302.4,296.3,292.2,292.3,293.0,289.5,301.8,309.2,325.5,358.5,411.2,448.9,478.0,501.3,528.1,583.2,614.3,651.8,662.0,650.3,611.2,597.8,587.0,587.2,594.0,623.0
"19","        Gross investment",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.3,0.4,0.8,7.4,26.4,38.1,36.8,24.0,2.7,2.2,3.2,4.3,3.7,10.6,15.3,16.9,14.6,13.0,14.1,15.4,16.2,18.9,18.3,20.4,21.1,19.5,18.3,16.7,18.7,21.3,19.9,19.5,18.9,15.7,16.3,17.8,20.4,22.6,25.6,27.9,30.0,34.8,40.2,48.2,58.2,69.8,81.1,95.4,103.4,110.8,105.5,105.2,107.3,101.3,97.2,89.2,85.8,85.0,85.0,79.0,79.3,81.5,83.4,87.7,100.4,110.0,121.0,131.5,139.5,151.1,167.1,173.3,176.2,172.0,163.8,153.0,144.8,142.6,140.1,149.9,156.0
"20","            Structures",0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2.0,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2.0,1.6,1.3,1.1,1.3,1.2,1.2,1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4.0,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.3,5.8,6.7,6.3,6.1,5.8,5.4,5.4,5.3,6.1,7.1,6.9,7.2,7.8,10.0,13.7,17.1,16.7,13.3,8.1,6.5,5.3,4.3,3.4,3.8,3.7
"21","            Equipment",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,3.6,15.7,31.5,33.0,21.0,1.2,0.8,1.6,2.6,1.9,7.1,10.1,11.4,9.3,7.8,7.8,8.2,8.5,10.7,10.1,11.5,12.5,10.9,10.1,8.9,10.4,12.2,10.8,9.7,9.6,5.5,5.3,6.0,8.2,9.9,12.1,13.3,14.3,17.5,19.8,24.1,29.1,35.2,41.1,47.9,52.7,55.0,49.6,51.5,54.6,53.4,50.7,44.7,41.9,39.8,39.9,33.6,34.1,36.8,37.8,39.9,46.4,50.0,55.7,61.4,66.0,71.8,82.6,86.6,89.3,87.3,85.2,78.8,74.8,72.5,72.7,76.2,80.7
"22","            Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.7,1.3,1.3,1.2,1.2,1.3,1.3,1.3,1.5,1.8,2.2,2.6,3.0,4.1,4.9,5.2,5.7,5.9,6.5,6.7,6.9,6.9,6.7,7.0,7.9,7.9,8.2,8.1,8.4,9.2,9.7,10.0,10.5,11.3,12.3,13.3,14.9,17.2,20.9,25.2,29.8,35.0,41.3,43.9,48.1,48.5,47.3,46.6,43.3,41.3,39.2,38.1,38.4,38.9,39.2,39.4,39.3,40.2,42.5,47.9,53.0,58.3,62.9,65.7,69.4,70.8,69.6,70.2,71.3,70.5,67.7,64.7,65.8,64.0,69.9,71.6
