"Table 5.3.5. Private Fixed Investment by Type"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Private fixed investment",37.7,44.7,41.8,50.8,52.8,53.8,58.5,60.0,68.8,73.7,75.7,71.3,81.8,83.2,83.6,90.9,97.7,107.3,120.4,130.6,132.8,147.9,164.4,168.0,188.6,219.0,251.0,260.5,263.5,306.1,374.3,452.6,521.7,536.4,601.4,595.9,643.3,754.7,807.8,842.6,865.0,918.5,972.0,978.9,944.7,996.7,1086.0,1192.7,1286.3,1401.3,1524.7,1673.0,1826.2,1983.9,1973.1,1910.4,2013.0,2217.2,2477.2,2632.0,2639.1,2506.9,2080.4,2111.6,2286.3,2550.5,2721.5,2954.4,3083.2,3140.9,3342.5,3595.6
"2","Nonresidential",25.5,28.9,27.0,30.0,34.2,34.9,38.8,38.6,43.4,49.7,53.1,48.5,53.1,56.4,56.6,61.2,64.8,72.2,85.2,97.2,99.2,107.7,120.0,124.6,130.4,146.6,172.7,191.1,196.8,219.3,259.1,314.6,373.8,406.9,472.9,485.1,482.2,564.3,607.8,607.8,615.2,662.3,716.0,739.2,723.6,741.9,799.2,868.9,962.2,1043.2,1149.1,1254.1,1364.5,1498.4,1460.1,1352.8,1375.9,1467.4,1621.0,1793.8,1948.6,1990.9,1690.4,1735.0,1907.5,2118.5,2211.5,2394.3,2449.7,2442.1,2587.9,2800.4
"3","    Structures",8.1,9.5,9.2,10.0,12.0,12.2,13.6,13.9,15.2,18.2,19.0,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55.0,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,276.0,285.7,321.0,333.5,287.0,286.6,307.7,353.0,425.2,510.3,571.1,455.8,379.8,404.5,479.4,492.5,577.1,572.2,545.7,585.4,637.1
"4","        Commercial and health care",1.1,1.5,1.4,1.8,1.9,1.6,2.1,2.6,3.4,4.2,4.1,4.2,4.6,4.8,5.5,6.2,6.1,6.8,8.2,8.3,8.2,9.4,11.7,12.5,14.9,17.6,19.8,20.6,17.7,18.1,20.3,25.3,33.5,41.0,48.3,55.8,55.8,70.6,84.1,80.9,80.8,86.3,88.3,87.5,68.9,64.5,69.4,75.4,83.1,91.5,104.3,116.0,125.4,139.3,137.3,119.4,115.0,125.3,135.9,156.3,181.8,181.9,126.8,92.1,93.4,103.8,109.8,127.4,143.4,171.1,180.6,189.0
"5","        Manufacturing",1.7,1.4,1.0,1.1,2.1,2.3,2.2,2.0,2.3,3.2,3.6,2.4,2.1,2.9,2.8,2.8,2.9,3.6,5.1,6.6,6.0,6.0,6.8,7.0,6.3,5.9,7.9,10.0,10.6,10.1,11.1,16.2,22.0,20.5,25.4,26.1,19.5,20.9,24.1,21.0,21.2,23.2,28.8,33.6,31.4,29.0,23.6,28.9,35.5,38.2,37.6,40.5,35.1,37.6,37.8,22.7,21.4,23.2,28.4,32.3,40.2,53.0,56.8,40.3,39.6,46.8,49.9,58.1,79.3,75.7,65.8,63.2
"6","        Power and communication",1.8,2.4,2.7,2.8,3.0,3.1,3.6,3.3,3.3,4.1,4.5,4.4,4.3,4.4,4.1,4.1,4.4,4.8,5.4,6.3,7.1,8.3,8.7,10.2,11.0,12.1,13.8,15.1,15.7,18.2,19.3,21.4,24.6,27.3,30.0,29.6,25.8,26.5,26.5,28.3,25.4,25.0,27.5,26.3,31.6,33.9,33.2,31.2,33.1,29.2,28.8,34.2,40.4,48.1,51.1,51.0,48.1,43.1,48.1,55.8,81.6,95.6,95.8,83.8,81.8,102.4,98.9,115.3,113.0,113.8,115.3,118.6
"7","        Mining exploration, shafts, and wells1",0.9,1.2,1.2,1.4,1.7,2.0,2.1,2.3,2.5,2.7,2.6,2.4,2.5,2.3,2.3,2.5,2.3,2.4,2.4,2.5,2.4,2.6,2.8,2.8,2.7,3.1,3.5,5.2,7.4,8.6,11.5,15.4,19.0,27.4,42.5,44.8,30.0,31.3,27.9,15.7,13.1,15.7,14.9,17.9,18.5,14.2,16.6,16.4,15.0,16.8,22.4,22.3,18.3,23.7,34.6,30.2,38.5,47.3,69.4,96.0,102.2,120.3,79.2,93.5,124.7,152.9,155.6,187.8,136.5,74.4,107.4,140.9
"8","        Other structures2",2.6,2.9,2.9,2.9,3.2,3.3,3.5,3.6,3.7,4.0,4.1,4.2,4.7,5.2,5.0,5.2,5.6,6.2,7.2,7.8,7.8,7.3,7.8,7.8,7.9,8.6,9.9,10.3,10.1,11.0,12.5,15.2,18.5,20.0,21.2,21.3,23.3,28.1,31.8,30.7,33.7,32.5,34.3,37.6,33.2,31.0,34.5,34.9,40.6,48.9,57.2,63.1,66.4,72.2,72.7,63.6,63.6,68.8,71.2,84.7,104.5,120.3,97.3,70.1,65.0,73.6,78.3,88.4,100.0,110.7,116.4,125.4
"9","    Equipment",15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.3,29.7,28.9,32.1,34.4,38.7,45.8,53.0,53.7,58.5,65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660.0,713.6,766.1,711.5,659.6,670.6,721.9,794.9,862.3,893.4,845.4,670.3,777.0,881.3,983.4,1027.0,1090.8,1118.3,1090.9,1150.4,1236.3
