"Table 5.6.5. Private Fixed Investment in Intellectual Property Products by Type"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","            Private fixed investment in intellectual property products",0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.4,1.8,2.0,2.1,2.0,2.3,2.4,3.0,3.7,3.9,4.3,5.2,5.6,6.0,6.6,7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.6,17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.0,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.4,564.4,578.2,621.7,655.7,691.9,726.4,759.2,805.5,852.0
"2","Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.1,0.2,0.2,0.4,0.5,0.7,1.0,1.2,1.3,1.8,2.3,2.4,2.8,3.2,3.9,4.8,5.2,5.5,6.3,8.1,9.8,11.8,14.0,16.4,20.4,23.8,25.6,29.0,33.3,40.6,45.4,48.7,51.1,57.2,60.4,65.5,74.5,93.8,109.2,136.6,156.8,157.7,152.5,155.0,166.3,178.6,189.5,206.4,223.8,226.0,226.4,249.8,272.1,283.7,297.5,307.3,327.5,352.9
"3","    Prepackaged1","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",4.9,5.3,5.9,7.6,10.5,13.3,14.3,16.6,18.5,19.9,22.2,26.4,34.9,43.3,50.7,56.5,58.3,63.5,65.1,70.8,75.1,77.0,80.4,86.9,88.7,80.3,91.7,102.7,109.7,116.1,124.4,134.3,147.6
"4","    Custom","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",7.7,8.6,9.5,11.4,13.0,14.2,15.7,16.8,18.6,21.4,24.7,30.7,37.8,45.2,53.6,63.9,63.4,56.5,56.2,58.7,65.8,73.3,82.4,91.1,90.9,100.4,110.4,119.1,121.3,126.6,125.1,131.7,141.1
"5","    Own account","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",11.2,11.7,13.6,14.3,17.2,17.9,18.8,17.6,20.2,19.2,18.6,17.4,21.1,20.7,32.3,36.4,35.9,32.5,33.7,36.7,37.7,39.3,43.6,45.8,46.5,45.8,47.7,50.3,52.7,54.8,57.8,61.4,64.3
"6","Research and development2,3",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.6,0.6,0.5,0.5,0.5,0.8,1.1,1.1,1.0,1.2,1.4,1.9,2.4,2.5,2.7,3.6,3.7,4.0,4.4,4.9,5.2,5.6,6.0,6.5,7.2,8.1,9.0,9.9,11.0,11.5,11.9,12.9,14.6,16.4,17.5,19.6,21.8,24.9,29.1,34.2,39.7,44.8,49.6,56.9,63.0,66.5,69.2,76.4,84.1,91.5,101.0,105.4,106.3,109.2,121.2,134.5,148.1,160.6,177.5,199.0,202.7,196.1,201.0,207.4,224.7,245.6,268.0,284.2,274.6,282.4,303.4,313.4,337.9,357.6,374.8,398.8,417.9
"7","    Business","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",4.2,4.7,4.9,5.3,5.7,6.1,6.8,7.6,8.5,9.4,10.4,10.8,11.2,12.2,13.8,15.5,16.4,18.4,20.4,23.3,27.1,32.0,37.1,42.0,46.7,53.8,59.6,62.5,64.7,71.1,78.5,85.6,94.7,98.8,99.5,102.3,114.0,126.7,139.9,151.5,168.0,189.2,192.7,185.4,189.3,195.4,212.3,232.7,254.5,268.6,257.3,263.7,283.6,291.9,315.2,335.1,351.2,374.7,393.7
"8","        Manufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",4.1,4.6,4.8,5.2,5.6,6.0,6.7,7.5,8.3,9.2,10.2,10.6,10.9,11.8,13.5,15.1,15.9,17.6,19.3,21.7,25.0,29.2,33.4,37.3,40.9,46.5,50.9,52.6,54.6,57.7,61.9,64.6,68.2,70.9,69.4,74.3,85.0,96.2,105.2,112.7,119.3,132.5,138.1,129.2,132.3,140.4,151.5,165.6,182.0,188.0,180.2,184.2,191.6,200.6,215.3,227.7,233.3,249.5,252.0
"9","            Pharmaceutical and medicine manufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.6,0.6,0.7,0.8,1.0,1.1,1.2,1.4,1.6,1.9,2.2,2.6,3.1,3.5,3.7,3.9,5.1,6.0,6.8,7.7,9.0,10.1,11.3,12.2,14.5,16.5,18.7,21.9,24.5,28.3,29.6,32.3,33.3,37.0,40.1,44.8,55.6,58.0,52.6,57.3,53.7,56.2,60.2,63.6,66.4,71.0,72.6
