"Table 5.7.5A. Change in Private Inventories by Industry"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 27, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","        Change in private inventories",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6.0,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5.0,4.0,0.8,-0.4,3.9,3.2,3.0,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2.0,8.3,9.1,15.9,14.0,-6.3,17.1,22.3,25.8,18.0,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9
"2","Farm1",-0.1,-0.3,0.5,0.1,-0.1,-0.8,0.7,-0.9,0.9,0.4,-0.1,0.5,0.4,1.3,-0.2,-0.3,-0.9,-0.2,-1.8,2.7,-0.6,-0.1,1.0,1.4,0.7,0.2,-0.6,-1.0,0.1,2.0,-1.6,0.6,0.9,0.6,0.5,-1.2,0.8,-0.5,0.9,1.4,0.0,-0.8,1.7,0.3,1.5,-2.8,3.4,-0.8,4.5,1.4,3.6,-6.1,8.8,5.8,-15.4,5.7,5.8,-1.5,-6.4,-11.9,0.0,2.4,-1.3,6.3,-6.2,12.0,-11.0,8.7,3.3
"3","Nonfarm",1.7,0.0,-1.6,-2.5,-1.3,0.2,0.4,2.0,1.7,-1.0,0.3,1.9,3.9,0.6,-0.5,-0.6,-0.6,6.2,1.2,3.0,-2.1,5.9,8.9,2.1,1.2,-2.1,5.6,4.9,0.7,-2.3,5.5,2.7,2.1,5.5,5.1,6.0,8.4,14.1,9.0,7.7,9.2,2.8,6.6,8.8,14.4,16.8,-9.6,18.0,17.8,24.4,14.4,-0.2,21.0,-20.7,9.6,59.7,16.1,8.0,33.6,30.4,27.7,12.2,0.9,10.1,27.0,51.8,42.2,22.1,67.7
"4","        Change in book value2",1.0,-4.0,-4.6,-3.8,1.4,0.9,0.7,2.9,1.8,-2.2,1.2,2.1,7.0,2.2,0.4,-0.2,0.0,13.2,8.6,5.6,-4.4,11.9,10.4,1.0,2.4,-1.8,7.5,8.1,2.5,-2.0,5.8,2.8,1.8,5.5,5.1,6.6,9.8,16.5,10.7,11.7,15.5,9.9,11.3,16.1,36.1,62.1,3.1,34.0,35.7,51.9,60.8,48.4,50.9,-12.8,14.2,63.8,13.1,-5.3,51.6,58.5,50.0,28.0,-6.6,13.0,30.7,66.4,65.4,21.5,49.0
"5","        Inventory valuation adjustment3",0.6,4.0,3.0,1.3,-2.7,-0.7,-0.3,-0.9,-0.1,1.2,-0.9,-0.2,-3.1,-1.6,-0.9,-0.4,-0.7,-7.0,-7.4,-2.6,2.3,-6.1,-1.5,1.2,-1.2,-0.4,-1.9,-3.2,-1.8,-0.3,-0.3,-0.1,0.3,0.0,0.0,-0.6,-1.4,-2.3,-1.8,-4.1,-6.3,-7.0,-4.7,-7.3,-21.8,-45.3,-12.7,-16.0,-17.9,-27.5,-46.4,-48.6,-29.8,-7.9,-4.6,-4.1,3.0,13.3,-18.1,-28.2,-22.3,-15.8,7.5,-3.0,-3.7,-14.7,-23.2,0.7,18.7
"6","    Manufacturing",0.9,0.7,-0.6,-1.2,-0.6,0.1,0.2,1.1,1.3,-0.6,0.2,1.2,2.6,1.6,0.2,-0.8,-1.6,2.9,0.5,1.3,-1.6,2.2,7.9,1.9,1.2,-2.6,2.6,3.8,-0.3,-2.1,2.5,0.7,1.5,3.3,2.0,3.1,4.2,8.5,5.8,3.7,4.0,0.0,-1.2,2.7,7.9,10.9,-4.2,8.0,5.2,9.3,9.3,0.0,4.0,-14.1,-0.3,27.4,-6.0,-4.0,7.9,16.4,14.1,8.8,-6.8,-4.7,3.5,11.9,14.2,10.1,21.7
"7","        Durable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.1,-0.2,-1.4,1.5,5.3,1.6,1.1,-2.3,1.6,2.6,-0.2,-2.0,1.5,0.2,0.4,2.0,1.3,2.5,3.4,6.8,4.3,2.1,3.2,-0.5,-2.1,2.3,7.8,6.9,-4.7,4.8,2.7,8.5,9.9,-0.1,1.6,-11.9,-2.0,22.0,-5.8,-5.2,5.2,12.4,10.7,5.0,-9.6,-8.0,3.7,9.1,11.0,9.5,14.3
"8","        Nondurable goods","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.3,1.5,-0.2,0.7,2.6,0.3,0.0,-0.2,1.1,1.2,-0.1,0.0,0.9,0.5,1.1,1.3,0.7,0.6,0.7,1.8,1.5,1.6,0.8,0.5,0.9,0.3,0.1,4.0,0.6,3.2,2.5,0.8,-0.6,0.1,2.4,-2.2,1.8,5.3,-0.2,1.1,2.7,3.9,3.4,3.8,2.8,3.4,-0.2,2.8,3.2,0.6,7.4
"9","    Wholesale trade",0.0,0.1,-0.4,-0.2,-0.1,0.1,0.0,0.3,0.2,-0.2,0.1,0.2,0.2,-0.6,-0.2,0.2,0.6,0.8,0.0,0.6,0.0,1.4,0.3,0.3,0.1,0.3,1.1,0.4,-0.2,0.0,1.7,0.5,0.4,0.8,1.5,1.2,1.5,3.1,2.1,1.1,2.2,2.7,2.1,2.0,1.5,5.4,-2.9,4.7,6.1,7.4,5.2,3.6,4.1,-1.6,0.4,14.4,6.2,7.1,6.7,8.5,4.1,8.2,4.5,8.3,6.3,16.4,14.1,3.1,26.5
