"Table 5.8.5A. Private Inventories and Domestic Final Sales of Business by Industry"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: July 27, 2018"
"Line","","1947","1947","1947","1947","1948","1948","1948","1948","1949","1949","1949","1949","1950","1950","1950","1950","1951","1951","1951","1951","1952","1952","1952","1952","1953","1953","1953","1953","1954","1954","1954","1954","1955","1955","1955","1955","1956","1956","1956","1956","1957","1957","1957","1957","1958","1958","1958","1958","1959","1959","1959","1959","1960","1960","1960","1960","1961","1961","1961","1961","1962","1962","1962","1962","1963","1963","1963","1963","1964","1964","1964","1964","1965","1965","1965","1965","1966","1966","1966","1966","1967","1967","1967","1967","1968","1968","1968","1968","1969","1969","1969","1969","1970","1970","1970","1970","1971","1971","1971","1971","1972","1972","1972","1972","1973","1973","1973","1973","1974","1974","1974","1974","1975","1975","1975","1975","1976","1976","1976","1976","1977","1977","1977","1977","1978","1978","1978","1978","1979","1979","1979","1979","1980","1980","1980","1980","1981","1981","1981","1981","1982","1982","1982","1982","1983","1983","1983","1983","1984","1984","1984","1984","1985","1985","1985","1985","1986","1986","1986","1986","1987","1987","1987","1987","1988","1988","1988","1988","1989","1989","1989","1989","1990","1990","1990","1990","1991","1991","1991","1991","1992","1992","1992","1992","1993","1993","1993","1993","1994","1994","1994","1994","1995","1995","1995","1995","1996","1996","1996","1996","1997","1997","1997","1997"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Private inventories1",92.8,93.9,99.3,106.7,103.1,104.6,103.7,101.5,99.5,95.0,94.3,92.0,93.7,96.9,103.3,114.0,122.4,123.6,124.8,127.5,126.0,124.3,123.0,119.0,117.6,116.9,117.2,117.1,117.4,115.9,115.6,115.1,116.6,115.8,116.0,116.0,118.9,122.8,123.2,124.7,125.6,126.7,127.9,127.6,130.6,129.5,130.9,131.2,132.5,134.0,133.3,133.1,136.8,136.0,137.4,136.4,135.9,134.8,137.7,139.9,142.8,143.8,147.3,147.8,148.3,148.8,149.6,150.3,150.8,151.2,153.6,155.1,159.4,163.6,165.0,169.7,175.2,179.5,184.0,186.1,188.0,190.4,192.3,195.0,199.5,203.6,205.8,208.1,213.7,218.8,222.5,227.6,230.5,233.1,235.9,236.2,243.6,247.6,251.3,253.7,258.6,266.7,274.1,283.7,304.7,324.6,338.7,352.0,362.2,373.6,397.8,407.2,401.5,405.1,409.8,408.7,416.0,428.3,433.6,439.7,451.7,458.3,466.2,482.5,507.2,529.1,546.4,569.5,607.7,627.3,648.6,665.5,689.9,707.0,726.2,738.6,762.8,772.2,779.1,777.2,786.0,786.1,780.3,770.8,769.8,773.1,781.5,796.3,826.4,843.5,854.9,866.9,865.7,861.3,858.1,872.6,862.0,859.3,856.8,854.9,872.4,888.8,898.1,922.4,941.2,962.3,983.9,1000.9,1025.7,1033.2,1033.9,1045.0,1051.6,1057.8,1078.8,1082.3,1070.0,1054.6,1051.0,1058.5,1064.8,1075.9,1085.9,1082.6,1090.8,1100.9,1104.1,1116.0,1133.1,1147.4,1164.6,1194.5,1224.9,1241.4,1247.6,1257.2,1257.8,1269.1,1283.5,1284.7,1293.9,1305.1,1315.1,1327.9
"2","Farm2",48.6,48.9,53.7,59.0,53.7,54.0,51.0,48.1,47.0,44.8,44.7,43.1,44.3,46.2,49.1,54.2,58.0,56.5,56.9,58.9,56.9,56.4,54.2,49.6,47.4,45.4,44.7,45.6,46.4,45.6,45.6,45.1,45.4,43.1,41.2,38.9,39.5,41.4,40.5,40.3,40.2,40.7,41.0,41.3,45.5,45.8,47.2,46.3,46.4,45.5,44.0,42.3,43.3,41.9,42.4,42.9,43.2,42.1,43.6,44.6,45.8,45.6,47.4,47.3,46.7,46.3,45.5,44.8,43.8,42.8,43.2,42.9,44.2,46.1,45.0,47.5,49.3,49.7,50.5,47.9,46.2,47.4,46.7,45.9,48.0,49.6,49.5,48.9,50.3,52.6,51.7,53.0,53.9,54.0,53.8,52.9,56.0,56.8,57.8,59.3,61.6,65.6,68.4,73.9,85.0,94.7,102.6,102.6,97.0,88.8,95.2,89.1,85.7,91.7,92.5,89.6,89.6,90.9,86.3,85.5,86.2,85.8,84.2,91.1,101.3,107.4,112.4,117.8,135.5,132.6,135.4,132.9,128.6,132.4,140.4,139.7,139.3,139.7,132.9,125.5,134.4,135.0,128.5,128.2,135.6,134.1,127.2,131.1,136.9,133.4,128.0,129.4,127.3,120.5,118.2,122.4,117.0,113.3,111.9,109.8,114.9,116.3,118.2,118.1,124.7,126.5,132.5,131.9,133.8,130.0,127.9,130.3,132.5,131.1,130.5,133.5,135.2,130.1,124.3,124.5,133.8,136.5,140.3,133.1,128.7,128.8,127.9,132.3,140.3,132.4,131.1,134.5,132.7,129.3,128.5,131.1,130.6,137.6,143.7,136.6,138.4,138.1,138.4,136.9
"3","Nonfarm",44.2,45.1,45.6,47.7,49.4,50.6,52.7,53.4,52.5,50.2,49.6,48.9,49.4,50.8,54.1,59.8,64.4,67.1,67.9,68.6,69.1,67.9,68.7,69.4,70.1,71.4,72.5,71.5,71.0,70.3,70.0,70.0,71.2,72.8,74.8,77.1,79.4,81.4,82.7,84.4,85.4,86.0,87.0,86.4,85.1,83.7,83.7,84.9,86.1,88.5,89.3,90.8,93.5,94.0,95.0,93.5,92.7,92.7,94.1,95.2,97.0,98.2,99.9,100.5,101.5,102.6,104.2,105.5,107.0,108.5,110.4,112.2,115.2,117.5,119.9,122.2,125.9,129.8,133.5,138.3,141.8,143.1,145.7,149.1,151.5,154.0,156.3,159.3,163.4,166.2,170.8,174.6,176.6,179.1,182.2,183.3,187.6,190.8,193.4,194.4,197.1,201.1,205.7,209.9,219.7,229.9,236.2,249.4,265.2,284.8,302.6,318.1,315.8,313.4,317.3,319.0,326.4,337.4,347.3,354.2,365.6,372.6,382.0,391.4,405.9,421.7,434.0,451.7,472.2,494.7,513.2,532.6,561.3,574.6,585.9,598.9,623.5,632.5,646.3,651.7,651.6,651.2,651.8,642.6,634.1,639.0,654.3,665.1,689.5,710.1,726.9,737.6,738.4,740.8,739.8,750.2,745.0,746.1,744.9,745.1,757.5,772.5,779.9,804.4,816.5,835.8,851.4,869.1,891.8,903.3,905.9,914.7,919.1,926.7,948.2,948.9,934.8,924.4,926.7,934.0,930.9,939.4,945.6,949.5,962.1,972.1,976.2,983.7,992.7,1015.0,1033.4,1060.0,1092.1,1112.2,1119.1,1126.1,1127.2,1131.5,1139.8,1148.1,1155.5,1167.0,1176.7,1191.0
"4","        Durable goods3",19.9,20.4,21.2,21.6,22.4,23.0,24.4,25.2,25.2,23.8,23.7,23.3,22.9,23.9,25.2,28.5,30.5,32.5,33.9,34.5,35.1,34.6,34.9,35.7,36.7,37.8,38.8,38.1,37.3,36.6,36.4,36.5,37.3,38.5,40.1,41.9,43.4,44.2,44.7,45.8,46.2,46.7,47.6,47.3,46.1,44.8,44.7,46.1,47.1,48.8,48.7,49.4,51.7,51.8,52.2,51.1,49.6,49.3,50.1,50.8,52.0,52.5,53.7,53.9,54.4,55.2,56.0,56.4,57.5,58.5,59.8,60.8,63.1,64.6,66.5,67.4,70.0,72.5,75.3,78.5,80.5,81.0,82.6,85.0,86.5,87.9,89.1,91.4,94.0,95.0,97.7,100.6,101.1,102.1,104.2,103.9,106.5,108.1,110.4,109.8,111.5,113.5,115.9,118.4,123.7,129.4,133.7,140.1,147.6,159.2,169.4,179.5,180.5,179.8,180.0,180.2,183.8,189.5,196.4,201.9,206.8,211.1,217.5,222.8,232.6,242.7,251.0,262.9,277.4,290.3,298.5,309.6,322.6,326.3,329.9,340.0,349.0,356.8,364.9,367.9,368.0,368.8,370.0,361.7,355.1,357.9,365.0,373.9,389.4,403.2,415.7,426.9,428.3,429.3,427.4,430.9,434.3,436.5,434.8,431.4,436.7,444.9,447.5,464.3,471.1,479.6,491.8,505.7,520.0,524.4,525.5,529.7,529.3,535.2,542.1,540.9,532.8,522.9,522.0,522.8,518.5,520.9,521.2,520.4,528.4,533.7,537.8,544.2,552.0,565.4,576.7,591.6,609.0,618.4,621.9,627.1,625.3,629.3,638.3,638.6,642.7,650.6,654.2,661.9
"5","        Nondurable goods3",24.3,24.7,24.4,26.1,27.0,27.6,28.3,28.2,27.3,26.4,25.9,25.6,26.4,26.9,28.9,31.3,33.9,34.6,33.9,34.0,34.0,33.3,33.8,33.7,33.4,33.6,33.6,33.3,33.6,33.7,33.6,33.5,33.9,34.2,34.8,35.3,36.0,37.1,38.0,38.6,39.2,39.3,39.3,39.0,39.0,38.9,39.0,38.8,39.0,39.7,40.6,41.4,41.8,42.2,42.7,42.5,43.1,43.4,44.0,44.5,45.0,45.7,46.2,46.6,47.1,47.4,48.2,49.1,49.5,49.9,50.5,51.4,52.2,52.9,53.4,54.8,55.9,57.3,58.2,59.8,61.4,62.1,63.1,64.1,65.0,66.1,67.2,67.9,69.5,71.3,73.2,74.0,75.5,77.0,78.0,79.4,81.1,82.7,83.1,84.6,85.6,87.6,89.9,91.4,96.1,100.5,102.4,109.3,117.6,125.6,133.2,138.6,135.3,133.5,137.3,138.8,142.5,147.9,150.9,152.3,158.8,161.5,164.5,168.6,173.2,179.0,183.0,188.7,194.8,204.4,214.7,223.1,238.7,248.2,256.0,258.9,274.5,275.8,281.3,283.9,283.5,282.4,281.8,280.9,279.1,281.1,289.2,291.2,300.0,306.9,311.3,310.7,310.1,311.5,312.5,319.3,310.7,309.6,310.1,313.6,320.8,327.6,332.3,340.1,345.4,356.2,359.6,363.4,371.8,378.9,380.5,385.0,389.8,391.5,406.1,407.9,402.0,401.5,404.7,411.2,412.5,418.4,424.4,429.1,433.7,438.4,438.4,439.5,440.8,449.6,456.7,468.4,483.2,493.8,497.2,498.9,502.0,502.2,501.5,509.6,512.8,516.4,522.5,529.1
"6","    Manufacturing",22.9,23.3,23.7,24.6,25.2,26.0,26.9,27.3,27.1,25.6,24.8,24.3,24.6,25.2,26.7,29.5,32.0,34.1,35.6,36.6,37.6,36.9,37.3,37.5,38.1,39.0,39.7,39.2,38.5,37.7,37.2,37.4,37.8,38.5,39.9,41.2,42.9,44.4,45.2,46.2,46.9,46.9,47.3,46.4,45.5,44.2,44.2,44.9,45.3,46.5,46.8,47.7,48.8,49.1,49.8,48.7,48.5,48.6,49.5,50.1,51.3,52.1,53.2,53.2,53.8,54.3,54.9,55.1,55.8,56.1,57.0,58.6,59.6,60.6,62.2,63.4,65.4,67.6,70.5,73.0,75.8,76.8,78.2,79.9,80.9,82.1,83.9,85.1,87.4,88.5,90.7,92.6,93.3,94.2,95.5,95.5,96.6,97.0,97.1,96.6,97.8,99.1,101.3,102.1,106.6,111.4,115.3,121.5,130.3,142.8,154.2,162.6,163.4,161.4,161.7,162.2,164.8,169.5,174.7,178.7,182.4,185.8,189.9,193.2,198.3,205.4,211.6,219.8,230.0,241.0,251.4,261.8,277.5,284.0,287.0,293.4,304.1,308.2,313.6,313.1,314.8,311.0,309.1,304.6,294.6,297.2,304.4,308.9,319.4,332.7,343.2,344.5,341.6,339.3,335.2,333.3,325.3,322.9,320.5,320.6,320.8,324.5,330.4,339.6,346.6,355.7,362.2,372.4,382.9,388.3,390.1,390.5,393.8,394.1,404.6,404.5,397.7,389.0,385.2,384.1,380.5,379.8,381.3,377.6,378.3,381.1,381.1,380.1,383.4,389.3,395.1,404.3,417.0,422.9,425.1,424.5,424.9,423.3,425.9,428.9,429.0,432.0,434.5,439.8
"7","        Durable goods",12.1,12.4,12.9,13.0,13.2,13.5,14.3,14.7,14.8,13.9,13.3,12.9,13.1,13.5,14.3,15.8,17.1,18.5,20.0,20.7,21.6,21.5,21.8,22.2,22.9,23.7,24.3,24.0,23.3,22.5,22.3,22.4,22.6,23.2,24.5,25.5,26.8,27.7,28.2,29.0,29.4,29.5,30.0,29.4,28.5,27.5,27.6,28.0,28.4,29.3,29.4,29.9,30.9,31.0,31.4,30.4,29.7,29.5,30.2,30.7,31.7,32.0,32.7,32.6,33.0,33.5,33.9,33.8,34.3,34.8,35.6,36.7,37.6,38.5,39.8,40.5,41.9,43.4,46.0,47.9,49.9,50.6,51.9,53.3,54.0,54.5,55.6,56.4,58.1,58.7,60.0,61.8,62.1,62.5,63.6,63.5,63.9,63.9,64.0,63.2,64.0,64.7,66.1,66.8,69.8,72.9,76.0,80.2,84.9,93.2,99.9,104.9,106.3,105.7,104.4,104.0,105.3,108.0,111.3,114.8,116.9,118.6,121.6,123.6,127.8,133.1,138.2,144.2,152.7,160.5,166.4,174.4,183.5,186.4,187.9,192.7,198.5,201.0,206.5,205.9,207.2,205.9,204.2,200.2,193.4,195.0,197.9,202.2,209.3,218.7,227.7,231.7,230.6,228.9,226.7,222.8,220.3,218.7,217.1,214.7,212.5,214.3,218.3,224.7,229.2,234.2,239.1,246.9,254.1,256.8,258.6,257.8,259.0,260.1,262.3,262.0,258.7,251.8,248.2,246.0,242.6,239.9,238.7,235.1,235.0,236.6,237.9,237.9,240.9,244.0,246.7,251.1,256.9,258.6,259.8,260.1,260.6,260.5,262.4,263.5,264.1,265.5,267.0,270.1
"8","        Nondurable goods",10.8,10.9,10.8,11.6,12.0,12.5,12.7,12.6,12.2,11.7,11.5,11.3,11.6,11.6,12.4,13.7,14.9,15.6,15.6,15.8,16.0,15.5,15.5,15.3,15.2,15.3,15.4,15.3,15.2,15.2,15.0,15.0,15.1,15.3,15.4,15.7,16.1,16.7,17.0,17.1,17.5,17.4,17.3,17.0,17.0,16.8,16.6,16.8,16.9,17.1,17.4,17.7,17.8,18.1,18.5,18.4,18.8,19.1,19.2,19.4,19.7,20.1,20.5,20.7,20.8,20.8,21.0,21.3,21.5,21.3,21.4,21.9,22.0,22.1,22.4,23.0,23.5,24.2,24.5,25.1,25.9,26.2,26.4,26.7,26.9,27.5,28.2,28.7,29.3,29.8,30.7,30.8,31.2,31.7,31.9,32.0,32.6,33.1,33.1,33.4,33.7,34.4,35.2,35.3,36.8,38.5,39.3,41.3,45.4,49.6,54.2,57.7,57.1,55.7,57.3,58.3,59.5,61.5,63.4,63.9,65.6,67.2,68.3,69.6,70.5,72.2,73.4,75.6,77.3,80.5,84.9,87.3,94.0,97.7,99.2,100.7,105.6,107.2,107.2,107.2,107.6,105.1,104.9,104.4,101.2,102.2,106.5,106.8,110.1,113.9,115.5,112.9,110.9,110.4,108.5,110.5,105.0,104.2,103.4,105.9,108.2,110.2,112.1,114.9,117.5,121.4,123.2,125.5,128.8,131.5,131.5,132.7,134.8,134.0,142.3,142.5,139.0,137.2,136.9,138.2,137.9,139.9,142.7,142.5,143.4,144.5,143.2,142.1,142.5,145.3,148.4,153.2,160.2,164.3,165.3,164.4,164.3,162.8,163.5,165.4,164.8,166.5,167.5,169.7
