"Table 5.8.5B. Private Inventories and Domestic Final Sales by Industry"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018"
"Line","","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"1","        Private inventories1",1284.7,1293.9,1305.1,1315.1,1327.9,1338.0,1336.7,1334.6,1342.3,1360.1,1374.0,1397.6,1433.4,1457.5,1480.6,1496.8,1524.8,1523.1,1509.9,1485.2,1447.7,1433.4,1446.6,1470.1,1495.8,1532.9,1524.3,1539.7,1560.3,1600.3,1643.3,1672.4,1700.0,1748.3,1756.0,1796.5,1836.9,1852.2,1900.0,1931.2,1942.3,1985.4,2023.4,2046.0,2102.8,2178.0,2284.2,2246.6,2044.1,1968.6,1930.9,1896.6,1919.7,1961.1,1969.9,2027.6,2104.8,2204.6,2253.0,2257.4,2274.6,2313.8,2307.7,2360.1,2370.2,2360.8,2367.4,2402.2,2451.1,2509.7,2525.6,2537.8,2524.5,2505.4,2528.7,2513.9,2507.1,2503.9,2528.8,2512.9,2564.8,2611.8,2608.1,2616.1,2678.3,2723.1,2737.2,2757.8,2782.6
"2","Farm",136.6,138.4,138.1,138.4,136.9,134.0,128.0,121.8,120.5,123.1,122.4,121.5,124.3,126.7,125.2,121.9,132.1,136.2,134.4,130.2,126.2,128.2,125.6,128.7,135.9,136.0,136.8,150.0,151.0,156.6,163.8,156.8,157.2,160.1,156.7,160.8,165.3,157.9,157.4,165.3,165.2,179.5,178.8,184.2,189.1,199.2,213.7,205.5,183.9,179.1,172.6,166.8,167.0,173.0,169.4,177.1,192.9,216.4,213.2,217.9,224.2,224.9,218.4,218.7,215.6,197.4,202.7,209.0,220.3,235.8,236.0,236.4,237.5,231.4,223.7,205.7,194.7,198.6,188.8,168.4,176.0,188.5,190.1,169.5,181.1,183.2,176.2,166.7,168.6
"3","Mining, utilities, and construction",31.1,31.9,31.3,32.3,33.0,32.8,34.4,34.9,36.4,36.2,37.6,38.5,38.3,38.8,39.7,41.3,42.1,46.9,46.0,44.2,45.1,45.9,46.9,45.7,46.8,57.2,56.9,56.3,57.4,60.5,63.3,65.8,69.9,71.2,75.7,82.5,95.8,89.3,89.3,93.2,97.5,101.7,107.2,102.3,102.6,108.8,121.2,120.8,98.9,92.9,89.1,88.0,88.6,91.0,90.3,91.6,92.9,94.6,95.1,94.3,92.4,92.4,92.1,93.5,99.0,95.7,99.1,97.0,94.0,97.6,99.6,97.5,97.1,95.1,98.1,100.8,100.6,102.7,104.6,110.2,116.0,123.3,114.6,112.5,112.9,114.1,109.3,111.4,116.5
"4","Manufacturing",421.0,421.0,423.9,426.3,431.5,433.7,435.4,434.0,431.9,433.6,436.6,445.7,457.2,464.0,468.3,473.1,476.0,473.8,465.6,454.0,440.3,421.4,428.1,438.0,446.0,456.0,450.1,446.9,453.0,462.4,474.3,488.7,493.6,512.2,513.6,530.1,538.6,552.0,573.4,580.4,579.4,589.7,606.6,614.7,639.3,675.8,717.4,691.3,600.9,582.6,583.1,585.6,596.4,612.0,612.5,627.9,657.6,694.5,716.4,710.6,713.1,728.8,714.3,729.1,729.6,723.0,716.0,731.2,744.3,757.8,757.5,760.5,742.9,724.9,731.7,722.6,726.3,712.7,724.3,727.1,745.3,752.5,745.9,764.3,791.7,800.2,807.9,814.3,804.4
"5","    Durable goods industries",260.7,261.4,262.7,264.1,267.2,271.0,273.5,273.6,272.9,274.0,273.8,278.5,284.2,287.6,288.7,291.6,292.5,290.3,284.8,277.9,269.6,257.8,260.4,262.1,265.9,269.2,265.8,262.5,265.3,270.3,276.6,284.7,288.2,297.4,297.7,305.1,311.3,320.3,331.3,338.3,340.8,346.1,350.8,349.7,356.8,371.6,382.6,380.3,355.2,344.1,336.3,335.1,336.2,344.9,350.9,357.0,367.6,384.7,393.7,395.4,397.6,405.7,404.3,410.3,413.6,407.9,403.5,411.7,424.0,427.2,428.0,434.6,440.4,436.0,435.5,433.6,439.4,430.9,430.7,433.1,439.8,443.6,441.4,452.5,464.5,470.1,473.8,476.2,480.2
"6","    Nondurable goods industries",160.3,159.7,161.2,162.2,164.3,162.7,161.9,160.5,159.0,159.6,162.8,167.2,173.0,176.4,179.6,181.5,183.5,183.5,180.7,176.1,170.7,163.6,167.7,175.8,180.1,186.9,184.3,184.5,187.7,192.1,197.7,204.0,205.4,214.8,215.9,225.0,227.3,231.6,242.1,242.2,238.6,243.6,255.9,265.0,282.5,304.2,334.8,310.9,245.7,238.5,246.8,250.5,260.2,267.1,261.6,270.9,290.0,309.8,322.7,315.2,315.5,323.1,310.1,318.7,316.0,315.1,312.5,319.5,320.3,330.6,329.6,325.8,302.4,289.0,296.2,289.0,286.9,281.7,293.6,294.0,305.5,309.0,304.5,311.8,327.2,330.0,334.1,338.0,324.2
"7","Wholesale trade",285.1,289.4,294.7,297.4,303.0,306.9,306.8,309.2,312.2,316.2,318.8,326.2,334.8,342.2,348.3,351.2,357.7,353.9,351.0,343.4,335.7,334.3,336.4,343.1,343.6,346.9,344.0,346.5,355.1,365.3,374.1,384.7,392.2,409.4,415.3,424.4,432.7,443.7,461.9,468.2,473.9,485.3,494.3,501.0,518.2,541.5,575.2,571.7,526.5,503.5,489.2,473.5,482.1,490.5,496.5,521.1,544.9,567.5,590.0,591.2,597.4,610.3,611.3,638.2,640.4,649.1,646.1,650.0,662.1,678.2,684.2,689.1,690.7,690.9,700.5,697.8,694.1,690.6,699.8,692.3,707.9,711.6,713.7,727.2,738.1,754.0,759.6,772.5,786.9
"8","    Durable goods industries",178.1,181.5,186.4,187.1,190.2,194.2,194.1,197.1,198.6,201.3,203.6,206.1,211.5,214.3,219.4,220.7,222.6,219.1,213.4,207.1,201.3,198.9,199.3,201.4,200.1,201.5,201.2,200.1,205.3,213.1,220.0,229.6,235.1,244.5,248.6,251.8,260.4,266.3,277.6,284.4,287.2,293.8,293.7,293.6,297.7,308.1,320.0,325.8,311.3,292.0,277.0,268.5,267.1,272.6,274.9,282.2,290.1,301.7,313.2,320.7,324.6,332.7,338.6,344.6,351.1,354.8,353.3,359.2,367.0,373.1,381.5,391.1,391.6,393.5,393.6,390.6,388.4,387.0,387.7,385.5,392.9,395.2,399.5,409.7,413.1,421.1,426.4,435.2,453.6
"9","    Nondurable goods industries",107.0,108.0,108.3,110.3,112.8,112.7,112.8,112.1,113.5,114.8,115.2,120.2,123.3,127.9,128.9,130.5,135.1,134.8,137.6,136.4,134.4,135.4,137.1,141.6,143.5,145.3,142.8,146.4,149.7,152.2,154.2,155.1,157.1,164.9,166.7,172.6,172.3,177.4,184.4,183.8,186.7,191.5,200.7,207.4,220.4,233.4,255.2,245.9,215.3,211.5,212.2,205.0,215.0,217.9,221.6,238.9,254.8,265.8,276.7,270.5,272.8,277.7,272.7,293.6,289.3,294.3,292.8,290.8,295.2,305.1,302.7,298.0,299.1,297.4,306.9,307.2,305.7,303.5,312.2,306.8,315.0,316.4,314.2,317.6,325.0,332.9,333.2,337.3,333.3
