"Table 5.9.5. Gross Government Fixed Investment by Type"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","            Gross government fixed investment1",2.9,3.3,3.1,2.3,2.0,2.7,2.9,4.2,3.9,4.3,4.6,4.4,10.8,29.0,39.9,38.2,25.3,4.7,5.7,8.5,11.3,11.5,19.6,24.6,26.7,25.4,24.4,27.1,30.2,32.6,35.9,36.0,39.9,42.6,44.4,46.4,47.9,53.6,57.7,59.2,59.5,59.8,58.5,60.7,65.6,76.2,84.4,89.6,93.2,105.6,120.1,135.9,147.3,156.9,171.2,193.2,219.9,238.1,254.6,258.4,270.4,290.4,294.1,296.1,291.9,294.2,307.7,320.0,326.6,344.0,368.5,388.9,411.9,443.7,464.2,486.2,513.3,550.9,592.0,629.6,642.9,644.5,636.6,621.0,600.4,601.8,621.5,631.5,643.2
"2","                Federal",0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39.0,37.4,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.7,16.1,14.2,15.8,17.6,18.9,21.8,21.9,24.6,26.5,26.7,27.1,26.7,30.1,31.9,31.1,30.7,30.5,27.8,29.3,31.7,35.7,39.9,44.8,49.2,54.7,61.7,70.2,80.4,90.0,102.3,115.6,132.5,141.9,152.4,148.0,151.2,158.2,156.8,156.4,150.7,145.4,147.7,149.8,143.7,147.7,154.9,157.4,163.8,182.2,195.2,208.4,222.0,235.6,250.0,271.7,282.6,297.2,295.7,287.3,269.6,263.9,265.0,264.7,278.4
"3","                    National defense",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.4,0.3,0.4,0.8,7.4,26.4,38.1,36.8,24.0,2.7,2.2,3.2,4.3,3.7,10.6,15.3,16.9,14.6,13.0,14.1,15.4,16.2,18.9,18.3,20.4,21.1,19.5,18.3,16.7,18.7,21.3,19.9,19.5,18.9,15.7,16.3,17.8,20.4,22.6,25.6,27.9,30.0,34.8,40.2,48.2,58.2,69.8,81.1,95.4,103.4,110.8,105.5,105.2,107.3,101.3,97.2,89.2,85.8,85.0,85.0,79.0,79.3,81.5,83.4,87.7,100.4,110.0,121.0,131.5,139.5,151.1,167.1,173.3,176.2,172.0,163.8,153.0,144.8,142.6,140.1,149.9
"4","                    Nondefense",0.2,0.2,0.3,0.4,0.6,0.7,1.1,1.0,0.9,0.9,0.8,0.8,1.1,1.0,0.9,0.7,0.5,0.3,0.6,1.2,1.6,1.9,1.9,2.0,1.7,1.5,1.2,1.7,2.2,2.7,2.8,3.6,4.3,5.4,7.2,8.8,10.0,11.4,10.6,11.2,11.3,11.5,12.1,13.1,13.9,15.3,17.2,19.1,21.3,24.7,26.9,30.1,32.2,31.8,32.6,34.5,37.1,38.5,41.7,42.5,46.0,50.9,55.5,59.2,61.5,59.6,62.7,64.8,64.7,68.4,73.4,74.0,76.2,81.7,85.1,87.5,90.5,96.1,98.9,104.6,109.4,121.0,123.7,123.5,116.6,119.1,122.5,124.5,128.5
"5","                State and local",2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3.0,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7.0,7.4,8.0,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8,29.3,30.7,31.3,34.0,40.5,44.6,44.9,44.0,50.8,58.4,65.7,66.9,67.0,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160.0,170.2,182.9,196.3,213.6,231.5,248.0,261.5,269.1,277.8,291.3,315.3,342.0,357.9,360.3,347.3,341.0,333.7,330.8,338.0,356.5,366.8,364.8
"6","Structures2",2.6,2.9,2.7,1.9,1.7,2.3,2.3,3.7,3.3,3.6,3.9,3.7,6.3,12.1,7.0,3.3,2.5,1.7,3.0,4.6,6.3,7.0,9.5,11.1,11.7,12.1,12.0,13.4,14.9,16.5,16.9,16.6,18.0,18.6,19.9,21.1,22.8,25.1,26.5,28.5,29.0,29.2,31.2,31.6,34.4,40.3,44.5,44.9,44.3,51.5,57.8,65.3,66.4,65.0,65.7,72.5,81.1,89.0,95.5,99.0,102.0,112.6,117.0,119.7,121.1,124.7,134.7,144.4,152.6,162.7,175.8,188.3,204.0,220.2,228.6,235.7,246.8,268.7,292.7,309.6,318.1,312.4,303.5,287.5,277.5,282.6,298.4,304.8,299.6
"7","    Federal",0.2,0.2,0.3,0.3,0.5,0.6,0.8,1.0,1.0,0.9,0.8,1.2,4.2,10.7,6.2,2.7,1.8,0.3,0.5,1.0,1.5,1.6,3.1,4.4,4.4,3.6,2.7,3.0,3.4,4.0,4.0,3.9,4.2,4.1,4.0,3.8,3.9,4.1,3.4,3.3,3.4,3.4,4.3,4.5,5.2,5.6,6.4,6.7,7.4,8.6,8.8,10.3,10.9,10.7,11.5,12.0,13.6,14.8,16.7,14.2,13.2,14.1,13.8,15.5,16.6,16.0,17.5,17.5,16.0,16.6,16.1,13.8,13.5,16.1,17.4,16.6,15.2,17.2,21.4,25.1,29.1,32.6,30.1,22.6,18.1,17.3,16.8,15.7,16.2
"8","        National defense",0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.6,3.6,10.3,5.8,2.5,1.7,0.3,0.2,0.4,0.4,0.5,2.0,3.3,3.3,2.7,2.1,2.1,2.3,2.6,2.5,2.2,2.4,2.0,1.6,1.3,1.1,1.3,1.2,1.2,1.5,1.3,1.8,1.8,2.1,2.2,2.3,2.1,2.4,2.5,2.5,3.2,3.2,4.0,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.3,5.8,6.7,6.3,6.1,5.8,5.4,5.4,5.3,6.1,7.1,6.9,7.2,7.8,10.0,13.7,17.1,16.7,13.3,8.1,6.5,5.3,4.3,3.4,3.8
"9","            New",0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.7,3.6,10.3,5.9,2.5,1.7,0.6,0.4,0.5,0.4,0.5,2.0,3.3,3.3,2.7,2.3,2.1,2.2,2.4,2.5,2.1,2.2,1.8,1.6,1.3,1.3,1.3,1.3,1.4,1.6,1.3,1.6,1.5,1.8,2.0,2.6,2.4,2.4,2.5,2.5,3.2,3.2,4.0,4.8,4.9,6.2,6.8,7.7,7.4,6.4,6.1,4.6,5.2,5.4,5.8,6.7,6.3,6.1,5.8,5.4,5.4,5.3,6.1,7.1,6.9,7.2,7.8,10.0,13.7,17.1,16.7,13.4,8.1,6.5,5.3,4.3,3.4,3.8
"10","                Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.2,0.4,0.7,0.2,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.5,0.3,0.3,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.3,0.4,0.5,0.6,0.6,0.5,0.5,0.5,0.7,0.7,0.9,1.2,1.2,1.5,1.6,1.9,1.7,1.7,1.8,1.2,1.1,1.2,1.4,1.5,1.4,1.4,1.3,1.2,1.1,1.2,1.2,1.4,1.3,1.6,1.5,1.7,1.8,1.2,1.6,1.4,1.0,0.8,0.6,0.6,0.6,0.6
"11","                Industrial",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.3,3.4,1.9,1.2,0.8,0.1,0.1,0.2,0.2,0.2,1.0,1.7,1.8,1.5,0.7,0.5,0.5,0.4,0.3,0.3,0.4,0.2,0.2,0.2,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.5,0.7,0.8,0.8,1.1,1.0,0.8,0.8,0.7,0.8,1.1,0.9,0.7,0.6,0.6,0.6,0.5,0.2,0.2,0.3,0.4,0.6,0.6,0.4,0.3,0.3,0.4,0.6,0.8,0.7,0.7,0.6,0.6,0.5,0.3,0.1,0.3
"12","                Military facilities3",0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.2,0.5,2.1,6.5,3.3,1.1,0.9,0.2,0.3,0.2,0.2,0.2,1.0,1.6,1.5,1.2,1.5,1.6,1.6,1.6,1.7,1.5,1.5,1.4,1.3,1.0,1.0,1.1,1.1,1.1,1.2,1.0,1.1,1.0,1.3,1.4,1.8,1.7,1.7,1.8,1.8,2.2,2.0,2.3,2.8,3.0,3.6,4.3,5.0,4.9,4.0,3.5,2.4,3.2,3.4,3.7,4.6,4.3,4.2,4.3,4.0,4.0,3.7,4.3,5.1,5.2,5.2,6.0,8.0,11.3,15.1,14.4,11.2,6.5,5.2,4.2,3.4,2.7,3.0
"13","            Net purchases of used structures",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,-0.1,0.0,0.0,-0.1,0.0,0.0,-0.3,-0.2,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.1,0.2,0.1,0.1,0.2,0.2,0.0,0.0,-0.2,-0.1,-0.1,-0.1,-0.1,0.0,0.2,0.3,0.3,0.2,-0.3,-0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"14","        Nondefense",0.1,0.2,0.2,0.3,0.5,0.6,0.8,0.8,0.7,0.7,0.6,0.6,0.6,0.5,0.4,0.2,0.2,0.0,0.3,0.7,1.1,1.1,1.1,1.1,1.1,0.9,0.6,0.9,1.1,1.4,1.5,1.7,1.9,2.1,2.3,2.5,2.8,2.8,2.2,2.1,1.9,2.1,2.5,2.7,3.1,3.4,4.1,4.6,5.0,6.1,6.3,7.1,7.7,6.8,6.7,7.0,7.3,8.0,9.0,6.8,6.9,8.0,9.2,10.3,11.2,10.2,10.8,11.3,9.9,10.8,10.7,8.4,8.1,10.0,10.3,9.6,8.1,9.4,11.4,11.4,12.0,16.0,16.7,14.5,11.6,12.0,12.6,12.4,12.4
