"Table 6.2A. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948"
"","","","","","","","","","","","","","","","","","","","","",""
"1","        Compensation of employees",51408,47167,40071,31339,29787,34553,37667,43289,48310,45412,48553,52749,66187,88036,112698,124321,126304,122485,132361,144313
"2","Domestic industries",51407,47166,40070,31338,29786,34552,37666,43288,48309,45411,48551,52746,66181,88026,112714,124372,126368,122525,132292,144227
"3","    Private industries",45996,41520,34317,25907,24214,28024,30613,34797,40152,36462,39574,43352,54267,68905,82507,87523,86369,95373,110388,121529
"4","        Agriculture, forestry, and fisheries",1419,1291,1022,757,695,755,864,954,1105,1085,1097,1139,1370,1786,2194,2401,2514,2780,3061,3305
"5","            Farms",1304,1181,918,673,620,682,778,871,992,983,992,1033,1252,1634,2030,2207,2306,2542,2793,2999
"6","            Agricultural services, forestry, and fisheries",115,110,104,84,75,73,86,83,113,102,105,106,118,152,164,194,208,238,268,306
"7","        Mining",1539,1349,1011,698,700,927,985,1162,1368,1170,1204,1360,1621,1855,2072,2285,2261,2482,3071,3545
"8","            Metal mining",204,169,104,54,53,69,89,130,206,148,168,203,246,287,324,277,240,243,309,354
"9","            Anthracite mining",265,256,208,153,134,162,143,142,141,123,130,124,143,165,187,209,203,249,263,1952
"10","            Bituminous and other soft coal mining1",618,515,387,266,284,394,430,515,573,462,480,570,712,858,957,1091,1056,1115,1469,"---"
"11","            Crude petroleum and natural gas",326,298,228,172,182,245,262,296,351,356,335,357,383,374,425,538,595,656,769,947
"12","            Nonmetallic mining and quarrying",126,111,84,53,47,57,61,79,97,81,91,106,137,171,179,170,167,219,261,292
"13","        Contract construction",2540,2142,1529,863,639,788,920,1350,1463,1348,1650,1820,3073,4924,4119,3036,3106,4662,6171,7518
"14","        Manufacturing",16242,13990,10932,7782,7920,9745,10960,12671,15185,12492,14320,16396,22774,32247,42657,44958,40180,38259,44613,48684
"15","            Durable goods",8620,7011,4925,3116,3187,4248,5043,6264,7972,5893,7193,8865,13514,21139,29828,31102,25582,21179,25161,27457
"16","                Lumber and basic timber products",713,547,309,179,201,255,303,384,459,393,432,489,654,795,882,910,884,1094,1400,3060
"17","                Furniture and finished lumber products2",617,491,389,255,255,278,329,399,464,395,458,492,630,701,766,799,830,1105,1377,"---"
"18","                Stone, clay, and glass products",627,533,390,243,231,290,334,410,506,428,494,542,710,808,875,880,899,1186,1409,1601
