"Table 6.2B. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1","            Compensation of employees",144313,144334,158269,185705,201088,215245,214139,230571,249275,262576,264670,285829,301283,310422,332202,350408,375975,405415,449249,481790,530751,584458,623347,664995,731333,812683,887715,947230,1048347,1165825,1316765,1477231,1622247,1792525,1892983,2012489,2215872,2387324,2542063,2722405
"2","Domestic industries",144227,144276,158191,185691,201086,215252,214196,230641,249357,262654,264742,285910,301438,310566,332297,350471,376029,405410,449225,481760,530739,584436,623324,664974,731334,812696,887737,947273,1048384,1165887,1316864,1477302,1622345,1792681,1893175,2012662,2216083,2387539,2543845,2723761
"3","    Private industries",121529,119169,131317,150726,161201,174365,172672,187218,203415,213662,212087,231200,243032,248144,265676,279361,299218,322596,355937,378875,415435,458004,482772,510330,562479,631247,691111,730313,816562,916584,1045418,1183364,1298351,1434635,1505607,1600381,1773132,1908328,2036205,2186167
"4","        Agriculture, forestry, and fishing",3318,3142,3183,3339,3313,3209,3096,3086,3128,3234,3430,3515,3693,3888,4056,4201,4326,4528,4685,4771,5046,5454,5761,5896,6253,7453,8589,9200,10489,11230,12125,13505,14492,14863,16294,16439,17382,18420,18814,20259
"5","            Farms",3000,2817,2821,2932,2868,2746,2606,2598,2611,2713,2869,2952,3093,3225,3319,3413,3457,3558,3623,3629,3768,4023,4215,4211,4349,5127,5990,6482,7345,7794,8172,8899,9198,8955,10014,9660,9748,9904,9271,9412
"6","            Agricultural services, forestry, and fishing",319,326,363,408,446,464,491,489,518,522,561,564,600,663,737,788,869,970,1061,1142,1278,1431,1546,1685,1904,2326,2599,2718,3144,3436,3953,4606,5294,5908,6280,6779,7634,8516,9543,10847
"7","        Mining",3596,3181,3502,3987,4056,4180,3840,4158,4671,4828,4321,4415,4441,4368,4426,4460,4650,4857,5136,5305,5545,6147,6653,6910,7614,8430,10234,12747,14345,16631,19858,23753,28836,35949,37980,33930,35833,35389,31317,29956
"8","            Metal mining",354,343,374,456,507,568,514,580,661,688,557,550,652,635,619,606,648,683,738,700,775,894,990,987,1052,1163,1395,1570,1721,1873,2179,2630,2945,3473,2666,2178,2105,1818,1671,1846
"9","            Coal mining",1952,1519,1722,1881,1683,1617,1245,1322,1500,1528,1233,1203,1154,1032,1025,1055,1100,1151,1210,1280,1267,1445,1721,1831,2170,2368,2899,4121,4710,5349,5935,7172,7844,8301,9085,7724,8216,7864,7802,7693
